[00:00:05.512 --> 00:00:05.694]  Yeah.
[00:00:41.543 --> 00:00:45.928]  Welcome to InfoWars Nightly News on this Thursday, May 30th, 2013.
[00:00:46.168 --> 00:00:47.189]  Here's what's coming up.
[00:00:48.769 --> 00:00:57.677]  Tonight, on the InfoWars Nightly News, the Tea Party aims to tar and feather the IRS with constitutionally backed litigation.
[00:00:58.578 --> 00:01:02.561]  Plus, experimental GMO seeds blow across America.
[00:01:02.982 --> 00:01:07.125]  Now American farms are being invaded by the Monsanto monstrosity.
[00:01:07.466 --> 00:01:11.529]  Meanwhile, they are burning and banning GMOs in Europe and Asia.
[00:01:11.990 --> 00:01:15.433]  All that and more on the InfoWars Nightly News.
[00:01:19.494 --> 00:01:24.596]  And tonight on InfoWars, our top story, the Tea Party is striking back against the IRS.
[00:01:24.816 --> 00:01:34.179]  Yes, they're a little angry about being targeted for having names like Patriot and Constitution and Liberty in their non-profit group names.
[00:01:34.539 --> 00:01:41.041]  So 25 groups have joined in a lawsuit against the IRS saying that their rights were violated by the IRS.
[00:01:41.361 --> 00:01:47.123]  The American Center for Law and Justice is spearheading this lawsuit and it accuses the IRS of quote
[00:01:47.543 --> 00:02:00.486]  Comprehensive, pervasive, invidious, and organized scheme to violate the First and Fifth Amendments, the rights of Tea Party members, in a spectacle of suppression, more fitting to the Dark Ages.
[00:02:01.226 --> 00:02:06.727]  Yes, this lawsuit sends a very powerful message to the IRS and the Obama Administration, they say.
[00:02:06.747 --> 00:02:10.688]  He's the Chief Counsel of the ACLJ, including the White House.
[00:02:11.008 --> 00:02:14.369]  Americans are not going to be bullied and intimidated by our government.
[00:02:14.929 --> 00:02:21.996]  They will not be subjected to unconstitutional treatment and unlawfully singled out and punished because of their ideological beliefs.
[00:02:22.496 --> 00:02:27.501]  Those responsible for this unprecedented intimidation ploy must be held accountable.
[00:02:28.062 --> 00:02:28.662]  Well, good for them.
[00:02:29.571 --> 00:02:35.715]  It looks like that's the only way any action is going to take place, is by suing the government when they violate our rights.
[00:02:36.516 --> 00:02:40.398]  Our next story, a GMO pollution alert is upon us.
[00:02:40.479 --> 00:02:43.861]  Remember how we warned about the age of genetic pollution?
[00:02:44.401 --> 00:02:46.182]  Now why is genetic pollution so bad?
[00:02:46.222 --> 00:02:48.884]  Because it's self-replicating pollution.
[00:02:49.305 --> 00:02:52.327]  Worse than chemical pollution, because you can clean that up.
[00:02:52.907 --> 00:02:56.991]  But DNA pollution or genetic pollution is a self-replicating pollution.
[00:02:57.291 --> 00:03:00.934]  The problem just keeps getting worse and worse and worse.
[00:03:01.555 --> 00:03:03.176]  And you can't put that genie back in the box.
[00:03:03.196 --> 00:03:03.997]  Well, here's what's happened.
[00:03:04.437 --> 00:03:16.809]  Genetically engineered wheat that was experimentally planted by Monsanto from 1998 to 2005 across 16 states in the United States has now escaped the experimental farms.
[00:03:17.389 --> 00:03:24.032]  And it has been found, according to the USDA, it has been found on a farm, a commercial farm in Oregon.
[00:03:24.792 --> 00:03:36.078]  This means that the commercially grown wheat in the United States is now contaminated with GMOs that have never been approved for commercialization or for sale.
[00:03:36.758 --> 00:03:38.459]  This is a very big deal.
[00:03:38.499 --> 00:03:46.763]  I hope you get this because it means that other countries around the world could start banning the importation of wheat from America.
[00:03:47.283 --> 00:03:47.964]  Think about that.
[00:03:48.024 --> 00:03:49.204]  What's that going to do to the U.S.
[00:03:49.444 --> 00:03:49.845]  farmer?
[00:03:50.325 --> 00:04:03.652]  So now we have a situation where the government's collusion with Monsanto and the biotech industry to have open field experiments on GMOs could cause the wheat industry to suffer a collapse.
[00:04:04.212 --> 00:04:10.303]  Where farmers are going bankrupt and put out of business because other nations won't allow that wheat to be imported into their countries.
[00:04:10.944 --> 00:04:14.190]  In fact, I've already heard, I haven't verified this, but I've heard that Japan...
[00:04:15.276 --> 00:04:22.182]  ...has now put out an announcement that they may be looking into banning wheat imports from the United States for this very reason.
[00:04:22.863 --> 00:04:34.012]  So as Monsanto was telling farmers, hey, we'll make you more money, we'll increase your crop yields, things will be better for you, it turns out that this GMO experiment may cause farmers to go bankrupt.
[00:04:34.833 --> 00:04:36.335]  And that's why we've got to stop this.
[00:04:36.355 --> 00:04:37.757]  There's just one more reason.
[00:04:37.777 --> 00:04:48.229]  Oh, and by the way, if the genetically modified wheat is escaping, probably the corn is escaping, and we're getting genetic pollution from all kinds of other crops as well.
[00:04:48.289 --> 00:04:51.253]  So this is a big problem, not limited to just wheat.
[00:04:52.568 --> 00:04:53.308]  Alright, next story.
[00:04:53.888 --> 00:04:59.910]  Thousands and thousands of Associated Press phone calls were monitored by the Department of Justice.
[00:05:00.390 --> 00:05:08.391]  This is what has come out from a memo from Gary Pruitt, the CEO, the chief executive of the Associated Press.
[00:05:09.252 --> 00:05:19.454]  He says that now it turns out the government didn't just monitor a few phone calls, they monitored thousands and thousands of calls in and out of the news organization.
[00:05:20.492 --> 00:05:30.736]  He said that this means the Obama administration is acting as, quote, judge, jury, and executioner in secretly obtaining the news organization's records.
[00:05:32.096 --> 00:05:43.260]  Now remember, too, that everybody in Washington, including Attorney General Eric Holder, is saying, we don't know anything about this, we don't know, don't have any knowledge, don't know, don't know, don't know.
[00:05:44.127 --> 00:05:44.647]  We didn't know.
[00:05:44.667 --> 00:05:45.568]  I know nothing!
[00:05:46.508 --> 00:05:48.749]  As the comedy bit goes.
[00:05:49.649 --> 00:05:51.210]  But the Associated Press knows.
[00:05:51.530 --> 00:06:06.596]  They know that they were monitored and they were illegally surveilled and had their phone calls monitored and their phone records confiscated as part of this intimidation and oppression campaign against the free press in America.
[00:06:07.236 --> 00:06:13.780]  So this is a big deal, and it also explains why the press is now turning on the Obama administration.
[00:06:13.820 --> 00:06:24.426]  By the way, Eric Holder announced that he was going to have a secret off-the-record meeting with members of the press, I guess to intimidate them a little more off-the-record, probably to threaten them.
[00:06:24.446 --> 00:06:28.649]  You know, if you publish anything on this, we're going to find your body in a dumpster in the back alley.
[00:06:29.269 --> 00:06:31.270]  That's probably what they're being told now.
[00:06:31.330 --> 00:06:32.310]  It's all about intimidation.
[00:06:32.790 --> 00:06:33.450]  But guess what?
[00:06:34.050 --> 00:06:36.971]  Most members of the big mainstream media are refusing to attend.
[00:06:37.571 --> 00:06:38.592]  CNN says nope.
[00:06:39.012 --> 00:06:40.192]  Huffington Post says nope.
[00:06:40.492 --> 00:06:40.972]  Don't want to go.
[00:06:41.232 --> 00:06:43.593]  Associated Press, sorry, don't want to go.
[00:06:44.373 --> 00:06:44.714]  Who else?
[00:06:45.074 --> 00:06:49.395]  Other big organizations are saying not interested in any more scams from Eric Holder.
[00:06:50.515 --> 00:06:51.195]  Alright, next story.
[00:06:51.695 --> 00:07:15.381]  The IRS's Shulman, this is the former IRS Commissioner Douglas Shulman, he visited the White House 157 times during the Obama administration, proving that he visited the White House more than Timothy Geithner, more than Tom Vilsack, more than other high-level officials including our favorite Janet Napolitano.
[00:07:16.311 --> 00:07:16.631]  Yes.
[00:07:17.132 --> 00:07:19.974]  What was the IRS commissioner doing visiting the White House?
[00:07:21.075 --> 00:07:23.017]  Well, fill in the blanks on that one, folks.
[00:07:23.517 --> 00:07:35.627]  My guess is they were plotting, conspiring, yes, conspiracies do exist, especially at the White House, they were conspiring to selectively target conservative groups for IRS intimidation and oppression.
[00:07:36.758 --> 00:07:39.821]  And now that's all coming out, so we know why they were at the White House.
[00:07:40.762 --> 00:07:45.205]  You can bet they weren't there to roll Easter eggs on the White House lawn with the First Lady.
[00:07:45.806 --> 00:07:48.428]  Although, I'd pay good money to do that.
[00:07:48.688 --> 00:07:53.693]  Trust me, that's high on my bucket list, but I don't think they were there for that activity.
[00:07:54.861 --> 00:07:55.522]  Next story.
[00:07:55.982 --> 00:07:59.726]  Special IRS prosecutor favored as Obama support drops.
[00:07:59.746 --> 00:08:11.278]  This is an article out of Bloomberg that reveals that 76% of registered voters in a survey say that they would back a special prosecutor to investigate
[00:08:12.515 --> 00:08:15.057]  The IRS targeting of Tea Party groups.
[00:08:15.797 --> 00:08:22.521]  Now, this is fascinating because that level of support includes 63% of Democrats.
[00:08:23.282 --> 00:08:24.422]  Yes, Democrats!
[00:08:25.043 --> 00:08:29.065]  Who, by and large, enjoyed the IRS targeting Tea Party groups.
[00:08:29.705 --> 00:08:36.149]  Which, by the way, also just shows you how pathetic their philosophical foundation really is if they supported that thing.
[00:08:36.169 --> 00:08:39.972]  That's why I'm glad to see 63% saying we need a special prosecutor because
[00:08:40.632 --> 00:08:50.621]  Any group that says, yeah, let's abuse liberty and let's have the government behave as a criminal mobster, as long as they're targeting our political enemies, those people are dangerous.
[00:08:51.381 --> 00:08:52.422]  Anybody who supports that.
[00:08:52.822 --> 00:08:55.705]  If the IRS was targeting liberal groups, we should be outraged.
[00:08:56.065 --> 00:09:00.549]  The truth is, the IRS should never be used as a political weapon.
[00:09:01.129 --> 00:09:02.931]  Not under any administration.
[00:09:03.331 --> 00:09:07.315]  And by the way, the head of the IRS visited the former President Bush
[00:09:08.410 --> 00:09:16.237]  I think zero times, or maybe once, but not 157 times like the previous one did with the Obama administration.
[00:09:17.338 --> 00:09:17.618]  All right.
[00:09:18.239 --> 00:09:23.843]  The World Health Organization is spreading more fear about another outbreak.
[00:09:23.964 --> 00:09:24.364]  Oh, yes.
[00:09:25.145 --> 00:09:25.885]  Run and hide.
[00:09:26.065 --> 00:09:30.750]  There's a new virus, a coronavirus, on the loose, according to the WHO.
[00:09:31.310 --> 00:09:32.071]  It's called MERS.
[00:09:32.091 --> 00:09:32.291]  M-E-R-S.
[00:09:35.213 --> 00:09:37.873]  They're calling it a Middle Eastern virus.
[00:09:38.554 --> 00:09:45.595]  You ever notice how the WHO always blames some region of the world that they would like to turn into an enemy?
[00:09:45.995 --> 00:09:47.515]  It was like a Hong Kong virus.
[00:09:47.595 --> 00:09:49.215]  It's a Mexican virus.
[00:09:49.275 --> 00:09:50.996]  Now it's a Middle Eastern virus.
[00:09:51.036 --> 00:09:53.736]  Why not just call it the Al-Qaeda flu?
[00:09:54.656 --> 00:09:56.177]  Just get right to the chase.
