[00:00:06.465 --> 00:00:10.668]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:11.309 --> 00:00:12.110]  You want answers?
[00:00:12.890 --> 00:00:13.771]  Well, so does he.
[00:00:14.432 --> 00:00:18.035]  He's Alex Jones on the GCN Radio Network.
[00:00:18.635 --> 00:00:22.718]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.996 --> 00:00:45.187]  When it comes to the general police state and world government being openly rolled out, this broadcast is basically becoming passé.
[00:00:46.829 --> 00:00:57.940]  So much of what I have specifically analyzed and warned people about, just learning how the globalists operate worldwide, is now right out in the open.
[00:00:59.801 --> 00:01:22.639]  But on their master plan, and what they're doing to our genetics, and what they're doing to the Earth's species, uh, flora, on that subject, my friends, the public has really no clue just how serious the situation has gotten.
[00:01:24.620 --> 00:01:26.221]  So I am going to attempt
[00:01:31.281 --> 00:01:45.786]  in the broadcast today to look at some of these different facets that we face as a civilization and as a society.
[00:01:46.907 --> 00:01:53.329]  Kathryn Albrecht, security researcher, Dr. Kathryn Albrecht will be joining us to talk about the waterfront
[00:01:54.642 --> 00:02:04.431]  of NSA spying issues, you name it, and the whole transhumanist movement coming up in the third hour today and popping in for about 15-20 minutes.
[00:02:05.011 --> 00:02:14.820]  Brandon Toye, whose resignation letter as a defense contractor has gone viral, he's going to be popping in as well, but we will also have open phones.
[00:02:20.387 --> 00:02:31.635]  Obviously we're going to get into the new expanding global terror alert and the controlled state-run media is saying obviously we've got to get rid of all freedom now.
[00:02:32.674 --> 00:02:40.477]  After this devastating, credible threat, no one has seen anything so frightening and so scary.
[00:02:40.537 --> 00:02:42.358]  Aren't you scared, General Aydin?
[00:02:42.738 --> 00:02:43.638]  Yes, I'm scared.
[00:02:44.079 --> 00:02:45.599]  Aren't you scared, General Alexander?
[00:02:45.899 --> 00:02:48.040]  Oh, I'm very scared.
[00:02:48.800 --> 00:02:49.661]  You watch this.
[00:02:49.741 --> 00:02:51.701]  It's like a Monty Python skit.
[00:02:55.743 --> 00:03:00.365]  I'm convinced that if Hitler would have said, give up your rights, America, our Muslim extremist will get you.
[00:03:01.465 --> 00:03:07.890]  That America would have run up, you know, swastikas or something and bowed to Hitler or Stalin or any other authoritarian.
[00:03:07.930 --> 00:03:12.574]  I mean, this is just cuckoo-level transparent.
[00:03:13.214 --> 00:03:18.378]  And they're saying, we got the same chatter pre-9-11, RACE FORWARD!
[00:03:18.398 --> 00:03:23.122]  And I've got videos pouring in all over the country, an orgy of grandstanding.
[00:03:24.773 --> 00:03:30.596]  With police just everywhere, just setting up random checkpoints and running up people in grocery store parking lots.
[00:03:30.696 --> 00:03:33.577]  I'm going to search you with no warrant, I do what I want!
[00:03:34.678 --> 00:03:42.062]  A homeless guy, you know, a cop gets in his face and a homeless guy says, what are you going to do, bleepers, as he pulls a gun out and shoots him in the chest.
[00:03:42.102 --> 00:03:45.444]  And the police are going, well, we may allow that, actually.
[00:03:45.464 --> 00:03:49.245]  I mean, it is all just going into hyper-warp insanity.
[00:03:49.886 --> 00:03:51.667]  And it's not just the government.
[00:03:52.438 --> 00:03:53.399]  That's going crazy.
[00:03:53.759 --> 00:04:06.108]  They believe they're above the law, so you're seeing some of the most wild manifestations where TSA people will just jump on top women now at the TSA or take their clothes off and run around naked screaming, I'm God.
[00:04:06.488 --> 00:04:07.789]  That's happened quite a few times.
[00:04:10.371 --> 00:04:20.678]  Or SWAT teams arrive at an animal sanctuary where they have a baby deer with armored vehicles and machine guns and kill the deer and then write tickets and fines running around crazy.
[00:04:23.004 --> 00:04:28.507]  The general public, and I know you're seeing this, is losing touch with reality.
[00:04:28.587 --> 00:04:32.309]  And it's because of television and the smartphones and all of it.
[00:04:32.369 --> 00:04:37.912]  I mean, we are going to see, we are going to see societal meltdown.
[00:04:38.893 --> 00:04:42.375]  And the culture's going to go crazy.
[00:04:42.395 --> 00:04:46.317]  I'm afraid there's going to be large regional wars very soon.
[00:04:47.566 --> 00:04:50.548]  And they don't even care if nuclear reactors meltdown now.
[00:04:50.568 --> 00:04:51.589]  They just say that's healthy.
[00:04:52.309 --> 00:04:54.010]  90 plus percent of reactors are leaking.
[00:04:54.030 --> 00:04:56.192]  I think you're going to see reactors blowing up.
[00:04:56.372 --> 00:05:00.595]  I mean, I just think you're going to see judgment, judgment on this world.
[00:05:01.807 --> 00:05:05.449]  Are we choosing our own destiny or has it been pre-selected for us?
[00:05:05.689 --> 00:05:10.952]  As we've moved through history, every great leader has had to understand the potential of information.
[00:05:11.192 --> 00:05:18.735]  Billions of dollars have been spent privately and publicly looking at how to tap into your psyche.
[00:05:18.936 --> 00:05:28.040]  From compulsory state education to the Hollywood media brainwashing machine, we are kept in perpetual bondage to the ideas that shape our actions.
[00:05:28.240 --> 00:05:35.247]  When somebody obscures that feedback loop between you observing and testing it out and verifying it, they can take total control of your awareness.
[00:05:35.408 --> 00:05:38.271]  All of this is happening so fast, you need to be ahead of the game.
[00:05:38.291 --> 00:05:45.218]  How to engineer the opinion of the American people so that they would not only endorse, but demand a war.
[00:05:47.009 --> 00:05:48.130]  Another plane just hit!
[00:06:02.631 --> 00:06:15.781]  With over 3,000 years of historic use, Pure Silver continues to be one of nature's most reliable and effective agents against fighting viruses, mold, fungus, bacteria, pathogens and parasites.
[00:06:16.402 --> 00:06:26.710]  At Silver Lungs, we have developed a reliable and easy-to-use full production system for creating endless Pure Nano Silver solutions right from the convenience and comfort of your home.
[00:06:27.350 --> 00:06:31.592]  Your self-produced nano-silver solutions can be applied topically to the skin.
[00:06:31.992 --> 00:06:48.040]  For many who are new to silver that wish to try silver for the first time, we offer a full line of consumables and cosmetics, such as our 2-ounce nano-silver nasal sprays, our nano-silver soap, and our most popular product, the all-natural nano-silver gel.
[00:06:48.900 --> 00:06:56.328]  Visit www.silverlungs.com to learn more about the industry-leading technology of the Silver Lungs System.
[00:06:56.729 --> 00:06:59.973]  That's www.silverlungs.com.
[00:07:02.421 --> 00:07:12.268]  Now is the perfect time to spring clean your body with Supernatural Silver, a non-toxic disinfectant for the body that can be used internally or externally.
[00:07:12.528 --> 00:07:18.032]  It helps the immune system by killing the bacteria, viruses and mold that cause disease.
[00:07:18.312 --> 00:07:26.037]  This helps to reduce the workload of your already overworked immune system and allows the immune system to refocus its energy and recharge.
[00:07:26.357 --> 00:07:36.424]  Supernatural Silver can help combat over 300 different conditions, and it has the ability to kill over 143 types of bacteria, viruses, mold, and yeast.
[00:07:36.684 --> 00:07:49.012]  Supernatural Silver's patented technology includes advanced scientific research, with over 180 scientific studies conducted at independent universities, hospitals, research institutions, and nursing homes.
[00:07:49.172 --> 00:07:52.474]  To see how Supernatural Silver can change your life,
[00:07:52.734 --> 00:07:55.196]  Go to SupernaturalSilver.com.
[00:07:55.456 --> 00:08:00.779]  Use the promo code Silver2013 for 20% off and like us on Facebook.
[00:08:13.468 --> 00:08:21.213]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:08:31.397 --> 00:08:48.994]  I'm going to be honest with you, ladies and gentlemen, and talk about just personal reflections that I'm having in personal quiet time, when you are able to just briefly glimpse the secret place
[00:08:49.975 --> 00:08:52.496]  Of the Most High, as the Bible says.
[00:08:52.556 --> 00:08:56.358]  In fact, I wasn't intending to do this on air now, but I was going to do it later.
[00:08:56.378 --> 00:09:00.479]  But will you guys pull me up the verse of dwelling in the secret place of the Most High?
[00:09:01.760 --> 00:09:03.440]  I want to be able to read that full verse to people.
[00:09:03.720 --> 00:09:11.023]  And even if you don't believe in God, believe in spirituality, believe in an afterlife, believe in things outside of our five senses, which we know are there.
[00:09:12.044 --> 00:09:14.365]  In fact, most of the universe is outside of our five senses.
[00:09:14.705 --> 00:09:17.706]  And the sixth sense has been documented
[00:09:19.771 --> 00:09:22.772]  But I had a real moment of clarity this morning.
[00:09:23.132 --> 00:09:26.954]  Well, more than a moment, it was about an hour of clarity.
[00:09:28.615 --> 00:09:44.841]  And I want to try to, feebly as I may, transmit that information, at least from my perspective, and hopefully it can help you, and then you can obviously comment on InfoWars.com.
[00:09:46.544 --> 00:09:51.007]  Just call into the show and give me your take on it as well, and together we can become stronger.
[00:09:52.228 --> 00:09:54.089]  It's the 91st Psalm.
[00:09:54.369 --> 00:10:03.575]  He who dwells in the secret place of the Most High shall remain stable and fixed under the shadow of the Almighty, whose power no foe can withstand.
[00:10:05.276 --> 00:10:08.559]  I will say of the Lord, He is my refuge and my fortress, my God.
[00:10:09.219 --> 00:10:14.683]  On Him I lean and rely, and in Him I confidently trust.
[00:10:15.779 --> 00:10:26.946]  That's right, you've got to have a North Star, and all the psychological studies show this, that the most free and prosperous cultures the world has ever seen have been truly Christian.
[00:10:28.147 --> 00:10:33.951]  The problem is, is that the wealth that those societies create then creates decadence and the fall.
[00:10:34.471 --> 00:10:43.077]  And we saw this with Israel in its thousands of pre-Christian years, when they would follow
[00:10:44.286 --> 00:10:56.057]  God's commandments and become incredibly successful and powerful and then become decadent and leave the commandments and then be overrun with the corrupt and then finally collapse and go into bondage.
[00:10:57.979 --> 00:11:01.423]  But I want to say that verse again to everybody out there before I get into the news.
[00:11:04.025 --> 00:11:04.726]  May we dwell
[00:11:06.277 --> 00:11:08.159]  In the secret place of the Most High.
[00:11:08.939 --> 00:11:18.868]  He who dwells in the secret place of the Most High shall remain stable and fixed under the shadow of the Almighty, whose power no foe can withstand.
[00:11:21.370 --> 00:11:26.674]  Just saying that verse, I can feel the secret place of the Most High.
[00:11:27.715 --> 00:11:28.656]  And I feel ashamed.
[00:11:29.810 --> 00:11:39.195]  I feel ashamed of who I am and of all of my imperfections when I glimpse from afar the secret place of the Most High.
[00:11:39.776 --> 00:11:42.437]  I do not dwell in the secret place of the Most High.
[00:11:43.718 --> 00:11:49.421]  But just like the silver lining of a cloud, I am able to see just the edge of it.
[00:11:50.502 --> 00:11:53.364]  And there is great peace and great majesty therein.
[00:11:56.065 --> 00:11:58.527]  And I think about what's happened in our culture.
[00:11:59.651 --> 00:12:09.938]  I think about everything that I see, and all the psychology, and all the psychological warfare I've studied, and all the public relations and PR that I've studied, that I use none of.
[00:12:11.079 --> 00:12:14.981]  I've gone and studied what the deceivers do, and they themselves are deceived.
[00:12:15.221 --> 00:12:16.042]  The most deceived.
[00:12:19.644 --> 00:12:23.947]  They're now rolling out the fact that they have been deceiving us, but claiming that it was for our own good.
[00:12:24.207 --> 00:12:27.670]  That itself, another deception within a deception, within a deception.
[00:12:28.150 --> 00:12:29.191]  But it really hit me.
[00:12:34.341 --> 00:12:38.845]  An image of astronauts spacewalking.
[00:12:39.605 --> 00:12:43.709]  This is my allegory, or my analogy, or my parable.
[00:12:44.850 --> 00:12:59.162]  I've seen interviews with astronauts that have done the big extended spacewalks, going out and working on the International Space Station, working on their module, working on their capsule, working on the space shuttle when there's a problem.
[00:13:01.161 --> 00:13:02.322]  Going out to do repairs.
[00:13:03.103 --> 00:13:22.581]  And they describe the first time you do it, even though you've been trained, when you come out and you're looking into the deepness of eternity and space, and then looking down hundreds of miles towards the earth, that it is a frightening but also exhilarating and gripping feeling.
[00:13:23.803 --> 00:13:31.169]  And that you feel almost a zen timelessness of all that was, is, and will be.
[00:13:31.189 --> 00:13:51.366]  And it's a thousand times that exhilarating but also frightening feeling to stand on the edge of a cliff looking down thousands of feet into a gorge and a river below and to feel a gust of wind blow from behind you and almost have you topple down to your death.
[00:13:52.361 --> 00:14:20.864]  You see eternity laying there before you, and whether you consciously admit it or not, your spirit, your gut, your soul, your genetics, your cells that grew out of this creation, whether you believe or God or not, you are part of this creation and connected to all of it, you sense something a thousand times being on the edge of the cliff, a thousand times spacewalking,
[00:14:23.106 --> 00:14:27.369]  And experiencing something that humans in their entire development never experienced.
[00:14:27.770 --> 00:14:51.188]  It is beyond that that you are in eternity and that we are all on an incredible spacewalk right now on this planet with all of this mystery and majesty and the relationships and the men, the women, the children, your ancestors, the people you currently know, and those that will come in the future.
[00:14:51.308 --> 00:14:52.609]  It is an epic
[00:14:55.183 --> 00:14:56.064]  Epic adventure!
[00:14:57.625 --> 00:15:24.486]  And then I see the general public, and all the studies show this, becoming more narcissistic, more megalomania is popping up, more people are going insane, believing that they're movie stars, that they're rock stars, more people are becoming arrogant and spiteful, and cheating their friends and family, and thinking that because they have knowledge of evil and are engaged in it, that somehow they've got power.
[00:15:26.311 --> 00:15:29.232]  That's because they have no North Star.
[00:15:29.292 --> 00:15:32.714]  They have no secret place of the Most High.
[00:15:34.475 --> 00:15:36.416]  They don't even have a connection to that.
[00:15:36.576 --> 00:15:41.398]  They can't even imagine that in their heart of hearts.
[00:15:41.839 --> 00:15:44.420]  And so they're just running wild.
[00:15:45.600 --> 00:15:54.627]  Completely freaked out, completely scared, thinking, oh, Madison Avenue in Hollywood says that if I looked like a supermodel, I'd be happy.
[00:15:55.208 --> 00:15:56.248]  And then you grow old.
[00:16:00.812 --> 00:16:06.616]  And it's not about your grandchildren or your husband or your children or about helping orphans.
[00:16:07.297 --> 00:16:13.602]  It's about how you're not beautiful anymore, in quotes, and so you degenerate and become a wicked old witch.
[00:16:18.337 --> 00:16:33.466]  Or you struggle your whole life and have a wife and children, but you want to be a rap star, or you want to be a rock star, or you want to be a top basketball player, or you want to be a movie star, and because you were never able to do that, you're totally unhappy and have a nervous breakdown.
[00:16:33.787 --> 00:16:45.494]  I can't tell you how many people I have known throughout my life, friends, family, neighbors, you name it, that don't become as successful as they wanted to be and then have a nervous breakdown and go insane.
[00:16:46.983 --> 00:16:48.644]  All of you right now know people that have done that.
[00:16:49.244 --> 00:16:51.605]  That's the most common thing that makes people go insane.
[00:16:52.346 --> 00:16:56.768]  Or they get incredible success and then go on a power trip and go crazy.
[00:16:57.509 --> 00:17:01.211]  When everything that you could ever want was right there.
[00:17:01.511 --> 00:17:10.115]  Friends, family, being honorable, being loving, being strong, being heroic, being true.
[00:17:10.896 --> 00:17:13.517]  But the world tells you those things are a joke.
[00:17:13.797 --> 00:17:15.178]  Those things make you fail.
[00:17:19.397 --> 00:17:20.878]  And the truth is, that's a lie.
[00:17:22.859 --> 00:17:24.239]  And it just hit me this morning.
[00:17:24.279 --> 00:17:29.321]  I went for a jog for a couple miles and then walked back early in the morning.
[00:17:29.822 --> 00:17:30.802]  And it was so beautiful.
[00:17:31.882 --> 00:17:36.765]  The trees and the flowers and the rabbit I saw run across the path and a babbling brook.
[00:17:40.566 --> 00:17:42.987]  Staring into the blue sky that went on for eternity.
[00:17:47.769 --> 00:17:48.890]  That I was gripped
[00:17:52.079 --> 00:17:57.662]  With the understanding of the cycles that humanity has gone through.
[00:17:59.343 --> 00:18:09.608]  And it was so sad to realize how shuttered, how closed in, how dumbed down, how unaware of the average person is.
[00:18:09.768 --> 00:18:11.569]  And it's been done artificially.
[00:18:14.821 --> 00:18:19.204]  It's been done artificially by this sick, modern culture.
[00:18:19.264 --> 00:18:22.085]  And it's not technology itself that's evil.
[00:18:22.726 --> 00:18:26.227]  It is the architecture of the way it's been deployed.
[00:18:28.689 --> 00:18:33.892]  For full-spectrum dominance is just a blasphemous crime against our species.
