[00:00:00.089 --> 00:00:01.533]  You're listening to GCN.
[00:00:01.774 --> 00:00:03.940]  Visit GCNlive.com today!
[00:00:10.916 --> 00:00:15.120]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:15.760 --> 00:00:16.561]  You want answers?
[00:00:17.362 --> 00:00:18.222]  Well, so does he.
[00:00:18.903 --> 00:00:22.506]  He's Alex Jones on the GCN Radio Network.
[00:00:23.087 --> 00:00:27.190]  And now, live from Austin, Texas, Alex Jones.
[00:00:41.061 --> 00:00:46.788]  Ladies and gentlemen, this is going to be another incredibly important radio broadcast today.
[00:00:46.808 --> 00:00:50.672]  It is the ninth day of August 2013.
[00:00:50.712 --> 00:00:51.733]  I'm your host Alex Jones.
[00:00:51.753 --> 00:00:53.936]  We're going to be live here for the next three hours.
[00:00:53.956 --> 00:00:54.016]  Now...
[00:00:59.864 --> 00:01:07.234]  Coming up in studio we're going to have former Dallas Cowboy and most valuable player Drew Pearson in studio.
[00:01:07.254 --> 00:01:10.398]  And of course I grew up watching the Dallas Cowboys and I like football.
[00:01:10.458 --> 00:01:14.183]  I just see it as a political distraction and a new religion.
[00:01:15.825 --> 00:01:32.093]  But at the same time it's important to talk to people from those environs of society because we can get their perspective on the world and also glean some of the secrets of success from them and get his take on things that are happening currently in the world.
[00:01:32.113 --> 00:01:39.097]  He is a renowned public speaker all over the planet and of course has a show on ESPN and Fox Sports both.
[00:01:39.717 --> 00:01:40.738]  So he's going to be
[00:01:41.798 --> 00:01:43.019]  Joining us in studio.
[00:01:43.039 --> 00:01:46.460]  In fact, Richard's over at the airport picking him up right now.
[00:01:46.561 --> 00:01:52.383]  Flew down to Austin from Big D to be on the broadcast.
[00:01:53.164 --> 00:01:55.545]  The news we have is just ultra massive important.
[00:01:55.685 --> 00:02:04.670]  Obviously the big news is that we're going to have Charles Strange, father of one of the Navy SEALs, that died in the mysterious crash.
[00:02:05.410 --> 00:02:08.251]  From SEAL Team 6, months after the stage, Bin Laden raid.
[00:02:08.271 --> 00:02:14.033]  We're going to have him on with his lawyer, Larry Klayman, who's no stranger to this radio broadcast.
[00:02:14.073 --> 00:02:24.016]  So, Drew Pearson of NFL fame, and then of course, Charles Strange, father of one of the Navy SEALs, who's saying that they believe there was foul play going on.
[00:02:24.796 --> 00:02:34.659]  Of course, you were first to hear that here, right after it happened from my Navy SEAL source, who's in another SEAL team currently serving.
[00:02:35.885 --> 00:02:39.308]  And that basically all of them believed it was a setup.
[00:02:40.409 --> 00:02:43.311]  And they're like, well, who got the bomb on the helicopter?
[00:02:45.053 --> 00:02:45.894]  Maybe Al Qaeda.
[00:02:45.934 --> 00:02:48.155]  And they're like, no, no, we were all sardined on there.
[00:02:48.175 --> 00:02:48.996]  It wasn't a real mission.
[00:02:49.757 --> 00:02:50.918]  Looks like Obama.
[00:02:51.718 --> 00:02:53.740]  Looks like the Pentagon did this to us.
[00:02:53.860 --> 00:02:54.261]  Why?
[00:02:55.356 --> 00:02:56.997]  And then they tried to cover up what really happened.
[00:02:57.557 --> 00:03:08.801]  And I told you, ladies and gentlemen, I don't just get up here and say, hey, I got told by an active-duty Navy SEAL who's friends with a SEAL Team 6 person that they think it was a setup.
[00:03:09.481 --> 00:03:12.682]  And I don't just get up here on air and just say things.
[00:03:13.302 --> 00:03:14.703]  So many other talk show hosts do that.
[00:03:14.763 --> 00:03:15.503]  I don't do that.
[00:03:16.763 --> 00:03:20.725]  It's hard enough even when you've got good sources to get stuff right, much less make stuff up.
[00:03:21.945 --> 00:03:23.926]  Speaking of that, ladies and gentlemen,
