[00:00:19.881 --> 00:00:21.501]  Welcome to the InfoWars Nightly News.
[00:00:21.581 --> 00:00:22.222]  I'm David Knight.
[00:00:22.342 --> 00:00:25.863]  It's August 29th, 2013, and here are our top stories.
[00:00:27.943 --> 00:00:30.664]  Tonight, the Syrian war heats up.
[00:00:31.164 --> 00:00:32.244]  Are you paying attention?
[00:00:32.904 --> 00:00:36.505]  And the gangster cartel are engineering our economic destruction.
[00:00:36.966 --> 00:00:42.367]  Then, David Knight sits down with two former cops who explain what to do when you get pulled over.
[00:00:42.667 --> 00:00:45.748]  All this and more on the InfoWars Nightly News.
[00:00:50.964 --> 00:00:52.909]  Well, what is the definition of a warmonger?
[00:00:53.410 --> 00:00:54.954]  Is it somebody that just pushes for war?
[00:00:54.974 --> 00:00:57.380]  You know, a fishmonger was somebody who sold fish.
[00:00:57.761 --> 00:00:59.726]  A fleshmonger was somebody who sold flesh.
[00:00:59.746 --> 00:01:00.287]  A pimp.
[00:01:01.104 --> 00:01:04.488]  Well, a warmonger is somebody who is selling war.
[00:01:05.069 --> 00:01:07.071]  They're selling war, and nobody is buying it.
[00:01:07.652 --> 00:01:11.516]  And there's a good reason for the fact that they've only got a 9% approval rate.
[00:01:11.977 --> 00:01:21.367]  In an article from InfoWars called, Alternative Media Blocks Globalist Attempt to Launch World War III, we point out that it was just a month ago that you had the Public Affairs
[00:01:22.208 --> 00:01:42.923]  of department of defense talking about how they were having difficulty talking about how they didn't have any credibility they couldn't sell their narrative even had lower-level staffers saying or putting out as mindless propaganda and the public isn't buying it and of course the alternative media has covered in great detail the fact that james clapper the nsa said that he had
[00:01:43.783 --> 00:01:47.526]  least untruthful manner that he had told about what had happened.
[00:01:47.546 --> 00:01:48.747]  And basically he had lied.
[00:01:49.168 --> 00:01:54.632]  And so what we're showing is that it's not just being least untruthful, it's actually lies.
[00:01:55.092 --> 00:02:03.359]  They've lied to us about the causes of war, they've lied to us about how they conducted war, and they have lied to us about the price of war, the casualties of war.
[00:02:03.840 --> 00:02:05.621]  And the public just isn't buying it.
[00:02:05.661 --> 00:02:07.963]  This is a war that the 1% of the 1% wants.
[00:02:10.405 --> 00:02:14.309]  And this is something that is being pushed back by the alternative media.
[00:02:14.369 --> 00:02:18.212]  The alternative media is standing between us and World War III.
[00:02:18.652 --> 00:02:26.940]  In an article from StoryLeak.com, they point out that Brzezinski is saying that the global political awakening is making the Syrian war difficult.
[00:02:27.160 --> 00:02:28.381]  Yes, difficult for them to sell.
[00:02:28.801 --> 00:02:30.683]  Now, remember who Brzezinski is.
[00:02:30.763 --> 00:02:33.685]  He was the National Security Advisor for Jimmy Carter.
[00:02:34.566 --> 00:02:34.867]  And he was
[00:02:49.428 --> 00:02:59.253]  He was basically able to sell that to the American public, to the world public, because he had the media following lockstep behind him, like Operation Mockingbird.
[00:02:59.673 --> 00:03:03.355]  But today, there is what he calls a global political awakening.
