[00:00:19.485 --> 00:00:21.366]  Welcome to the InfoWars Nightly News.
[00:00:21.426 --> 00:00:25.428]  It is Friday, May 16, 2014, and I'm Leanne McAdoo.
[00:00:25.909 --> 00:00:36.014]  Well, apparently local news stations have been given the directive to convince their small-town folk that an over-militarized police force is totally fine.
[00:00:36.074 --> 00:00:37.375]  There's nothing to worry about.
[00:00:37.395 --> 00:00:39.056]  It's for your safety.
[00:00:39.929 --> 00:00:44.030]  Tanks, guns, armor, all tried and tested on the battlefield.
[00:00:44.410 --> 00:00:49.451]  Now some of it is here in central Indiana on our streets being used to keep us safe.
[00:00:49.831 --> 00:00:53.792]  Some of our local police departments are now armed for war.
[00:00:54.272 --> 00:00:57.852]  To keep Hoosiers safe at a time of escalating homeland violence.
[00:00:57.912 --> 00:01:06.014]  Plus you have a lot of people that are coming out of the military that have the ability and the knowledge to build IEDs and to defeat law enforcement techniques.
[00:01:06.425 --> 00:01:07.245]  Did you hear that?
[00:01:07.885 --> 00:01:12.387]  They're preparing for the veterans, your likely domestic terrorists.
[00:01:12.767 --> 00:01:16.408]  That was a local news station coming out of Indiana.
[00:01:17.008 --> 00:01:17.748]  Indiana!
[00:01:17.868 --> 00:01:27.591]  They're there convincing the people that they need these tanks and all of this weaponry from Afghanistan because of the domestic unrest in the country.
[00:01:29.032 --> 00:01:30.333]  It's Indiana!
[00:01:30.433 --> 00:01:32.635]  What are they talking about, domestic unrest?
[00:01:32.975 --> 00:01:34.937]  We've been reporting about this all along.
[00:01:35.037 --> 00:01:45.605]  Police are arming themselves to fight against your average American citizen, conservatives, patriots, and definitely returning military.
[00:01:46.106 --> 00:01:47.367]  Why aren't people seeing this?
[00:01:47.447 --> 00:01:53.192]  Well, perhaps because their local news stations are massaging it into their brain that this is completely normal.
[00:01:53.852 --> 00:02:01.221]  And I'm curious if there are other stations out there in other cities that are also being given this rhetoric to spill out to people in their cities.
[00:02:01.782 --> 00:02:11.634]  But notice how there's no mention from the sergeant that he's trying to protect his town from the Mexican drug cartels that are running rampant all over the country.
[00:02:12.435 --> 00:02:25.957]  As the DEA just covers for them, nope, they're just letting you know that it's the returning veterans who've sacrificed for this country who have the knowledge of how to build an IED that are the potential terrorists.
[00:02:26.037 --> 00:02:27.418]  Those are the real threat.
[00:02:27.918 --> 00:02:35.579]  Now, the sergeant admitted that when he drives through the town, people are frightened and they say, why do you need this military vehicle?
[00:02:35.659 --> 00:02:37.239]  Are you here to take our guns?
[00:02:37.779 --> 00:02:41.280]  And he's like, no, no, you know, I'm not going to do that.
[00:02:42.320 --> 00:02:44.761]  Not yet, not until he's given the orders.
[00:02:45.201 --> 00:02:54.423]  And of course this just correlates with the federal rhetoric that's just trying to line up this public point of view that returning veterans are the threat.
[00:02:54.863 --> 00:03:01.984]  So it basically doesn't make any sense when you see the tyranny training facility there at Fort AP Hill.
[00:03:02.405 --> 00:03:04.145]  Basically they're training the troops
[00:03:04.645 --> 00:03:10.908]  To be comfortable firing upon themselves when they return back to the streets of America.
[00:03:11.308 --> 00:03:21.274]  They're training them to be comfortable and desensitized on the streets of America to fire into a bank, or fire into a church, or to a fire station.
