[00:00:52.597 --> 00:00:54.640]  Welcome to the Infowars Nightly News.
[00:00:54.761 --> 00:00:55.682]  I'm Darren McBreen.
[00:00:55.762 --> 00:00:57.325]  It is Friday, May 30th, 2014.
[00:00:57.906 --> 00:01:00.810]  And here's a quick look at what's coming up.
[00:01:04.758 --> 00:01:07.660]  How Militarizing Federal Agents Makes U.S.
[00:01:07.700 --> 00:01:09.261]  Citizens Potential Targets.
[00:01:10.182 --> 00:01:14.885]  And Info Wars continues exclusive coverage of Bilderberg 2014.
[00:01:15.185 --> 00:01:16.986]  All over the news that a lot of even U.S.
[00:01:17.026 --> 00:01:19.868]  publications are saying, yeah, this looks pretty serious.
[00:01:20.228 --> 00:01:21.309]  Why isn't this being covered?
[00:01:21.529 --> 00:01:26.452]  I mean, they're going now from ignoring it to laughing at us and admitting it's real, to not laughing at us.
[00:01:26.912 --> 00:01:30.895]  Only a few publications called us people that believe in space aliens and lizards.
[00:01:32.782 --> 00:01:46.920]  Yesterday the Washington Post disclosed a disturbing Department of Defense directive detailing which circumstances might be appropriate for the federal government to use lethal military force against us.
[00:01:47.541 --> 00:01:49.283]  That's right, the American people.
[00:01:50.293 --> 00:02:03.444]  In a December 2010 directive entitled Defense Support of Civil Authorities, the DoD talks about plans regarding military support for civilian law enforcement.
[00:02:04.125 --> 00:02:06.267]  So much for posse comitatus.
[00:02:06.767 --> 00:02:15.695]  Another blatant constitutional violation as it looks like the federal government continues to prepare for war against the American people.
[00:02:16.295 --> 00:02:32.357]  This would go into effect in the event of a large-scale unexpected civil disturbance when federal action, including the use of military force, will be authorized by the President, the Secretary of Defense, or other civil authorities.
[00:02:33.078 --> 00:02:34.759]  Now don't act so surprised, folks.
[00:02:34.819 --> 00:02:38.462]  I mean, we've been warning you about this for a very long time.
[00:02:38.782 --> 00:02:47.588]  And don't forget, it was the DOD training manuals that we discovered last year, along with the DHS, official DHS studies, they listed
[00:02:48.328 --> 00:03:08.618]  The Patriot Movement, the Liberty Movement, and the Tea Party as potential terrorists, along with parents who homeschool their children, returning veterans, law-abiding gun owners, and you, the conspiracy theorist watching this right now, you might be a potential terrorist, according to the insane federal government.
[00:03:08.898 --> 00:03:16.822]  Now, the DoD training manual says, for example, nowadays, instead of dressing in sheets or publicly espousing hate messages,
[00:03:17.302 --> 00:03:21.625]  Many extremists will talk of individual liberties and states' rights.
[00:03:22.146 --> 00:03:23.887]  Thomas Jefferson, George Washington.
[00:03:24.407 --> 00:03:28.190]  And they also talk about how to make the world a better place.
[00:03:28.570 --> 00:03:34.255]  That's right, it also says that the Founding Fathers would not be welcome in today's military.
[00:03:34.835 --> 00:03:40.220]  And I'm telling you, we are just one false flag terror attack away from a total federal takeover.
[00:03:40.680 --> 00:03:43.243]  Just look at the nation's police departments, for example.
[00:03:43.283 --> 00:03:45.425]  They are totally militarized.
[00:03:45.765 --> 00:03:47.246]  They've got SWAT teams.
[00:03:47.286 --> 00:03:50.529]  They have armored vehicles designed for warfare.
[00:03:50.589 --> 00:03:51.910]  They have unmanned drones.
[00:03:52.311 --> 00:03:55.494]  I mean, they already resemble an occupying army.
[00:03:55.994 --> 00:04:01.516]  Meanwhile, the DHS is stockpiling billions of rounds of ammunition, and the U.S.
[00:04:01.576 --> 00:04:09.579]  military just built a $96 million training facility in Virginia that looks just like an American city.
[00:04:10.059 --> 00:04:18.642]  Our very own Staff Sergeant Joe Biggs and David Knight, they were able to get exclusive footage of the training facility just before being detained by military police.
[00:04:22.003 --> 00:04:26.848]  So the military and police are preparing for civil unrest, and the U.S.
[00:04:26.908 --> 00:04:33.795]  government can now determine when it's appropriate to use lethal military force against Americans.
[00:04:33.875 --> 00:04:36.658]  Wow, I tell you what, a brave new world indeed.
[00:04:37.058 --> 00:04:43.505]  Meanwhile, the RAND Corporation and the New York Times, they are hyping up a new domestic terror threat.
[00:04:43.905 --> 00:04:56.776]  The RAND Corporation is working with the CIA, the FBI, the National Counterterrorism Center, and the DHS to hustle in the next phase in the perpetual war on manufactured terrorism.
[00:04:57.156 --> 00:05:00.219]  This is in an article on Infowars.com by Kurt Nimmo.
[00:05:00.519 --> 00:05:10.848]  We are now supposed to be worried about American-born and bred terrorists trained by al-Nusra in Syria returning home to wage jihad in the heartland.
[00:05:11.388 --> 00:05:18.692]  And this comes after a reported suicide truck bombing allegedly conducted by an unidentified American in Syria.
[00:05:19.233 --> 00:05:22.775]  So this is a shadowy and nameless American terrorist.
[00:05:23.555 --> 00:05:25.456]  Sounds like a CIA co-op to me.
[00:05:25.536 --> 00:05:29.919]  I mean, they're the ones that created the various Al-Qaeda terrorist groups to begin with.
[00:05:30.419 --> 00:05:36.963]  Yes, our government funds Al-Qaeda, or better known around here as Al-Cieda.
[00:05:37.952 --> 00:05:43.155]  Now, yesterday was the start of the Bilderberg Conference in Copenhagen, Denmark.
[00:05:43.475 --> 00:06:00.123]  And as usual, most of the media outlets, with the exception of a handful of alternative media sites, are completely ignoring this historical event that is attended each year for the last, well, 50 years or so, by the most influential people in the world.
[00:06:00.683 --> 00:06:07.831]  InfoWars, however, continues to put this globalist event and their secretive agenda front and center.
[00:06:08.491 --> 00:06:17.220]  And joining us now from Copenhagen, Denmark, is InfoWars Nightly News anchor David Knight, bringing us exclusive coverage from Bilderberg 2014.
[00:06:19.215 --> 00:06:40.679]  Hey, right off the bat, tell us a little bit about the significance of the mainstream media blackout when it comes to Bilderberg because, I mean, we're talking about the most powerful organization in the world basically fixing the world policies behind closed doors, yet there continues to be a blackout when it comes to these meetings.
[00:06:40.979 --> 00:06:45.300]  Almost as if the power elite controls the mainstream media.
[00:06:45.720 --> 00:06:47.641]  Have you seen any mainstream media there?
[00:06:47.741 --> 00:06:50.361]  Tell us about any mainstream media coverage that you've witnessed.
