[00:00:01.672 --> 00:00:02.834]  Coast to coast.
[00:00:03.214 --> 00:00:04.596]  Direct from Austin.
[00:00:05.258 --> 00:00:08.483]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.383 --> 00:00:17.003]  Big Brother.
[00:00:17.684 --> 00:00:18.704]  Mainstream media.
[00:00:19.444 --> 00:00:20.545]  Government cover-ups.
[00:00:21.205 --> 00:00:22.005]  You want answers?
[00:00:22.786 --> 00:00:23.686]  Well, so does he.
[00:00:24.346 --> 00:00:27.948]  He's Alex Jones on the GCN Radio Network.
[00:00:28.528 --> 00:00:32.590]  And now, live from Austin, Texas, Alex Jones.
[00:00:47.264 --> 00:00:55.111]  Well, you've seen the terror alerts they put up on television from mild to imminent to fear monger.
[00:00:55.151 --> 00:01:11.367]  Well, now they're going to have NOAA, the National Weather Service, to the world putting out climate alerts every time there's a tornado or a hurricane or a typhoon.
[00:01:11.667 --> 00:01:12.408]  It's our fault.
[00:01:13.513 --> 00:01:21.497]  They'll have lots of graphics up on television telling us why it's hot in the summer, why it's cold in the winter, and how all the penguins drowned in Antarctica.
[00:01:22.338 --> 00:01:24.599]  And how all the polar bears died in the Arctic.
[00:01:24.619 --> 00:01:32.643]  Of course, it won't matter if there's five times the polar bears today that there were in 1955, according to the federal government.
[00:01:33.123 --> 00:01:35.344]  And its survey and the Russian numbers show the same thing.
[00:01:36.005 --> 00:01:37.305]  Reality doesn't matter.
[00:01:38.306 --> 00:01:41.848]  You know, I hate to say, I told you so, but they just follow a playbook.
[00:01:43.228 --> 00:02:09.353]  I've had to have said at least a hundred times the last couple months that when they finally strike, suppose at ISIS, to really cover up the fact that our government is running the whole show, it has been for four years, that they would come out and say that they had struck some little subgroup
[00:02:10.162 --> 00:02:15.848]  Because there are a bunch of different jihadi groups that aren't under Western, NATO, CIA control.
[00:02:16.588 --> 00:02:22.695]  That they would actually destroy groups that were competing, like Khorasan, that has 50 members, they think.
[00:02:23.335 --> 00:02:25.998]  And there was an imminent attack coming from them!
[00:02:27.800 --> 00:02:33.986]  And I said earlier this week, I said last week, I said a month ago, I said probably every day, until everyone was sick of hearing it,
[00:02:37.065 --> 00:02:41.066]  That they would not even strike real ISIS because that's the entire real force.
[00:02:41.766 --> 00:02:53.550]  You can't bomb the force you just armed and trained, but you've got to have the PR excuse to start bombing outside of the Constitution and Congressional authorization inside Syria, and this is how they do it.
[00:02:53.950 --> 00:02:58.072]  They may come out in a month and say that Assad's secretly with ISIS or something.
[00:02:58.372 --> 00:03:02.593]  I mean, that's how stupid they think you and I are.
[00:03:06.232 --> 00:03:11.857]  But sure enough, I was just talking and the guys pulled up the NOAA weather alerts.
[00:03:11.977 --> 00:03:14.078]  And it says soon they're going to give us climate alerts.
[00:03:14.959 --> 00:03:17.361]  So it always starts with something legitimate sounding.
[00:03:17.461 --> 00:03:18.582]  Bzzz, bzzz, bzzz.
[00:03:18.622 --> 00:03:19.543]  Your phone turns on.
[00:03:20.343 --> 00:03:21.144]  High water alert.
[00:03:21.204 --> 00:03:21.965]  High water alert.
[00:03:23.646 --> 00:03:24.627]  Or bzzz, bzzz.
[00:03:25.207 --> 00:03:26.468]  Wildfires in your area.
[00:03:26.869 --> 00:03:27.870]  Now it's bzzz, bzzz.
[00:03:29.065 --> 00:03:32.226]  Hot weather because of climate change, extreme weather, climate change.
[00:03:32.907 --> 00:03:37.529]  With the authority of government saying it's, it's quote, global warming, climate change.
[00:03:37.549 --> 00:03:38.529]  Well, there's always change.
[00:03:39.470 --> 00:03:54.016]  Now the government messages, this is how it starts, from the president, about terror threats, and from NOAA, and from the Department of Education, and, oh, get your vaccines, bzz, bzz, bing, bing, depending on how you have your phone set.
[00:03:55.257 --> 00:03:56.117]  And now it's constant.
[00:03:57.875 --> 00:04:07.219]  It'll be the middle of the night and my phone, and it wasn't like this until a few months ago, will turn on and start giving me alerts.
[00:04:07.239 --> 00:04:09.060]  Before it had to be on to do that.
[00:04:09.440 --> 00:04:12.902]  So I have to turn it off and put it in another room when it's raining in Austin.
[00:04:13.282 --> 00:04:15.423]  Or the bzzz bzzz government messages.
[00:04:16.363 --> 00:04:19.304]  I remember they were trying this back in the 80s and I covered it in the 90s.
[00:04:19.324 --> 00:04:21.265]  People didn't believe it when I was reading articles about it.
[00:04:21.725 --> 00:04:22.326]  Now it's here.
[00:04:23.231 --> 00:04:24.892]  This is all part of the internet kill switch.
[00:04:25.552 --> 00:04:28.554]  Government taking over radio, TV, the EAS alert systems.
[00:04:29.854 --> 00:04:35.758]  But what's important is they're now rolling it out, which tells you we're closer to the big D-Day globalist takeover.
[00:04:35.798 --> 00:04:40.060]  So we're going to analyze Lord Obama's speech at the UN.
[00:04:41.541 --> 00:04:45.443]  We are going to break down
[00:04:47.398 --> 00:05:02.122]  What's happening with Khorasan and these strikes and... I was watching CNN this morning and they had the female newsreader there listening to the military analyst speak going... She was just going... She had this look on her face, this total concern, totally fake.
[00:05:02.582 --> 00:05:05.663]  About how deadly ISIS is and how they're about to blow us all up.
[00:05:07.343 --> 00:05:08.884]  Yeah, after our government gave them the weapons.
[00:05:10.771 --> 00:05:16.134]  When you're out on the road, the last place you want to be is on the road.
[00:05:17.415 --> 00:05:22.158]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:05:22.558 --> 00:05:29.342]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[00:05:31.283 --> 00:05:33.464]  They sew pride in every stitch.
[00:05:35.345 --> 00:05:37.607]  Guarantee you'll love the way they fit.
[00:05:49.450 --> 00:05:51.311]  We turn jeans inside out.
[00:05:51.592 --> 00:05:53.093]  Diamond Gusset Jeans.
[00:05:53.373 --> 00:05:55.955]  Made in the USA with unparalleled quality.
[00:05:56.255 --> 00:06:00.299]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[00:06:00.319 --> 00:06:02.521]  So you can ride all day with confidence.
[00:06:02.881 --> 00:06:05.083]  Order yours at gusset.com.
[00:06:05.583 --> 00:06:07.024]  Diamond Gusset Jeans.
[00:06:07.164 --> 00:06:07.605]  Got it.
[00:06:07.965 --> 00:06:08.766]  Others don't.
