[00:00:12.318 --> 00:00:16.479]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:17.160 --> 00:00:17.960]  You want answers?
[00:00:18.740 --> 00:00:19.620]  Well, so does he.
[00:00:20.280 --> 00:00:23.882]  He's Alex Jones on the GCN Radio Network.
[00:00:24.482 --> 00:00:28.543]  And now, live from Austin, Texas, Alex Jones.
[00:00:35.686 --> 00:00:36.826]  Welcome to the Alex Jones Show.
[00:00:36.906 --> 00:00:42.748]  I'm David Knight, your host live here in Austin on this Friday, November 21st, 2014.
[00:00:43.229 --> 00:00:46.330]  Paul Joseph Watson is going to be co-hosting with me from the UK.
[00:00:46.910 --> 00:00:48.570]  We've got some interesting guests today.
[00:00:48.590 --> 00:00:52.772]  We've got Paul Craig Roberts, who's going to be talking to us about some international issues and the economy.
[00:00:53.412 --> 00:00:59.474]  And we have a guest, Eric Rush, author of the book, Negrophilia, From Slave Block to Pedestal.
[00:01:00.054 --> 00:01:04.056]  That's an important thing to look at right now as we're waiting for this verdict in Ferguson.
[00:01:04.576 --> 00:01:12.960]  One of the articles that we have on InfoWars right now, rioters to target whites, quote, you will never be safe, not you, not your children.
[00:01:13.857 --> 00:01:14.677]  See, that's the issue.
[00:01:15.578 --> 00:01:21.440]  The issue is what started out, and we've seen this over and over again, not just in Ferguson, but in so many places.
[00:01:21.480 --> 00:01:23.680]  I remember when this first broke as news.
[00:01:23.720 --> 00:01:28.942]  It was yet another case of the police shooting somebody when their life was not in danger.
[00:01:29.482 --> 00:01:30.643]  I still believe that's the case.
[00:01:31.463 --> 00:01:36.185]  Yet, you have this issue of an epidemic of police violence.
[00:01:36.385 --> 00:01:37.486]  Many people have spoken out on it.
[00:01:37.506 --> 00:01:40.027]  We're going to have a quote from Frank Serpico.
[00:01:40.107 --> 00:01:47.330]  I'm sure many of you, pretty much all of you, know him from the movie Serpico, but he spoke out and said that essentially
[00:01:48.362 --> 00:01:59.707]  We've moved from the biggest problem being corruption when he was in New York, essentially a corruption that came on by the war on drugs, that kind of prohibition always corrupts the police.
[00:01:59.727 --> 00:02:06.070]  But he says we've moved on from that, and now the issue really is this out-of-control, unchecked police violence.
[00:02:06.110 --> 00:02:12.473]  But of course, they were able to take what could have been a thoughtful look at the situation, something that both
[00:02:13.213 --> 00:02:24.480]  Uh, sides could come together on, uh, white and black could take a look at this and, uh, see that although this is something that is affecting black people more than it is white people, it is affecting everybody now.
[00:02:24.540 --> 00:02:26.261]  This is a true epidemic.
[00:02:26.963 --> 00:02:33.548]  They just had in the Albuquerque Police Department a memo, a course that's being put out on kill-ology.
[00:02:34.289 --> 00:02:37.891]  We see them talking about Puppyside because they're killing so many dogs.
[00:02:37.911 --> 00:02:44.576]  They're killing everyone and all they have to do is say, I feel that I was threatened and they're given a pass.
[00:02:45.217 --> 00:02:52.522]  We could have a real discussion about how we get control of our government, get control of the police, but instead
[00:02:53.263 --> 00:02:55.966]  They turned it into a racial paradigm.
[00:02:56.506 --> 00:02:58.288]  Trying to turn it into a race war.
[00:02:58.708 --> 00:03:03.292]  And now we see also that they're reinforcing the fear of the police.
[00:03:03.352 --> 00:03:08.957]  The police have been told for a long time by Homeland Security, by the federal government, they've been told that they're in a war.
[00:03:09.538 --> 00:03:10.879]  That they need to fight back.
[00:03:11.479 --> 00:03:13.902]  That they're going to have to shoot first and keep shooting.
[00:03:14.642 --> 00:03:17.004]  And all this does is underscore that.
[00:03:17.725 --> 00:03:25.449]  This is going to basically further entrench this kind of war mentality when they're threatening the police, saying, we're going to come to your house.
[00:03:25.469 --> 00:03:26.709]  We're going to come and get you.
[00:03:27.149 --> 00:03:29.290]  That's not the right way to approach this.
[00:03:29.370 --> 00:03:31.031]  We need to get control of the police.
[00:03:31.351 --> 00:03:32.732]  There needs to be accountability.
[00:03:33.072 --> 00:03:37.474]  Frank Serpico had some really good points to make in the Politico article.
[00:03:37.674 --> 00:03:38.375]  We'd love to get him on.
[00:03:38.415 --> 00:03:40.135]  He's been on with Alex Jones many times.
[00:03:40.175 --> 00:03:41.096]  He's difficult to find.
[00:03:41.796 --> 00:03:43.578]  But that's the real issue.
[00:03:43.618 --> 00:03:46.100]  But instead they're going to make it into a race war.
[00:03:46.140 --> 00:03:48.082]  So we have reporters that are there on the scene.
[00:03:48.542 --> 00:03:52.545]  Jacari Jackson, Joe Biggs are going to be giving us updates on what is happening.
[00:03:53.326 --> 00:03:57.550]  The threats, the build-up and anticipation of today, the grand jury meeting.
[00:03:58.462 --> 00:03:58.722]  I don't know.
[00:04:16.631 --> 00:04:17.972]  I think going to address the problem.
[00:04:18.012 --> 00:04:24.757]  They let this thing run for a very long time before they brought out any evidence that would justify what he did.
[00:04:24.777 --> 00:04:31.521]  I think that was a deliberate effort by the government to move this into a race war.
[00:04:32.062 --> 00:04:38.366]  So we're going to be talking to our reporters there in Ferguson, and as I said, we're going to be talking to Eric Rusch on Negrophilia.
[00:04:38.706 --> 00:04:41.729]  Now there's a lot of reactions today to Obama's
[00:04:42.629 --> 00:04:43.850]  Amnesty speech yesterday.
[00:04:44.230 --> 00:04:48.914]  We're going to be talking about the reactions that people had to that and we're going to talk about what that really means.
[00:04:48.974 --> 00:04:52.017]  Stay with us, we'll be right back with Paul Joseph Watson from the UK.
[00:05:06.365 --> 00:05:09.867]  The government's Department of Homeland Security is buying up loads of ammo.
[00:05:10.007 --> 00:05:13.989]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:05:14.309 --> 00:05:15.749]  Can you put two and two together?
[00:05:16.069 --> 00:05:23.653]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:05:23.933 --> 00:05:24.773]  But for how long?
[00:05:25.074 --> 00:05:31.336]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:05:31.717 --> 00:05:34.538]  Infidel Body Armor just won't quit.
[00:05:36.112 --> 00:05:39.975]  The average person's life is filled with unexpected challenges.
[00:05:40.715 --> 00:05:46.980]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:05:47.080 --> 00:05:56.127]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:05:56.507 --> 00:06:01.330]  Supercharge and conquer your world at Infowarslife.com or call 1-888-253-3139.
[00:06:06.263 --> 00:06:07.504]  Another major health threat.
[00:06:07.524 --> 00:06:12.426]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the water.
[00:06:12.506 --> 00:06:15.147]  Ohio's governor declaring a state of emergency.
[00:06:15.167 --> 00:06:21.949]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:06:22.230 --> 00:06:25.091]  If there's a water emergency, will you be prepared?
[00:06:25.231 --> 00:06:28.152]  Panicked residents forming long lines throughout the day.
[00:06:28.172 --> 00:06:30.153]  We're here at a supermarket in Toledo.
[00:06:30.193 --> 00:06:33.034]  You can see the shelves empty where water once was.
[00:06:33.114 --> 00:06:38.616]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:06:38.836 --> 00:06:42.317]  Water which will not be available at your local grocery store.
[00:06:42.337 --> 00:06:45.338]  There's a mad dash on right now to stock up on supplies.
[00:06:45.438 --> 00:06:52.540]  The ProPure Pro1 G2.0 Water Filtration System is a must-have for every modern, independently-minded household.
[00:06:52.760 --> 00:06:55.801]  Protect your family's safety during an emergency.
