[00:00:19.517 --> 00:00:20.378]  Good evening, everyone.
[00:00:20.418 --> 00:00:22.561]  Welcome to the InfoWars Nightly News.
[00:00:22.682 --> 00:00:23.623]  I'm Darren McBreen.
[00:00:23.723 --> 00:00:24.925]  It is Tuesday, April 21st, 2015.
[00:00:24.965 --> 00:00:26.327]  Here's a quick look at what's coming up.
[00:00:34.565 --> 00:00:37.887]  A bully with a badge rushes a bystander.
[00:00:38.468 --> 00:00:42.490]  Then, Alex Jones on the significance of Bilderberg.
[00:00:43.311 --> 00:00:47.094]  And how the White House and MSN control the narrative.
[00:00:47.314 --> 00:00:48.975]  Boy, did I almost look stupid.
[00:00:49.655 --> 00:00:50.336]  That's next.
[00:00:50.756 --> 00:00:51.356]  Hey, listen!
[00:00:51.396 --> 00:00:52.337]  I'm here to warn people!
[00:00:52.377 --> 00:00:53.658]  You keep telling me to shut up!
[00:00:53.938 --> 00:00:54.819]  This isn't a game!
[00:01:01.610 --> 00:01:11.354]  Starting in the early days of the Cold War, beginning in the late 1940s, this was right after the end of World War II, well then there was the creation of the CIA.
[00:01:11.754 --> 00:01:14.895]  And they began working on a secret project.
[00:01:14.975 --> 00:01:17.376]  It was called Operation Mockingbird.
[00:01:17.836 --> 00:01:23.299]  And this, they, well basically they infiltrated our nation's top media outlets.
[00:01:23.619 --> 00:01:29.181]  And they began to recruit reporters and put them on the CIA's payroll.
[00:01:29.781 --> 00:01:41.271]  The operation proved to be a huge success as the shadowy government propaganda machine was able to plant stories and influence the unsuspecting American public.
[00:01:41.711 --> 00:01:50.738]  No doubt this practice continues to this very day and it has evolved into total control of the mainstream press.
[00:01:51.719 --> 00:01:56.043]  Oh sure, they give you the illusion of choice, but check this out.
[00:01:56.123 --> 00:02:03.469]  Some of you might not know this, but did you know right now there are over 1,500 newspapers in America?
[00:02:03.909 --> 00:02:05.931]  That sounds like a lot to choose from, doesn't it?
[00:02:06.592 --> 00:02:08.553]  Or you can read from over 1,000 magazines.
[00:02:10.595 --> 00:02:14.358]  You also have your choice of 9,000 different radio stations.
[00:02:14.898 --> 00:02:22.323]  You have 1,500 TV stations to choose from nationwide, and 2,400 publishers.
[00:02:22.823 --> 00:02:28.887]  But the choice, like I said, is an illusion, because they are all owned by only six.
[00:02:29.367 --> 00:02:33.130]  That's right, six corporations own it all.
[00:02:34.229 --> 00:02:39.913]  And they influence and control what most of you see, hear and read every single day.
[00:03:04.189 --> 00:03:04.289]  Yes.
[00:03:22.887 --> 00:03:35.077]  They tried to recruit or they invited actors George Clooney and Kevin Spacey to some of their events and they even offered them personal contact information to some of Obama's closest advisors.
[00:03:35.178 --> 00:03:36.579]  So wow, very interesting.
[00:03:36.939 --> 00:03:42.384]  They love to recruit and utilize celebrities because it's very, very effective.
[00:03:42.924 --> 00:03:46.547]  There is even an email from Richard Stengel from the U.S.
[00:03:46.587 --> 00:03:49.188]  State Department, and it reveals how the U.S.
[00:03:49.228 --> 00:03:56.574]  government enlisted Sony and other entertainment corporations in their propaganda war against ISIS and against Russia.
[00:03:56.994 --> 00:03:59.496]  More like against the American people, but check this out.
[00:03:59.536 --> 00:04:01.997]  This is what it said in the email.
[00:04:02.458 --> 00:04:05.060]  Michael, it was great to see you yesterday.
[00:04:05.720 --> 00:04:14.283]  As you can see, we have plenty of challenges encountering ISIL narratives in the Middle East and Russian narratives in Central and Eastern Europe.
[00:04:14.763 --> 00:04:22.766]  In both cases, there are millions and millions of people in those regions who are getting a skewed version of reality.
[00:04:23.306 --> 00:04:23.806]  Yeah, right.
[00:04:24.226 --> 00:04:28.727]  And it's not something that the State Department can do on its own by any means.
[00:04:29.307 --> 00:04:40.469]  Following up on our conversation, I'd love to convene a group of media executives who can help us think about better ways to respond to both of these large challenges.
[00:04:40.870 --> 00:04:47.391]  This is a conversation about ideas, about content and production, about commercial possibilities.
[00:04:47.931 --> 00:04:52.172]  I promise you it will be interesting, fun, and rewarding.
[00:04:53.012 --> 00:05:03.539]  And yes, it was indeed rewarding because Michael Linton later got invited to the Oval Office to have cocktails and dinner with the President and the First Lady.
[00:05:04.079 --> 00:05:07.622]  And I want you all to understand the significance of all this.
[00:05:08.561 --> 00:05:10.822]  The Obama administration and the U.S.
[00:05:10.882 --> 00:05:15.904]  State Department, they are asking Sony Entertainment to influence you.
[00:05:16.384 --> 00:05:26.789]  They want to control the narrative about how you feel about Russia's role in the Ukraine and how you feel about America's new boogeyman, ISIS.
[00:05:28.052 --> 00:05:40.237]  And you know, it's funny, when you think about it, there are a lot of people out there that don't necessarily watch a lot of news on television, and they don't read a lot of newspapers, yet somehow they're able to form a political opinion.
[00:05:40.877 --> 00:05:50.541]  And that is because, without thinking about it, their opinions are shaped and formed by all those TV shows that they watch, and every time they go to the movies.
[00:05:51.201 --> 00:05:56.763]  On the other hand, you've got other people that they do watch a lot of news on television and they do read a lot of newspapers.
[00:05:57.344 --> 00:06:11.090]  They have a stronger political opinion, but it is, it's really a false sense of reality because they are being spoon-fed garbage and they are consuming that garbage their entire lives.
[00:06:11.590 --> 00:06:12.852]  And I'll give you an example.
[00:06:12.992 --> 00:06:15.094]  Let's go back to the Gulf War in 1991.
[00:06:15.715 --> 00:06:22.884]  I was a young man at the time, and I was also heavily influenced by the propaganda of the time.
[00:06:23.565 --> 00:06:29.833]  And I tell you what, if my son hadn't just been born, I probably would have enlisted and joined the fight.
[00:06:30.814 --> 00:06:45.387]  And I'll never forget how one night millions of us were watching television, and lo and behold, there was the new evil dictator, Saddam Hussein, who was being labeled as the next Adolf Hitler.
[00:06:46.306 --> 00:07:03.239]  And we watched in horror as we heard about Saddam's Iraqi Republican Guard marching in and attacking a civilian hospital, killing a bunch of babies by dumping their bodies out of the incubators and onto the bloody streets of Kuwait.
[00:07:04.040 --> 00:07:08.903]  We all watched this on TV and needless to say, we were shocked and horrified.
[00:07:09.864 --> 00:07:13.187]  Thus, the beginning of the sound of the war drums.
[00:07:14.386 --> 00:07:16.107]  They took the babies out of incubators.
[00:07:19.670 --> 00:07:22.792]  Took the incubators and left the children to die on the cold floor.
[00:07:23.613 --> 00:07:31.699]  I can only ask how these animals can commit such barbaric and inhuman acts and then deny that these acts ever took place.
[00:07:32.239 --> 00:07:43.468]  Premature infants in incubators were sentenced to die by having the incubators
[00:07:46.545 --> 00:07:52.547]  The hardest thing was burying the babies.
[00:07:54.368 --> 00:08:00.610]  I myself buried 14 newborn babies that had been taken
[00:08:01.568 --> 00:08:03.109]  I could not help but think of my nephew.
[00:08:17.674 --> 00:08:20.077]  Who if born premature might have died that day as well.
[00:08:20.597 --> 00:08:28.045]  They had kids in incubators and they were thrown out of the incubators so that Kuwait could be systematically dismantled.
[00:08:28.605 --> 00:08:33.090]  Now the sad thing about everything you just watched, it was all bullshit from the very beginning.
[00:08:34.209 --> 00:08:36.951]  I mean, every single one of those guys got up there and lied.
[00:08:37.571 --> 00:08:49.099]  There was no babies dumped out of incubators, and the 15-year-old girl who testified before Congress, come to find out, was the niece of the Kuwaiti ambassador to the US.
[00:08:49.799 --> 00:08:54.584]  She was recruited by the CIA, given acting lessons by a U.S.
[00:08:55.145 --> 00:09:00.550]  public relations firm, and ordered to fabricate the entire story.
[00:09:01.010 --> 00:09:02.892]  As you can see, she was not alone.
[00:09:03.032 --> 00:09:13.283]  Lots of people lied about these babies being dumped from incubators, including the then President of the United States, George Bush Sr.
[00:09:14.212 --> 00:09:21.639]  They had kids in incubators, and they were thrown out of the incubators so that Kuwait could be systematically dismantled.
[00:09:22.079 --> 00:09:24.842]  And I don't know about you, but I don't like being lied to.
[00:09:24.862 --> 00:09:30.146]  And I don't like when they lie to my friends and family, and I don't like when they lie to you.
[00:09:30.166 --> 00:09:39.395]  And let me tell you something, this had a huge impact on how all of us Americans at the time felt about going into war against Saddam Hussein.
[00:09:40.498 --> 00:09:49.902]  Next thing you know, there was a huge group of celebrities who got together and they made a five-minute long music video called Voices That Care.
[00:09:50.842 --> 00:09:54.303]  It aired on primetime television to millions of people.
[00:09:54.323 --> 00:10:00.326]  It was part of an hour-long special in support of our brave troops heading out to war.
[00:10:00.666 --> 00:10:04.687]  Again, this was a big influence on the American people.
[00:10:04.707 --> 00:10:08.449]  And hey, how can you argue with Will Smith?
[00:10:09.837 --> 00:10:22.125]  So all these celebrities show up and we've got, you know, there's musicians, there's actors and actresses, they even have athletes.
[00:10:22.746 --> 00:10:26.088]  You know, somewhere in this video there was Magic Johnson, Michael Jordan.
[00:10:26.108 --> 00:10:29.530]  A little video calibration.
[00:10:30.131 --> 00:10:33.173]  There's a kid from the Wonder Years, Dudley Moore.
[00:10:34.724 --> 00:10:37.266]  Michael Bolton and, you know, earlier we saw Will Smith.
[00:10:38.106 --> 00:10:44.451]  So basically anybody who was anyone in Hollywood around that time, they all showed up for this video.
[00:10:45.111 --> 00:10:51.136]  So if you are one of the few people who didn't support the war at that time, you must have certainly felt out of place.
[00:10:51.176 --> 00:10:55.179]  I mean, after all, all your favorite celebrities, they wanted to go to war.
[00:10:55.539 --> 00:11:00.863]  And then Whitney Houston sang the national anthem at the Super Bowl that year.
[00:11:01.503 --> 00:11:06.127]  It was one of the most unifying and patriotic events in American history.
[00:11:06.448 --> 00:11:07.669]  I mean, people were crying.
[00:11:07.689 --> 00:11:09.030]  I remember I had goosebumps.
[00:11:09.551 --> 00:11:14.035]  We were all so very proud to be Americans at that moment.
[00:11:14.515 --> 00:11:16.677]  And then the war officially began.
[00:11:17.520 --> 00:11:19.340]  And we all got suckered again.
[00:11:19.781 --> 00:11:22.261]  CNN began faking newscasts.
[00:11:22.481 --> 00:11:32.783]  Now these reporters that you're looking at right now, they claimed that they were actually in Israel at the time, and they were under sarin nerve gas attacks from Scud missiles.
[00:11:33.384 --> 00:11:34.104]  But guess what?
[00:11:34.804 --> 00:11:36.644]  They never even left the country.
