[00:00:21.713 --> 00:00:24.014]  The phenomenon is undeniable.
[00:00:25.315 --> 00:00:26.576]  Everyone has experienced it.
[00:00:27.496 --> 00:00:33.140]  You could be at the park, or the mall, or the grocery store, or in a restaurant.
[00:00:34.180 --> 00:00:36.022]  You feel someone's gaze.
[00:00:36.882 --> 00:00:40.424]  Their probing stare, burrowing into the back of your head.
[00:00:41.305 --> 00:00:48.829]  You turn around, and like clockwork, they could be staring at you with love, hate, or just curiosity.
[00:00:49.449 --> 00:00:49.970]  You felt it.
[00:00:51.351 --> 00:00:56.334]  Both of you, momentarily startled, realize that your minds have just touched.
[00:00:58.316 --> 00:01:06.681]  Anyone who listens or watches on a regular basis knows that we're teleprompter free at InfoWars.com.
[00:01:07.562 --> 00:01:09.463]  We don't follow outside talking points.
[00:01:09.563 --> 00:01:13.486]  We research what's happening in the culture.
[00:01:15.179 --> 00:01:22.003]  What's unfolding in the news and try to give the public the most accurate analysis that we can.
[00:01:23.824 --> 00:01:26.165]  We don't engage in a lot of speculation either.
[00:01:29.507 --> 00:01:33.770]  That said, I'm just going to speak from the heart here.
[00:01:36.351 --> 00:01:44.056]  Most of us in our lives have had experiences where we have four warnings or
[00:01:44.947 --> 00:01:50.050]  ominous feelings before something really bad happens.
[00:01:53.112 --> 00:01:54.392]  Call it a sixth sense.
[00:01:55.773 --> 00:02:02.077]  And a lot of mainline scientific journals have documented the fact that research has been done.
[00:02:02.937 --> 00:02:04.218]  And it's not just in humans.
[00:02:05.138 --> 00:02:11.462]  We know that birds like geese and ducks know how to fly south for the winter.
[00:02:12.526 --> 00:02:19.130]  along exact magnetic lines even though they just hatched out a few months before in Canada.
[00:02:20.871 --> 00:02:37.441]  We know that fish and rodents and other animals have been able to basically respond and predict with their behavior when earthquakes or other major earth changes are coming.
[00:02:38.902 --> 00:02:41.324]  Scientists don't exactly understand this
[00:02:43.089 --> 00:02:46.554]  But we know that if we ignore it, we do so at our own peril.
[00:02:49.778 --> 00:02:58.751]  That said, I personally, in my life, have had many experiences where I've had dreams that came exactly true.
