[00:00:19.599 --> 00:00:20.420]  Good evening, everyone.
[00:00:20.460 --> 00:00:22.621]  Welcome to the Infowars Nightly News.
[00:00:22.781 --> 00:00:23.682]  I'm Darren McBreen.
[00:00:23.742 --> 00:00:26.323]  It is Thursday, December 3rd, 2015.
[00:00:27.344 --> 00:00:29.025]  Here's a quick look at what's coming up.
[00:00:33.848 --> 00:00:38.871]  Tonight, what you're not being told about the San Bernardino shooting.
[00:00:39.672 --> 00:00:44.655]  Then, the founder of the Weather Channel on the sham of man-made climate change.
[00:00:45.576 --> 00:00:47.657]  And how the terrorists stole Christmas.
[00:00:48.337 --> 00:00:48.938]  That's next.
[00:00:49.597 --> 00:00:53.159]  I think we will eventually get some indication on what that dispute was about.
[00:00:53.739 --> 00:00:55.180]  This was a holiday party.
[00:00:55.980 --> 00:00:57.841]  Maybe it was called a Christmas party.
[00:00:57.881 --> 00:01:00.322]  I mean, there's so many potential triggers here.
[00:01:01.262 --> 00:01:02.543]  Sheep can't rebel.
[00:01:03.443 --> 00:01:04.164]  They're sheep.
[00:01:04.684 --> 00:01:05.564]  They submit.
[00:01:05.864 --> 00:01:06.845]  They fall.
[00:01:09.866 --> 00:01:11.007]  Will you fall?
[00:01:12.067 --> 00:01:13.388]  They think you will fall.
[00:01:14.588 --> 00:01:15.889]  As they perch on our chest,
[00:01:17.335 --> 00:01:18.155]  Smothering us!
[00:01:18.416 --> 00:01:19.856]  Strangling us in the night!
[00:01:22.357 --> 00:01:28.980]  Or will we become aware of the attack and surge with the power that God gave us to resist?
[00:01:30.221 --> 00:01:31.601]  Clean, pure drinking water.
[00:01:31.882 --> 00:01:33.162]  You can't survive without it.
[00:01:33.362 --> 00:01:34.283]  But where do you get it?
[00:01:34.583 --> 00:01:40.325]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.545 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.689 --> 00:02:04.009]  We're good to go.
[00:02:33.177 --> 00:02:51.217]  In the aftermath of yesterday's tragic shooting in San Bernardino, California, gun control advocates immediately responded by calling for strict universal background checks and, of course, more gun control, even though California
[00:02:51.858 --> 00:02:57.223]  Already has some of the strongest gun laws in the entire nation.
[00:02:57.703 --> 00:03:02.687]  You cannot open carry in California or you cannot have a concealed handgun.
[00:03:03.027 --> 00:03:07.271]  Something that the liberals are very proud of, by the way.
[00:03:07.711 --> 00:03:21.797]  And it basically left the victims of yesterday's shooting defenseless, as it is no secret that these cowardly shooters, well, they usually single out soft targets and gun-free zones.
[00:03:22.297 --> 00:03:26.839]  Meanwhile, the mainstream media was quick to blame right-wing extremists.
[00:03:27.279 --> 00:03:41.552]  CNN interviewed FBI Assistant Director Tom Fuentes, whose first impression was that the terror attack was probably carried out by an anti-government domestic militia group.
[00:03:42.321 --> 00:03:55.611]  What strikes me, Jake, is that you have multiple people in some type of tactical gear, military-style gear, with long weapons, military-type assault rifles, going into a facility and attacking a government function.
[00:03:55.711 --> 00:04:09.502]  If it's county employees having some type of a banquet there, that takes on more of a domestic militia group, an anti-government domestic militia group wanting to attack the government than it does international terrorism where they're usually on a suicide mission.
[00:04:10.444 --> 00:04:19.508]  So they were quick to blame right-wing extremists, but we now know that the terrorist attack was probably carried out by radical Muslims.
[00:04:19.868 --> 00:04:24.930]  Leanne McAdoo is in the Situation Room with more on the California shooters.
[00:04:25.535 --> 00:04:25.876]  Absolutely.
[00:04:25.896 --> 00:04:26.456]  Thank you, Darren.
[00:04:26.496 --> 00:04:30.982]  Well, here's what we know so far about the massacre that took place in San Bernardino, California yesterday.
[00:04:31.363 --> 00:04:35.528]  The shooters were husband and wife Saeed Farouk and Tashfeen Malik.
[00:04:35.969 --> 00:04:40.735]  Now, Farouk worked as a health inspector for the San Bernardino County Health Department for five years.
[00:04:41.175 --> 00:04:46.677]  His co-workers describe him as a devout Muslim, but not one who really would talk about his religion at all.
[00:04:47.137 --> 00:04:50.098]  In fact, they said it seemed like he was living the American dream.
[00:04:50.698 --> 00:04:55.320]  A few years ago, he traveled to Saudi Arabia, and he brought home a wife.
[00:04:55.760 --> 00:04:57.460]  And then, of course, a baby soon followed.
[00:04:57.801 --> 00:05:01.782]  Well, it turns out, Farouk and his wife left their six-month-old baby daughter
[00:05:02.182 --> 00:05:06.464]  With his mother and they said, you know, we're going to go for a doctor's appointment.
[00:05:06.804 --> 00:05:12.005]  But in fact, they were actually going to the office Christmas party to carry out this massacre.
