[00:00:19.628 --> 00:00:21.689]  Welcome to the InfoWars Nightly News.
[00:00:21.769 --> 00:00:22.990]  I'm your host, Jakari Jackson.
[00:00:23.391 --> 00:00:27.433]  It is December 23rd, 2015, and here's a look at our top stories.
[00:00:30.635 --> 00:00:41.122]  Tonight, on the InfoWars Nightly News, China unveils a new game aimed at keeping you an obedient slave.
[00:00:43.424 --> 00:00:46.666]  And Kurt Russell ramps up his fight on the Second Amendment.
[00:00:48.985 --> 00:00:52.868]  Meanwhile, guns are topping Americans' Christmas wish list.
[00:00:54.489 --> 00:00:59.933]  And Joe Biggs interviews a Trump supporter that the DNC wishes didn't exist.
[00:01:00.613 --> 00:01:04.816]  All that and more on tonight's InfoWars Nightly News.
[00:01:30.233 --> 00:01:31.594]  Clean, pure drinking water.
[00:01:31.875 --> 00:01:33.176]  You can't survive without it.
[00:01:33.356 --> 00:01:34.277]  But where do you get it?
[00:01:34.557 --> 00:01:40.322]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.543 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.709 --> 00:02:05.850]  Filter capacity up to 5,000 gallons.
[00:02:06.210 --> 00:02:07.390]  Stainless steel construction.
[00:02:07.670 --> 00:02:08.450]  Easy assembly.
[00:02:08.710 --> 00:02:09.331]  Low maintenance.
[00:02:09.631 --> 00:02:11.451]  Replacement filters are simple to install.
[00:02:11.711 --> 00:02:18.813]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:18.993 --> 00:02:23.994]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:24.194 --> 00:02:26.775]  Go to InfowarsStore.com or call 888-253-3139.
[00:02:33.353 --> 00:02:39.950]  Paul Joseph Watson has a new article out today detailing how China has a credit score system for obedient citizens.
[00:02:40.231 --> 00:02:41.474]  Here's Liane McAdoo with more.
[00:02:42.827 --> 00:02:44.008]  That's right, Jakari.
[00:02:44.228 --> 00:02:48.290]  Now, 1984 was not supposed to be an instruction manual.
[00:02:48.310 --> 00:02:49.390]  It was more of a warning.
[00:02:49.770 --> 00:02:55.113]  But now we are seeing China introducing a credit score for obedient citizens.
[00:02:55.433 --> 00:03:02.576]  Now, this is basically a video game where you earn points by behaving like the government wants you to behave.
[00:03:02.956 --> 00:03:04.377]  So all of China's largest
[00:03:04.597 --> 00:03:05.218]  Thank you so much.
[00:03:23.280 --> 00:03:23.420]  Yes.
[00:03:39.469 --> 00:03:46.892]  Interestingly, it'll hurt not only your score, but it'll also hurt your friend's score as well, anyone that you interact with on social media.
[00:03:47.252 --> 00:03:53.114]  So this is a larger move for publicly shaming people who post controversial opinions.
[00:03:53.174 --> 00:04:00.716]  Because as we know, in a lot of these Asian countries, shame is absolutely the worst thing that that a person can do, bringing shame upon your family.
[00:04:01.116 --> 00:04:02.097]  And so this is a
[00:04:02.757 --> 00:04:03.017]  I think so.
[00:04:23.727 --> 00:04:27.469]  And the leader of one of these labor rights groups was actually jailed.
[00:04:28.070 --> 00:04:29.791]  Six other people were detained as well.
[00:04:30.231 --> 00:04:35.854]  And these people were just trying to help workers get payment of wages and unpaid benefits.
[00:04:36.175 --> 00:04:41.238]  So these people were riling up these workers and of course that's not allowed so they were jailed.
[00:04:41.658 --> 00:04:48.302]  And so you can see how an internet ID system like this where you're basically earning these credit points for
[00:04:48.302 --> 00:04:48.722]  I think so.
[00:05:08.175 --> 00:05:30.827]  There was a panel entitled cyber violence against women and girls a global wake-up call and these feminists who are part of the whole Gamergate scandal they were basically asking the United Nations to censor the internet the entire internet in order to save their feelings and they even mentioned things like people call us stupid or they disagree with our opinions
[00:05:31.187 --> 00:05:35.928]  And so these are the type of things that these women wanted them to censor the entire Internet because of this.
[00:05:36.528 --> 00:05:43.810]  And of course, we reported in 2014 that the White House is already testing a Chinese-style Internet ID.
[00:05:44.630 --> 00:05:46.971]  They were working on a pilot program in 2014.
[00:05:47.051 --> 00:05:51.692]  It was called the National Strategy for Trusted Identities in Cyberspace.
[00:05:52.132 --> 00:05:56.153]  And this would replace the current system of using passwords to access
[00:05:56.573 --> 00:05:56.853]  Thank you!
[00:06:16.727 --> 00:06:17.047]  I think so.
[00:06:37.321 --> 00:06:38.742]  And of course, that's not it.
