[00:00:19.625 --> 00:00:21.647]  Welcome to the Info Wars Nightly News.
[00:00:21.667 --> 00:00:23.029]  I'm your host, Jakari Jackson.
[00:00:23.229 --> 00:00:27.073]  It is January 8th, 2016, and here's a look at our top stories.
[00:00:30.176 --> 00:00:36.703]  Tonight, 2016 is off to the worst start for stock markets ever, despite intervention and trading halts.
[00:00:37.759 --> 00:00:39.039]  And it's not just Germany.
[00:00:39.799 --> 00:00:43.840]  Austrian cops tell women not to go outside as rape gangs take over.
[00:00:44.600 --> 00:00:49.261]  And as part of Obama's gun control, we're told... Buy a smart gun.
[00:00:49.961 --> 00:00:51.222]  You know, it's for the children.
[00:00:51.682 --> 00:00:58.443]  Why can't you say the gun cannot be engaged, the trigger cannot be pulled, absent identification?
[00:00:58.983 --> 00:01:00.643]  Some version of that, smart gun.
[00:01:00.783 --> 00:01:03.704]  But what about children that have protected themselves and others?
[00:01:04.682 --> 00:01:09.146]  A male enters, he has a gun in his hand, and he points it toward this young man.
[00:01:09.567 --> 00:01:14.452]  At that point, the young man fired his handgun at the suspect, and the suspect was hit.
[00:01:14.952 --> 00:01:17.615]  All that and more on tonight's InfoWars Nightly News.
[00:01:30.219 --> 00:01:31.580]  Clean, pure drinking water.
[00:01:31.880 --> 00:01:33.161]  You can't survive without it.
[00:01:33.361 --> 00:01:34.261]  But where do you get it?
[00:01:34.561 --> 00:01:40.325]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[00:01:40.545 --> 00:01:46.268]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[00:01:46.468 --> 00:02:03.329]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[00:02:03.709 --> 00:02:05.850]  Filter capacity up to 5,000 gallons.
[00:02:06.210 --> 00:02:07.390]  Stainless steel construction.
[00:02:07.670 --> 00:02:08.451]  Easy assembly.
[00:02:08.711 --> 00:02:09.331]  Low maintenance.
[00:02:09.631 --> 00:02:11.452]  Replacement filters are simple to install.
[00:02:11.712 --> 00:02:18.814]  And now, as part of an exclusive limited time introductory offer, you can save $20 off the retail price and get free shipping.
[00:02:18.994 --> 00:02:23.996]  This is a limited time offer, so order your unit today and receive free shipping and $20 off.
[00:02:24.196 --> 00:02:26.777]  Go to InfowarsStore.com or call 888-253-3139.
[00:02:33.390 --> 00:02:40.556]  This week we've heard a lot about the President's proposed gun actions, these executive actions that he says that Congress needs to get in line with him.
[00:02:41.117 --> 00:02:52.607]  Now regardless of what you think about the President and what he's trying to do here, saying that the Congress needs to get in line with what you're pushing is, if you don't want to say dictatorial, it's definitely inching towards that.
[00:02:53.028 --> 00:02:54.489]  And I want to look at the President's fact sheet.
[00:02:55.070 --> 00:02:58.152]  He has a fact sheet about the new executive orders that he wants to push through.
[00:02:59.233 --> 00:03:06.895]  And I had a lot of questions when I first heard this press conference about some particular things that he wanted to get through on this session here.
[00:03:07.615 --> 00:03:15.798]  And I will say that I may have jumped the gun saying that he wanted to register things such as giving family members firearms, so I was off the mark on this.
[00:03:16.838 --> 00:03:23.902]  On this particular angle, when we're looking at people who are engaged in businesses and what that means, engaged in the business of selling a firearm.
[00:03:24.202 --> 00:03:30.405]  Now, most people would think, you know, some FFL dealer, obviously a brick and mortar store, but he went on to expand it a little bit.
[00:03:30.445 --> 00:03:32.026]  And I want to read this example to you.
[00:03:32.386 --> 00:03:34.227]  And this is from the White House website.
[00:03:34.267 --> 00:03:36.508]  This is not my, you know, ad lib here.
[00:03:36.628 --> 00:03:37.348]  This is what they said.
[00:03:37.409 --> 00:03:43.912]  For example, courts have upheld convictions for dealing without a license when as few as two firearms were sold.
[00:03:44.412 --> 00:03:49.076]  Or when even one or two transactions took place when other factors were also present.
[00:03:49.556 --> 00:03:52.599]  So, which is to say, you know, you don't have to be a big volume guy.
[00:03:52.619 --> 00:03:56.522]  You don't have to have a brick and mortar store or, you know, even a successful online store.
[00:03:56.562 --> 00:04:04.948]  If you're involved in as little as two transactions with other factors, that could be considered being a dealer or being engaged in the business.
[00:04:05.229 --> 00:04:11.394]  Now, what these other factors are, I don't know, but this gives me a whole lot of concern that if you, for example,
[00:04:11.894 --> 00:04:17.919]  You go out, you meet somebody in a parking lot, whatever, you say, come over to my house, I'll sell you a couple guns in my garage.
[00:04:18.279 --> 00:04:20.661]  Okay, so you're selling two firearms to the person.
[00:04:21.101 --> 00:04:28.767]  Now, what are these other factors that could have you considered to be engaged in business as far as the eyes of the law are concerned?
[00:04:29.107 --> 00:04:31.889]  And that's the kind of thing that really concerns me about this whole deal.
[00:04:32.270 --> 00:04:41.397]  It's a lot of iffy things that aren't really explained fully, in my opinion, for the people to decide on before this type of legislation takes effect.
[00:04:41.997 --> 00:04:49.228]  Now, other people had other issues with what the president had to say, and one of them was the widow of Chris Kyle, the decorated sniper.
[00:04:49.829 --> 00:04:54.837]  And she confronted Obama about his gun actions and says the new rules give people false hope.
[00:04:55.595 --> 00:04:58.058]  I want to think that we can make a law and people will follow it.
[00:04:58.498 --> 00:05:06.148]  By the very nature of looking at the people who hurt our loved ones here, I don't know that any of them would have been stopped by the background check.
[00:05:06.568 --> 00:05:10.413]  I want the hope, and the hope that I have the right to protect myself.
[00:05:10.833 --> 00:05:12.635]  That I don't end up to be one of these families.
[00:05:12.695 --> 00:05:15.479]  That I have the freedom to carry whatever weapon I feel I need.
[00:05:16.209 --> 00:05:17.330]  And she wasn't the only one.
[00:05:17.710 --> 00:05:31.396]  Also at this town hall forum on CNN, they had a survivor of rape, and she's saying, President Obama, can't you see that these laws that you're trying to push through are just going to make it more difficult for people like myself to purchase a firearm and make my children less safe?
[00:05:32.210 --> 00:05:43.039]  It seems like being able to purchase a firearm of my choosing and being able to carry that wherever me and my family are, it seems like my basic responsibility as a parent at this point.
[00:05:43.459 --> 00:05:49.944]  I have been unspeakably victimized once already and I refuse to let that happen again to myself or my kids.
[00:05:50.664 --> 00:06:01.293]  So why can't your administration see that these restrictions that you're putting to make it harder for me to own a gun or harder for me to take that where I need to be is actually just making my kids and I less safe?
[00:06:02.199 --> 00:06:13.643]  Now the president, to an extent, was correct in saying that she would still be able to buy a firearm, she would just have to go through the system that he wants to lay out, whether it be a background check, or maybe even purchasing some type of smart firearm.
[00:06:13.883 --> 00:06:16.584]  We'll talk about kids using smart firearms here in a little bit.
