[00:00:00.009 --> 00:00:00.511]  We're good to go.
[00:00:15.014 --> 00:00:15.654]  Big Brother.
[00:00:16.335 --> 00:00:17.355]  Mainstream media.
[00:00:18.096 --> 00:00:19.197]  Government cover-ups.
[00:00:19.877 --> 00:00:20.657]  You want answers?
[00:00:21.438 --> 00:00:22.318]  Well, so does he.
[00:00:22.999 --> 00:00:26.581]  He's Alex Jones on the GCN Radio Network.
[00:00:27.181 --> 00:00:31.284]  And now, live from Austin, Texas, Alex Jones.
[00:00:37.347 --> 00:00:39.529]  Well, he first came into government under the
[00:00:40.763 --> 00:00:43.686]  Bush 41, Mr. New World Order Administration.
[00:00:44.166 --> 00:00:47.349]  He's one of these Rockefeller Republican slash Democrats.
[00:00:48.349 --> 00:00:51.372]  Merrick Garland, nominated to the Supreme Court.
[00:00:51.412 --> 00:00:57.257]  He's already a senior federal judge, already confirmed by Congress, so Obama claims they can fast-track him.
[00:00:57.937 --> 00:00:58.738]  And guess what?
[00:00:58.798 --> 00:01:01.780]  He's known to be extremely anti-Second Amendment.
[00:01:03.302 --> 00:01:06.284]  Isn't that a surprise for everyone?
[00:01:06.785 --> 00:01:09.287]  None of us saw that coming today, did we?
[00:01:10.137 --> 00:01:10.337]  No.
[00:01:11.978 --> 00:01:13.478]  So we'll be breaking it down.
[00:01:14.278 --> 00:01:19.759]  Washington Times headline, Merrick Garland has a very liberal view of gun rights.
[00:01:20.340 --> 00:01:28.062]  Now, if you use the proper definition of liberal, that means he's for total citizen right to keep and bear arms, like this country started out in.
[00:01:28.102 --> 00:01:31.542]  But instead, liberal means less rights in the new 1984 upside down world.
[00:01:35.270 --> 00:01:43.838]  We have Joel Skousen of the World Affairs Brief joining us on the geopolitical situation with North Korea, Russia, the pullout in Syria and more in the second hour.
[00:01:43.878 --> 00:01:55.808]  I had other guests on today but I've cancelled them because I want to cover the big mega massive win in the latest Super Tuesday event last night with Donald Trump and how the media is trying to spin that in the latest attacks.
[00:01:56.269 --> 00:01:57.109]  That is all coming up.
[00:01:57.990 --> 00:02:01.853]  Other good news, Texas can sue feds over BLM land grab.
[00:02:01.933 --> 00:02:17.023]  They're taking people's property, thousands of acres, on both sides of the Red River in Oklahoma and in Texas that have been in some families hands for over a hundred years and they're taking
[00:02:18.311 --> 00:02:19.012]  They're houses.
[00:02:19.432 --> 00:02:26.077]  You actually own it, you have full title, you pay property tax on it, and they put a sign on it saying road closed.
[00:02:26.837 --> 00:02:30.040]  If you try to go to your house, men with machine guns show up.
[00:02:32.141 --> 00:02:43.110]  This is the aggressive, hateful, anti-American posture of the occupied, illegitimate federal government that lawlessly opens the borders, brings people in, but then tells you that you have no rights.
[00:02:44.616 --> 00:02:46.097]  People say, well then support the Bundys!
[00:02:46.138 --> 00:02:47.139]  Let's have a war with them!
[00:02:47.559 --> 00:02:51.142]  We're going to win through the courts and taking back Congress and the states.
[00:02:52.003 --> 00:02:53.285]  And suing these people.
[00:02:55.527 --> 00:03:02.113]  And if a shooting war does start, it's not going to start at some federal refuge where the public thinks people have taken something over.
