[00:00:20.151 --> 00:00:22.036]  Welcome to the Info Wars Nightly News.
[00:00:22.096 --> 00:00:25.806]  It is Thursday, April 7th, 2016, and I'm Leanne McAdoo.
[00:00:26.087 --> 00:00:27.010]  Here's what's coming up tonight.
[00:00:30.404 --> 00:00:30.804]  Tonight.
[00:00:31.265 --> 00:00:31.765]  Mayday!
[00:00:31.885 --> 00:00:32.386]  Mayday!
[00:00:32.786 --> 00:00:40.492]  CNN freaks out over the Alex Jones plan to assemble a protest at the Republican National Committee.
[00:00:40.652 --> 00:00:48.498]  To let people feel the pressure of the American people and those who have bothered to vote in these primaries and caucuses.
[00:00:48.518 --> 00:00:51.560]  Yeah, we're the victims that they're openly robbing as we speak.
[00:00:51.601 --> 00:00:53.262]  That sounds slightly ominous.
[00:00:53.342 --> 00:00:55.343]  I mean, is that the way you want the delegates counted?
[00:00:56.244 --> 00:01:07.914]  Iranian hackers attempted a cyber attack on the United States, but the public didn't learn about the cyber crimes until after Obama's nuclear deal with Iran.
[00:01:08.415 --> 00:01:12.438]  And guess who's triggering the social justice warriors this time?
[00:01:12.859 --> 00:01:18.083]  It's Thomas the Tank Engine, because he doesn't have enough black friends.
[00:01:18.684 --> 00:01:19.244]  Racist!
[00:01:19.724 --> 00:01:23.548]  All that plus much more up next on the InfoWars Nightly News.
[00:02:10.433 --> 00:02:16.755]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:02:17.115 --> 00:02:18.575]  I believe our research is conclusive.
[00:02:18.615 --> 00:02:19.976]  This is the best iodine out there.
[00:02:20.256 --> 00:02:21.376]  And I know this for a fact.
[00:02:21.916 --> 00:02:26.697]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:02:26.817 --> 00:02:30.558]  For a limited time, experience the ancient power of Survival Shield X2.
[00:02:31.299 --> 00:02:32.759]  I believe our research is conclusive.
[00:02:32.799 --> 00:02:34.139]  This is the best iodine out there.
[00:02:34.179 --> 00:02:36.300]  Take advantage of this at InfoWarsLife.com.
[00:03:03.151 --> 00:03:06.573]  Well, a homicide has hit close to home here in Austin, Texas.
[00:03:06.613 --> 00:03:12.457]  The body of an 18-year-old freshman was found on the campus at University of Texas here in Austin.
