[00:00:12.389 --> 00:00:14.530]  He said in October I'd be dead in six months.
[00:00:26.116 --> 00:00:31.199]  From the front lines of the information war, it's Alex Jones.
[00:00:37.863 --> 00:00:41.845]  So, Hillary Rodham Clinton wants to be the first lady of the United States.
[00:00:43.919 --> 00:00:50.425]  But last Friday it came out the FBI did the big data dump ahead of the holiday weekend so nobody would look at the information.
[00:00:51.626 --> 00:01:02.757]  It turns out she couldn't answer questions about all the lies she told the FBI and federal prosecutors and investigators because she had a traumatic brain injury and disorder.
[00:01:04.229 --> 00:01:05.750]  But I thought that was a conspiracy theory.
[00:01:05.790 --> 00:01:08.452]  Here's the headline from Infowars.com.
[00:01:08.472 --> 00:01:11.674]  It was also in Associated Press, you name it, Reuters.
[00:01:12.175 --> 00:01:17.879]  Hillary couldn't answer FBI questions due to brain injury, doc show.
[00:01:18.339 --> 00:01:23.703]  Clinton cited concussion for being unable to recall details regarding private email server.
[00:01:24.544 --> 00:01:29.367]  So she wants to be president, but she can't remember any details because she's so brain damaged.
[00:01:30.008 --> 00:01:32.890]  And it's a conspiracy theory to say that she is brain damaged.
[00:01:33.735 --> 00:01:51.691]  Even though the Secret Service has told this individual that she is seriously brain damaged and many times has trouble even walking and you see her being reclusively held back from the public, being spirited, being circulated, being posited into areas that are very, very hard to see.
[00:01:53.542 --> 00:01:59.584]  Add this to a month ago, I, myself, and Donald Trump and others came out and said we're really worried about election fraud in this campaign.
[00:01:59.604 --> 00:02:00.585]  We've got a long history of it.
[00:02:00.605 --> 00:02:02.065]  You tried to steal the nomination from Trump.
[00:02:02.365 --> 00:02:03.806]  You did steal it from Bernie Sanders.
[00:02:04.866 --> 00:02:06.126]  We're going to be investigating.
[00:02:07.027 --> 00:02:10.688]  And Obama came out and said this is preposterous, why the federal government doesn't investigate.
[00:02:10.708 --> 00:02:13.469]  The federal government doesn't get involved in elections.
[00:02:13.529 --> 00:02:14.629]  It's all run by locals.
[00:02:15.510 --> 00:02:21.212]  Now they've come out and announced that Homeland Security is taking over and running the elections along with EU bureaucrats.
[00:02:22.139 --> 00:02:32.410]  So this is now all really unraveling for the social engineers, and they've got big problems with their deceptive narratives.
[00:02:32.430 --> 00:02:38.837]  But I want to ask you, the viewers today, on this Sunday, the fourth day of September 2016, are they crazy enough to try to put
[00:02:43.163 --> 00:02:49.487]  A corpse, not just a physical person in bad shape, but a political corpse of an old, twisted dynasty.
[00:02:50.188 --> 00:03:00.154]  Thanks to the Republicans and Libertarians doing the right thing, real Libertarians, not Gary Johnson the shell, we saw the Bush dynasty finally destroyed to a great extent, put away, discredited.
[00:03:03.256 --> 00:03:03.637]  But now...
[00:03:04.730 --> 00:03:07.271]  I guess they're back with another reincarnation of the Clintons.
[00:03:07.871 --> 00:03:09.412]  And the Clintons basically had two terms.
[00:03:09.552 --> 00:03:11.372]  Obama, who they helped put in office, had two terms.
[00:03:11.752 --> 00:03:16.974]  This will be their fifth and sixth term if Hillary is able to get into the White House.
[00:03:17.034 --> 00:03:18.615]  It'll open it up for her sixth term.
[00:03:18.635 --> 00:03:21.235]  She'll be in for her fifth term as co-president.
[00:03:21.736 --> 00:03:23.116]  How far will this go?
[00:03:23.616 --> 00:03:24.757]  What will we put up with?
[00:03:24.817 --> 00:03:25.857]  Or have they gone too far?
[00:03:27.332 --> 00:03:35.181]  Putting a puppet like this in even though the public is rejecting it and even though that puppet itself is clearly flailing around having serious health problems.
[00:03:35.941 --> 00:03:46.052]  Now that said, today is going to be a very special broadcast because I've got a lot of special reports we've never aired yet or special reports that are so important I want to air them again.
[00:03:47.176 --> 00:03:52.541]  And some of those are the elite trying to become, quote, real life vampires.
[00:03:53.021 --> 00:03:54.963]  I'm not saying Peter Thiel wants to be a vampire.
[00:03:55.403 --> 00:04:04.111]  I'm saying that all the major billionaires that we look at are obsessed with life extension technologies, and so much of that orbits around the blood of the young.
