[00:00:20.219 --> 00:00:22.100]  Welcome to the InfoWars Nightly News.
[00:00:22.140 --> 00:00:25.761]  It is Monday, December 5th, 2016, and I'm Leigh Ann McAdoo.
[00:00:25.922 --> 00:00:26.922]  Here's what's coming up tonight.
[00:00:29.603 --> 00:00:43.369]  Tonight, CBS labels InfoWars a fake news website and says Alex Jones is a conspiracy theorist who believes the Sandy Hook shooting was a hoax.
[00:00:43.389 --> 00:00:44.510]  Wait a minute, he never said that.
[00:00:45.754 --> 00:00:52.020]  Meanwhile, the rest of the mainstream media is flipping out over Donald Trump's phone call to Taiwan.
[00:00:52.040 --> 00:00:57.986]  I think the conversation that happened this week with the president of Taiwan was a courtesy call.
[00:00:58.026 --> 00:01:03.912]  She reached out to the president-elect and he took the call from the democratically elected leader of Taiwan.
[00:01:04.733 --> 00:01:09.915]  Then, ISIS says Inauguration Day will be Bloody Friday.
[00:01:10.295 --> 00:01:15.577]  And a look at two extraordinary films that China does not want you to watch.
[00:01:15.977 --> 00:01:21.619]  The government in China is doing a terrible thing, which is comparable to what the Nazis did.
[00:01:21.879 --> 00:01:25.921]  All that, plus much more, up next on the InfoWars Nightly News.
[00:01:30.330 --> 00:01:36.954]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.055 --> 00:01:44.720]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.040 --> 00:01:55.727]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:02.995 --> 00:03:08.018]  Well, it's another week and another onslaught of the fake news stories that are out there.
[00:03:08.098 --> 00:03:16.464]  And of course, CBS is joining other mainstream people on the attack, now labeling InfoWars as a fake news website.
[00:03:16.944 --> 00:03:23.049]  They put out a little slide, a piece that's entitled, Don't Get Fooled By These Fake News Sites.
[00:03:23.669 --> 00:03:24.830]  This is CBS News, okay?
[00:03:24.850 --> 00:03:30.412]  They brought you Rathergate and Saddam Hussein's non-existent weapons of mass destruction.
[00:03:30.932 --> 00:03:44.138]  So they also have InfoWars and Alex Jones alongside The National Report or The Onion or Real News Right Now, all of which say on their About section that, hey, this is all in jest.
[00:03:44.518 --> 00:03:46.399]  The stories on the site are all satire.
[00:03:46.579 --> 00:03:51.261]  Of course, The Onion is one of the most well-known satirical news websites on the Internet.
[00:03:51.861 --> 00:04:00.549]  So now they're saying Alex Jones, radio host and conspiracy theorist, is along the lines with the fake news outlets.
[00:04:00.709 --> 00:04:14.321]  I mean, regardless of the fact that we forced the mainstream media to cover a lot of stories, like the ammo purchase, of course, by some different government agencies, we forced them to talk about certain stories that they refuse to discuss.
[00:04:14.741 --> 00:04:17.263]  Now, as Paul Joseph Watson points out in this article,
[00:04:18.544 --> 00:04:30.810]  CBS, it's very ironic that they would call anybody fake news because of course in 2004, 60 Minutes produced critical documents of President George W. Bush's service in the Air National Guard.
[00:04:31.210 --> 00:04:33.651]  The documents turned out to be complete forgeries.
[00:04:33.691 --> 00:04:39.013]  The scandal was so bad it forced veteran news anchor Dan Rather to resign.
[00:04:39.473 --> 00:04:42.595]  CBS News also dutifully spread the fake news
[00:04:43.155 --> 00:04:48.358]  Before the invasion of Iraq, that Saddam Hussein had mobile biological weapons labs.
[00:04:48.458 --> 00:04:53.961]  It's a story that turned out to be a completely contrived claim from a notoriously unreliable source.
