[00:00:00.029 --> 00:00:02.211]  We've got it.
[00:00:02.251 --> 00:00:08.696]  This transmission is coming to you.
[00:00:08.776 --> 00:00:10.878]  Waging war on corruption.
[00:00:13.160 --> 00:00:18.765]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:21.026 --> 00:00:28.993]  Ladies and gentlemen, here we are broadcasting worldwide on this Friday, pre-Christmas transmission, December 23rd, 2016.
[00:00:29.594 --> 00:00:36.980]  In just a couple days, it's going to be 2017, the beginning of the Trump presidency.
[00:00:37.861 --> 00:00:38.261]  What are we, like 20?
[00:00:40.272 --> 00:00:41.992]  24 days out or so until the inauguration.
[00:00:42.032 --> 00:00:45.073]  We've seen all the incredible moves to keep Trump from getting in.
[00:00:45.113 --> 00:00:48.134]  That tells you the globalists do not like what they're seeing.
[00:00:48.154 --> 00:00:52.775]  I'm not saying Trump's perfect, nobody is, but certainly this is real fear, real concern.
[00:00:53.435 --> 00:01:00.436]  They have thrown the kitchen sink at the American people, at the people of the UK and many others, trying to keep globalism in place and it's not working.
[00:01:00.476 --> 00:01:04.717]  So this is major, major cause for celebration.
[00:01:06.280 --> 00:01:07.541]  And I'm not celebrated enough.
[00:01:07.861 --> 00:01:13.764]  Last week, whenever they tried to overthrow the electors and intimidate anybody on the death threats, it backfired.
[00:01:13.784 --> 00:01:23.009]  Hillary lost more electors from the Electoral College, what was it, last Monday, on the 19th of December, than Trump did.
[00:01:23.029 --> 00:01:25.270]  A major rebuff
[00:01:26.542 --> 00:01:34.309]  A rejection of the entire power of the corporate establishment sewage stream media in their dirty little faces.
[00:01:35.050 --> 00:01:36.731]  So, certainly an exciting situation.
[00:01:37.572 --> 00:01:44.838]  Now, as we speak on this Friday, if all has gone well, I'm going to be listening to the broadcast with you.
[00:01:45.699 --> 00:01:52.104]  Because, if you go to the Times Space Continuum, I am recording this on Wednesday evening
[00:01:53.456 --> 00:01:56.298]  As an intro to a very special retransmission.
[00:01:56.378 --> 00:02:03.022]  Now when I'm on the holidays, Christmas time off with the family, I should be Friday hunting with my son, spending some really special time with him.
[00:02:04.161 --> 00:02:05.863]  I'll be listening in the deer stand.
[00:02:05.883 --> 00:02:07.044]  I haven't really got enough to do that.
[00:02:08.025 --> 00:02:09.686]  Haven't done as much hunting as I'd like to this year.
[00:02:09.706 --> 00:02:11.808]  Done some bird hunting, a little bit of deer hunting.
[00:02:12.228 --> 00:02:22.738]  So I'll be spending some time around the campfire probably with my son after getting off the deer stand this Friday as we all together listen to Jordan Maxwell.
[00:02:23.219 --> 00:02:27.643]  We had a very powerful, very informative interview with him last week.
[00:02:27.683 --> 00:02:29.624]  He's going to be retransmitted.
