[00:00:18.755 --> 00:00:20.716]  Welcome to the InfoWars Nightly News.
[00:00:20.776 --> 00:00:25.099]  It is Tuesday, February 14th, 2017, and I'm Leigh Ann McAdoo.
[00:00:25.159 --> 00:00:26.160]  Here's what's coming up tonight.
[00:00:29.783 --> 00:00:43.632]  Tonight, the military-industrial complex is trying to sabotage Donald Trump, and they want to purge the Trump administration and replace them with their very own globalist puppet sellouts.
[00:00:43.812 --> 00:00:44.333]  In effect,
[00:00:44.773 --> 00:00:46.514]  Refilling the swamp.
[00:00:46.854 --> 00:00:53.156]  Meanwhile, the Russians fear that the Washington establishment will try to assassinate the president.
[00:00:53.536 --> 00:01:00.719]  And Hillary Clinton says General Flynn's resignation is payback for exposing Pizzagate.
[00:01:01.399 --> 00:01:07.742]  All that plus George Soros and the World Bank's make plans for a cashless society.
[00:01:08.642 --> 00:01:11.325]  What can Europe do in this new world order?
[00:01:11.765 --> 00:01:15.869]  Become embedded in an international system.
[00:01:18.091 --> 00:01:22.514]  All that plus much more up next on the InfoWars Nightly News.
[00:01:30.347 --> 00:01:36.952]  In case you haven't heard, InfoWars has become the most influential media outlet in America.
[00:01:37.052 --> 00:01:44.718]  We're making freedom go viral, and now we are proud to announce a new weapon in the epic battle against the globalists.
[00:01:45.039 --> 00:01:55.747]  InfoWars Prime, where you can watch live high-definition feeds of the Alex Jones Show, plus exclusive insider videos from the InfoWars crew and behind-the-scenes
[00:01:56.007 --> 00:01:56.387]  Action!
[00:01:56.427 --> 00:02:00.388]  Go to InfoWars.com forward slash app and download today.
[00:02:00.668 --> 00:02:04.870]  InfoWars Prime is available right now for your iPhone or Android.
[00:02:04.990 --> 00:02:09.511]  You will have access to exclusive videos that you can't see anywhere else.
[00:02:09.891 --> 00:02:15.173]  That means live coverage of events and breaking news on location as it happens.
[00:02:15.433 --> 00:02:22.343]  You can also take advantage of amazing deals from the InfoWars store that are only available for InfoWars Prime subscribers.
[00:02:22.503 --> 00:02:26.589]  That's InfoWars Prime at InfoWars.com forward slash app.
[00:02:26.850 --> 00:02:29.493]  If you can hear my voice, you are the resistance.
[00:03:03.700 --> 00:03:13.892]  The surprise resignation of General Flynn is actually part of an ongoing effort by the military-industrial complex to sabotage Trump and reassert control over foreign policy.
[00:03:14.213 --> 00:03:15.875]  Paul Joseph Watson has the story.
[00:03:16.235 --> 00:03:23.184]  Now, General Flynn was backed into a corner after it was revealed that he had a phone conversation with a Russian ambassador back in December.
[00:03:23.884 --> 00:03:34.133]  Establishment neocons and neolibs from both parties could seize upon this to validate this narrative that the Russians hacked the election to help Trump and to defeat Hillary Clinton.
[00:03:34.834 --> 00:03:42.080]  And you could say that Flynn was merely exercising due diligence because he was the incoming National Security Advisor.
[00:03:42.200 --> 00:03:45.243]  He was communicating with a very prominent foreign official.
[00:03:45.803 --> 00:03:45.923]  Yes.
[00:04:06.912 --> 00:04:18.774]  Many of the people in the establishment, politicians, have been violating the Logan Act for years by meeting secretly at the Bilderberg meetings and without a whimper, of course, of dissent from the press.
[00:04:19.334 --> 00:04:26.735]  Now, Watson goes on to explain how when Democrats meet with Russian officials, it's treated as no big deal.
[00:04:26.835 --> 00:04:34.117]  Prime example, in 1984, Senator Ted Kennedy approached the Soviet government about aid in defeating Ronald Reagan's re-election.
[00:04:34.517 --> 00:04:35.717]  He offered them diplomatic
[00:04:36.377 --> 00:04:36.958]  No big deal.
[00:04:37.018 --> 00:04:37.498]  He got a pass.
[00:04:54.518 --> 00:05:04.167]  And coming out of Fox News, they're saying Trump and GOP lawmakers are actually more concerned with the potentially illegal leaks in the wake of Flynn's resignation.
[00:05:04.187 --> 00:05:09.633]  Donald Trump treated out the real story here is why are there so many illegal leaks coming out of Washington?
[00:05:09.953 --> 00:05:13.256]  Will these leaks be happening as ideal on North Korea, etc.? ?
[00:05:13.937 --> 00:05:18.459]  And of course they will because Donald Trump, you were supposed to get in there and drain the swamp.
[00:05:18.819 --> 00:05:23.921]  Now you're going to have to clean house because you obviously have some rogue agents there on the inside.
[00:05:24.421 --> 00:05:35.486]  Now Fox News first reported on Monday that the House Intelligence Committee chairman is wanting the FBI to conduct an assessment of these recent media leaks and they asked
[00:05:36.573 --> 00:05:42.597]  Flynn actually asked in a Tuesday morning whether these leaks were targeted, coordinated, and possibly a violation of the law.
[00:05:42.797 --> 00:05:46.259]  He told Fox News, yes, yes, and yes.
[00:05:46.979 --> 00:05:55.645]  So what they're arguing is that the conversations that he had with this top Russian official was that it would breach diplomatic protocol, possibly violate the Logan Act.
[00:05:56.565 --> 00:06:10.522]  Uh, but what's the, what's at issue here is that the intelligence community was actually capturing his phone calls with this Russian intelligence agencies, um, and they're supposed to protect the identity of any Americans that they're collecting.
[00:06:11.463 --> 00:06:12.464]  Phone calls from.
[00:06:12.704 --> 00:06:24.771]  So the House Intelligence Committee chair is saying, if the press reports are right, someone made the decision to deliberately listen to General Flynn's phone calls and it's unprecedented, unwarranted, and flat out wrong.
[00:06:25.151 --> 00:06:33.797]  And the Daily Caller is actually saying, indeed, the number of leakers cited in the reporting of Flynn's calls were substantial, nine current
[00:06:34.477 --> 00:06:34.557]  And
[00:06:49.494 --> 00:06:53.097]  He was going to actually be building some sort of a cloud for them to communicate.
[00:06:53.377 --> 00:06:58.741]  So of course it's the Washington Post that's going to break the CIA's big story.
[00:06:59.242 --> 00:07:02.324]  And this is also what the conservative treehouse is reporting.
[00:07:02.704 --> 00:07:07.968]  They say anti-Trump intel black hats are responsible for fake Flynn controversy.
[00:07:08.829 --> 00:07:15.094]  They said all you ever needed to know about this rubber tire is the evidence following the CNN paragraph.
[00:07:15.114 --> 00:07:18.977]  They said the message was delivered by then acting Attorney General Sally Yates.
[00:07:19.897 --> 00:07:20.758]  Uh, she gone.
[00:07:21.278 --> 00:07:29.402]  Other top intelligence officials, including James Clapper and John Brennan, were in agreement that the White House should be alerted about these concerns.
[00:07:29.943 --> 00:07:35.686]  So, again, goes on, the Washington Post is the originating source of the controversy, the fiasco.
[00:07:36.366 --> 00:07:47.152]  The Washington Post is the official leak outlet for the political arm of the CIA, conservative treehouse, rounding that out very squarely.
[00:07:47.852 --> 00:07:48.293]  And, um,
[00:07:49.770 --> 00:07:57.698]  Also, coming out of the free weekend, former Obama officials loyalists have been actually waging this secret campaign to oust Flynn.
[00:07:58.720 --> 00:08:11.393]  This abrupt resignation is actually culmination of a secret months-long campaign by former Obama administration confidants to handicap Trump's national security apparatus and preserve the nuclear deal
[00:08:11.733 --> 00:08:12.414]  We're good to go.
[00:08:32.053 --> 00:08:40.258]  And so Obama officials and loyalists planted a series of stories to discredit Flynn and bolster this Iran deal.
[00:08:40.658 --> 00:08:50.383]  And I recall that we actually reported on this a while back, that Obama was setting a lot of these traps, a lot of these landmines to stump Donald Trump, knowing that once Trump took office,
[00:08:50.783 --> 00:08:57.706]  He would be able to see behind the curtain of all of the secrecy within the most transparent administration ever.
[00:08:58.086 --> 00:09:14.354]  Everything they were coming out telling the American people, that this Iran deal was a great deal, and for whatever reason they backtracked on it, that was never revealed to the American people, and that's what Flynn, who has persistently been a thorn in the side of the Obama administration, particularly when it came to this Iran deal,
[00:09:15.234 --> 00:09:20.938]  He was always speaking out against it and he was set to expose some of the details there.
[00:09:21.398 --> 00:09:39.651]  So, these sources are telling the Free Beacon that the effort, which is said to include the former Obama administration advisor Ben Rhodes, included a small task force of Obama loyalists who deluged media outlets with stories aimed at eroding Flynn's credibility.
[00:09:40.991 --> 00:09:54.144]  And one veteran national security advisor said it's undeniable that the campaign to discredit Flynn was well underway before inauguration day with a very troublesome and politicized series of leaks designed to undermine him.
[00:09:54.204 --> 00:10:00.410]  The pattern reminds me of the lead up to the Iran deal and probably features the same cast of characters.
[00:10:01.150 --> 00:10:03.252]  And there they go on to say, you know, it just doesn't add up.
[00:10:03.532 --> 00:10:11.478]  Donald Trump's never really had an issue with playing with the truth a little bit, you know, or hiding certain things or covering up for people.
[00:10:11.518 --> 00:10:13.680]  So why all of a sudden would they just oust Flynn?
[00:10:13.720 --> 00:10:14.421]  It doesn't add up.
[00:10:14.861 --> 00:10:15.982]  That's their opinion, not mine.
[00:10:16.802 --> 00:10:23.187]  But another source who serves as a congressional advisor and was involved in the 2015 fight over the Iran deal.
[00:10:23.908 --> 00:10:29.030]  He said that the Obama administration feared Flynn would expose the secret agreements with Iran.
[00:10:29.971 --> 00:10:34.193]  This would blow up their myth that it was a good deal that rolled back Iran.
[00:10:34.213 --> 00:10:43.176]  So in December, the Obama NSC started going to work with their favorite reporters, selectively leaking damaging and incomplete information about Flynn.
[00:10:43.717 --> 00:10:50.760]  After Trump was inaugurated, some of those people stayed in, some began working from the outside, and they cooperated to keep undermining Trump.
[00:10:51.340 --> 00:10:58.763]  So last night's resignation was their first major win, but unless the Trump people get serious about cleaning house, it won't be the last.
[00:10:59.023 --> 00:11:10.008]  So this is a lot of different sources here talking about the fact that it's black hats, a secret coup going on with the shadow government, that this has been going on pre-inauguration.
[00:11:10.588 --> 00:11:17.290]  Obama is surprisingly going to be one of the very few presidents that decides to stay in Washington D.C.
[00:11:17.471 --> 00:11:19.171]  after he's out of office.
[00:11:19.211 --> 00:11:20.792]  You know, you'd think that you would just
[00:11:21.172 --> 00:11:25.694]  See him off in Hawaii playing golf forever and ever, but instead he decides to move to D.C.
[00:11:26.155 --> 00:11:27.956]  and build a huge wall around his new home?
[00:11:28.456 --> 00:11:29.436]  Very peculiar there.
[00:11:29.917 --> 00:11:36.980]  And some Russian insiders are fearful that the Washington establishment is actually going to attempt to assassinate Donald Trump.
[00:11:37.200 --> 00:11:40.442]  This is according to a magazine with deep ties to the globalist elite.
[00:11:41.062 --> 00:11:55.776]  It's buried deep within a foreign policy article about how the Kremlin is confused with how to respond to Trump's role as a revolutionary insurgent with a mission to dismantle America's old regime from conversations with Russian policymakers and experts.
[00:11:56.577 --> 00:12:07.546]  The article makes clear that power players in Moscow are concerned about Trump even being able to see out his first four years in office, the Kremlin fears that Trump may be ousted or even killed.
[00:12:08.387 --> 00:12:15.633]  And they say that this is bound to unleash a virulent and bipartisan anti-Russian campaign in Washington.
