[00:00:18.715 --> 00:00:21.978]  Good evening, you're watching the InfoWars Nightly News.
[00:00:22.518 --> 00:00:26.582]  I'm Millie Weaver, it is May 11th, and this is what's coming up tonight.
[00:00:29.524 --> 00:00:32.587]  Tonight, much like after the U.S.
[00:00:32.647 --> 00:00:40.033]  election, after the French election, Antifa is present on the streets of Paris, up to their typical shenanigans again.
[00:00:41.792 --> 00:00:51.796]  And then... Millie Weaver is joined by Brittany Pettibone to talk about a new video that has come out called Oppression Olympics, Who is the Most Oppressed?
[00:00:52.296 --> 00:00:56.238]  Also, Boy Scouts, Girl Scouts, we can't have that.
[00:00:56.618 --> 00:00:57.598]  It's too sexist.
[00:00:58.078 --> 00:01:05.001]  So now these institutions will be moving towards Gender Neutral Clubs or perhaps the Trans Scouts.
[00:01:06.300 --> 00:01:09.142]  Meanwhile, Maxine Waters is at it again.
[00:01:09.722 --> 00:01:18.068]  This time, she embarrasses herself on MSNBC, but the show host is not there to save her, but calls her out instead.
[00:01:18.568 --> 00:01:22.330]  All that and more, tonight, on the InfoWars Nightly News.
[00:01:31.425 --> 00:01:36.749]  The reason InfoWarsLife has five-star ratings on major third-party sites is because I want products I'm going to use for my family.
[00:01:36.909 --> 00:01:37.489]  I take this.
[00:01:37.749 --> 00:01:38.790]  My family takes this.
[00:01:38.890 --> 00:01:43.113]  And then it funds the operation with the most hardcore, truthful information you're going to find anywhere.
[00:01:43.173 --> 00:01:47.616]  So what you find in our news is the same thing you find in our products at InfoWarsLife.com.
[00:01:47.776 --> 00:01:52.340]  If I ever forget to take them, I have a noticeable difference.
[00:01:52.420 --> 00:01:53.461]  I don't feel good.
[00:01:53.541 --> 00:01:57.064]  The nascent iodine is one of the ones that was life-changing for me.
[00:01:57.284 --> 00:01:59.947]  Yeah, I actually have just run out of my Super Female.
[00:01:59.987 --> 00:02:05.371]  I had a few bottles at my house and I've been taking it again, hitting the gym once again.
[00:02:05.792 --> 00:02:08.194]  Very exciting, feeling great, looking good.
[00:02:08.754 --> 00:02:12.177]  And I know my hair is luxurious once again.
[00:02:12.298 --> 00:02:14.479]  So obviously the Super Female is amazing.
[00:02:14.540 --> 00:02:14.900]  I love it.
[00:02:15.060 --> 00:02:17.644]  Nascent Iodine is essential.
[00:02:17.844 --> 00:02:18.805]  Survival Shield X2.
[00:02:18.865 --> 00:02:24.794]  If there's one product that I would say is life-changing that I would suggest, it's Nascent Iodine Survival Shield X2.
[00:02:24.814 --> 00:02:26.436]  It's got a five-star rating.
[00:02:26.696 --> 00:02:28.899]  It's a win-win in fullwarslife.com.
[00:03:03.331 --> 00:03:06.152]  Welcome back to the InfoWars Nightly News.
[00:03:06.452 --> 00:03:09.994]  I'm Millie Weaver and I'm going to be breaking down a news blitz.
[00:03:10.634 --> 00:03:29.203]  So Donald Trump has been trolling like crazy and he has been draining the swamp and we've seen it with Comey who recently was fired and that massively triggered floods of liberal tears and now we're seeing
[00:03:29.943 --> 00:03:40.286]  Trump, you know, we have insiders saying that it looks like Trump could replace Spicer as a purge of establishment advisors begins.
[00:03:40.946 --> 00:03:45.708]  So apparently Sean Spicer could be the next one to be fired.
[00:03:45.748 --> 00:03:47.809]  We're going to hear Trump say, you're fired.
[00:03:47.829 --> 00:03:50.690]  And that seems to be crazy.
