[00:00:08.393 --> 00:00:10.636]  Waging war on corruption.
[00:00:11.077 --> 00:00:16.384]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:16.644 --> 00:00:19.568]  And now, your host, Owen Troyer.
[00:00:23.895 --> 00:00:26.137]  Absolutely huge breaking news today.
[00:00:26.237 --> 00:00:27.779]  Stacks of news today.
[00:00:28.639 --> 00:00:32.383]  You've got Seattle going full libtard.
[00:00:32.403 --> 00:00:38.067]  A judge saying that your car is now your home so it can't be impounded so just park it anywhere.
[00:00:38.388 --> 00:00:43.292]  They're confiscating guns in Seattle now if somebody calls the cops and says you look weird.
[00:00:43.932 --> 00:00:45.013]  You've got a teenager
[00:00:45.814 --> 00:00:50.702]  In Utah, who tried to detonate a bomb at Pineview School.
[00:00:51.323 --> 00:00:55.189]  And you've got Attorney General Jeff Sessions with a pulse all of a sudden.
[00:00:55.229 --> 00:00:56.572]  Somebody shocked him back to life.
[00:00:57.012 --> 00:01:00.077]  And he's calling out sanctuary cities as they are now being sued.
[00:01:01.189 --> 00:01:04.431]  With interference over immigration enforcement.
[00:01:04.471 --> 00:01:07.513]  Now, Alex, you've got all of these stacks of news going on.
[00:01:07.593 --> 00:01:14.997]  Meanwhile, the fake news, CNN, continues to desperately try to attack President Trump with lies.
[00:01:15.257 --> 00:01:19.620]  They bring some drunk on air to try to use him as a story maker.
[00:01:19.640 --> 00:01:25.183]  I mean, the desperation right now from the fake news and the deep state is really starting to show itself.
[00:01:26.462 --> 00:01:37.886]  Well I gotta tell you, overall we're winning trying to bring prosperity and basic justice back, but throwing out the globalists and their minions really has made me sick and let me know that they're worse than I even thought they were.
[00:01:38.426 --> 00:01:46.229]  And the disease that was in the head of the fish has now reached all the way down to the tail, and we are just up against incredible times.
[00:01:46.249 --> 00:01:50.531]  You know, if the Democrats think that these
[00:01:51.500 --> 00:01:54.962]  Moderate trade sanctions are going to destroy Trump.
[00:01:55.042 --> 00:01:59.684]  Well, then they would be all for it, and they wouldn't be breathlessly fighting it as hard as they could.
[00:02:00.464 --> 00:02:04.946]  But they know that Europe has unfair internal tariffs against us, regulatory tariffs.
[00:02:05.267 --> 00:02:07.628]  They know that China has them.
[00:02:08.148 --> 00:02:10.069]  They know that Japan has gotten better.
[00:02:10.109 --> 00:02:11.489]  They've made a lot of good deals with the U.S.
[00:02:11.509 --> 00:02:15.471]  They've moved a lot of big factories here, because they understand that they need a market to trade with.
[00:02:15.872 --> 00:02:16.692]  The Japanese get it.
[00:02:17.352 --> 00:02:18.833]  China's being very, very adversarial.
[00:02:20.280 --> 00:02:21.240]  So is Mexico.
[00:02:21.720 --> 00:02:27.302]  These are all one-sided deals designed to geld, designed to castrate the United States.
[00:02:27.342 --> 00:02:29.363]  So you've got Cohn leaving.
