[00:00:06.377 --> 00:00:08.523]  Waging war on corruption.
[00:00:09.024 --> 00:00:14.136]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:20.820 --> 00:00:32.583]  You had Strzok and Page who were in charge of launching this investigation and they were saying things like, we must stop this president, we need an insurance policy against this president.
[00:00:32.943 --> 00:00:41.825]  That, in my view, when you have people that are in the highest echelons of the law enforcement of this nation saying things like that, that sounds an awful lot like a coup.
[00:00:42.085 --> 00:00:43.366]  And it could well be treason.
[00:00:43.446 --> 00:00:44.908]  And I think that we need to know more.
[00:00:44.948 --> 00:00:47.210]  We need to know what was Jim Comey's role in all of this.
[00:00:47.250 --> 00:00:48.552]  These people reported to him.
[00:00:48.712 --> 00:00:50.093]  Andy McCabe reported to him.
[00:00:50.453 --> 00:00:51.775]  What was Comey's role in that?
[00:00:51.835 --> 00:00:55.318]  And that is what the Attorney General is going to be focused on.
[00:00:55.979 --> 00:00:59.883]  Sir, the Constitution says treason is punishable by death.
[00:00:59.923 --> 00:01:01.905]  You've accused your adversaries of treason.
[00:01:02.245 --> 00:01:04.948]  Who specifically are you accusing of treason?
[00:01:05.188 --> 00:01:12.934]  Well, I think a number of people, and I think what you look is that they have unsuccessfully tried to take down the wrong person.
[00:01:13.134 --> 00:01:27.504]  If you look at Comey, if you look at McCabe, if you look at probably people higher than that, if you look at Strzok, they want an insurance policy so that should she for any reason lose, remember, $100 million to one,
[00:01:28.385 --> 00:01:30.266]  Maybe he said 100 million to nothing.
[00:01:31.007 --> 00:01:36.050]  But should she lose, we'll have an insurance policy and we'll get this guy out of office.
[00:01:36.750 --> 00:01:38.411]  That's what they said and that's what they meant.
[00:01:39.672 --> 00:01:40.332]  That's treason.
[00:01:40.732 --> 00:01:41.313]  That's treason.
[00:01:49.133 --> 00:01:57.783]  Ladies and gentlemen, thank you so much for joining us on this live Monday 27th 2019 broadcast.
[00:01:58.543 --> 00:02:00.445]  We were going to run a rebroadcast today.
[00:02:01.246 --> 00:02:03.048]  Owen Schroyer was going to host tomorrow.
[00:02:03.629 --> 00:02:10.977]  I was going to go on vacation with my family for just four to five days, but I canceled that on
[00:02:12.543 --> 00:02:20.882]  Friday morning and let the crew know that I was coming back in because so many incredibly historic things are happening.
[00:02:22.319 --> 00:02:29.764]  As I told you months ago, Trump is going to move with treason charges against the deep state.
[00:02:29.784 --> 00:02:31.245]  We're not in Kansas anymore.
[00:02:31.965 --> 00:02:44.193]  We're not in that place where Republican and Democratic parties basically share power with each other and engage in massive corruption and destroy the nation.
[00:02:44.713 --> 00:02:46.254]  Trump is really trying to be the president.
[00:02:46.755 --> 00:02:48.756]  He's really trying to restore the republic.
[00:02:49.909 --> 00:02:58.912]  And that's why you see the insane response that is unfolding on every single front.
[00:03:00.713 --> 00:03:02.574]  That's why you see the media out of control.
[00:03:03.034 --> 00:03:07.335]  It's why you see the Chi-Coms running ads and spending money trying to remove Trump from office.
[00:03:07.756 --> 00:03:13.838]  It's why you see the EU attacking, because what's happening with Trump in America is a lot bigger than the United States, obviously.
[00:03:15.404 --> 00:03:16.125]  Here are the headlines.
[00:03:16.305 --> 00:03:17.265]  European elections.
[00:03:17.386 --> 00:03:22.610]  Italy stunned as Salvini wins majority and says a new Europe is born.
[00:03:23.190 --> 00:03:33.978]  Remember, parliaments run where it takes usually three elections to remove a party that's dominant because they are in a parliamentary system with dozens of parties.
[00:03:34.959 --> 00:03:36.320]  And the elections are staggered.
[00:03:37.441 --> 00:03:43.686]  This is the last two elections have swept the nationalists, patriots, anti-globalist members of their Senate.
[00:03:44.557 --> 00:03:52.940]  And members of their parliament have literally broken into Bohemian Grove-type events, broken into Bilderberg events, and been beaten up.
[00:03:53.520 --> 00:03:55.340]  That was six years ago.
[00:03:55.600 --> 00:03:58.061]  Now they are the dominant party.
[00:04:00.022 --> 00:04:04.043]  Merkel coalition in crisis talks after EU vote debacle.
[00:04:04.483 --> 00:04:06.624]  She's been holding on through seven elections.
[00:04:06.784 --> 00:04:07.444]  She's lost.
[00:04:08.066 --> 00:04:10.668]  But she's bought off the other parties and stayed in power.
[00:04:10.908 --> 00:04:12.249]  She's going to be gone very soon.
