[00:00:15.484 --> 00:00:16.305]  InfoWars.
[00:00:16.625 --> 00:00:18.147]  Tomorrow's news today.
[00:00:40.265 --> 00:00:41.867]  We're good to go.
[00:01:09.531 --> 00:01:14.193]  Ladies and gentlemen, it is Sunday, the 22nd day of December 2019.
[00:01:14.273 --> 00:01:16.054]  And I am going to try my best today
[00:01:35.407 --> 00:01:43.188]  To be very serene and calm and genteel and measured for as long as I can.
[00:01:44.969 --> 00:01:52.350]  So that I can note to the audience that we are in very serious times.
[00:01:54.670 --> 00:02:00.351]  And then yes, it's good to be loud and it's good to shout to get people's attention sometimes.
[00:02:01.812 --> 00:02:03.872]  Sometimes it's important to whisper.
[00:02:08.072 --> 00:02:16.514]  And that's something that I don't do enough of here on air.
[00:02:18.235 --> 00:02:29.378]  But that I'm going to be doing today to just slow down and make sure I cover everything.
[00:02:29.398 --> 00:02:32.999]  Because you think you speed up and
[00:02:34.895 --> 00:02:41.658]  You get to everything, but sometimes you do miss the forest for the trees.
[00:02:44.139 --> 00:02:51.062]  And so today, I'm going to lay out the news and information as best I can.
[00:02:52.483 --> 00:02:58.425]  This morning I was going over the breaking developments that are so incredible around our world, not just in the United States.
[00:02:59.566 --> 00:03:04.108]  And I thought, man, I've got to really go on air and really drive it home to people.
[00:03:05.686 --> 00:03:08.568]  And I've got to really shake them out of their trance.
[00:03:09.288 --> 00:03:18.374]  Not our general audience, but create a broadcast, create a record that can be given to others to really hopefully get them out of their trance.
[00:03:19.395 --> 00:03:21.256]  And sometimes yelling at people's the way to do it.
[00:03:21.276 --> 00:03:24.698]  Sometimes hitting them upside the head politically with a 2x4.
[00:03:25.299 --> 00:03:30.082]  But other times, to get somebody out of a trance, you've got to whisper to them.
[00:03:31.966 --> 00:03:38.129]  So we're going to go to break here in a few minutes and I'm not even going to tell you what the news is yet until we come back.
[00:03:38.169 --> 00:03:56.118]  But if you go to InfoWars.com and you see the live feed of the show today, the Sunday live feed and what it's titled, you'll see how incredibly important this show is.
[00:03:57.099 --> 00:03:59.320]  And not just what was said by the Attorney General,
[00:04:00.700 --> 00:04:12.543]  But what was said by others in the administration and the movement that we've seen, we have a very clear direction of where Trump's going.
[00:04:12.583 --> 00:04:20.585]  And he understands with only 320 days left until the historic election, he can't wait because they're going to try to steal the election.
[00:04:21.226 --> 00:04:22.606]  Yes, America's waking up.
[00:04:22.706 --> 00:04:23.606]  Yes, Trump's winning.
[00:04:24.026 --> 00:04:26.307]  Yes, a lot of what the globalists are trying to do is failing.
[00:04:28.609 --> 00:04:41.736]  They're cheating and engaged in so much criminal activity that we can't stand by and watch them do that.
[00:04:43.157 --> 00:04:46.299]  So the Attorney General has called out George Soros.
[00:04:47.340 --> 00:04:50.801]  When we come back from break, I'm going to just break down why that's so important and play the clip.
[00:04:51.762 --> 00:04:56.785]  And then the globalist plan to try to trigger civil unrest and martial law in this country that's now official.
[00:04:58.007 --> 00:05:07.171]  It's all coming up today in full wars.com board slash show and band dot video.
[00:05:09.012 --> 00:05:11.973]  It's all coming up right now.
[00:05:12.813 --> 00:05:13.934]  Please help us spread the word.
[00:05:13.974 --> 00:05:17.035]  You're the only way we reach new people that desperately need to be warned.
[00:05:52.358 --> 00:05:54.199]  On this Sunday, December 22nd, 2019.
[00:05:55.360 --> 00:05:59.482]  Worldwide broadcast.
[00:06:02.023 --> 00:06:03.664]  I'm your host, Alex Jones.
[00:06:09.967 --> 00:06:14.129]  The United States... ...was done for.
[00:06:14.990 --> 00:06:15.530]  Was captured.
[00:06:18.683 --> 00:06:26.708]  The decision had been made to make Communist China and its authoritarian command and control system the model of the world.
[00:06:28.009 --> 00:06:43.420]  The United Nations has adopted Communist China and their social credit score and a biometric face scan code key as the world currency officially last week.
[00:06:46.325 --> 00:06:47.666]  That's right, of pieces of paper.
[00:06:48.406 --> 00:06:49.727]  With ink on them can be the money.
[00:06:50.547 --> 00:06:52.688]  Can't your face scan be the money?
[00:06:53.688 --> 00:06:56.049]  And the digital numbers attached to you?
[00:06:57.610 --> 00:06:59.311]  That's not some Bible study.
[00:06:59.331 --> 00:07:03.493]  That's some evangelical church in the 1960s.
[00:07:04.433 --> 00:07:06.134]  Though they were saying that was coming.
[00:07:06.994 --> 00:07:09.916]  That's the waning twilight hours.
[00:07:12.952 --> 00:07:13.032]  Of 2019.
[00:07:13.572 --> 00:07:25.280]  And the fight is between, will we have a future based on the greater ideals of Christendom, and the Renaissance, and the true enlightenment, and America?
[00:07:27.522 --> 00:07:35.347]  Or of the anti-human, godless, beyond evil, communist Chinese, and their globalist allies.
[00:07:38.009 --> 00:07:39.190]  George Soros
[00:07:41.550 --> 00:07:50.736]  He's one of the main deep state controllers of the takedown of the Western world and the persecution of Christian institutions.
[00:07:52.617 --> 00:08:08.327]  He admits on CNN with Fareed Zakaria three years ago that he used five billion dollars of State Department money given to him by Barack Obama and that he directed
[00:08:13.118 --> 00:08:16.560]  Civil War and overthrow of the elected government of Ukraine.
[00:08:17.341 --> 00:08:19.963]  That's just one thing he bragged about.
[00:08:20.163 --> 00:08:22.264]  Just type it in to a search engine.
[00:08:22.945 --> 00:08:30.590]  George Soros told Fareed Zarkaria that he overthrew the Ukrainian government.
[00:08:31.410 --> 00:08:32.791]  That he was behind the revolution.
[00:08:33.092 --> 00:08:36.894]  You'll get CNN.com and the video.
[00:08:36.914 --> 00:08:39.356]  Now why is that so important?
[00:08:41.238 --> 00:09:01.051]  Because when Donald John Trump and his surrogates talk about that, like Lou Dobbs or Tucker Carlson or Alex Jones, MSNBC, CNN and even Fox come out and apologize and say, we're not going to have the head of Judicial Watch on ever again.
[00:09:01.071 --> 00:09:02.472]  He's banned.
[00:09:03.032 --> 00:09:06.514]  For in January of this year, 11 months ago,
[00:09:09.150 --> 00:09:13.111]  They're saying Soros still has people in control of the State Department.
[00:09:13.131 --> 00:09:18.693]  They're getting the money through USAID to fund the collapse of the border and the refugee centers.
[00:09:19.613 --> 00:09:20.794]  That was true.
[00:09:23.754 --> 00:09:25.215]  But the news said it wasn't.
[00:09:35.273 --> 00:09:46.001]  And pretended like that was fake news, just like Fiona Hill a month ago, in the whole fake situation with the impeachment hearings.
[00:09:47.603 --> 00:09:49.164]  They said, do you know George Soros?
[00:09:49.184 --> 00:09:50.004]  Do you work for him?
[00:09:50.024 --> 00:09:50.665]  She's like, no.
[00:09:52.907 --> 00:09:53.647]  Are you a globalist?
[00:09:53.707 --> 00:09:54.728]  No, I don't know what that is.
[00:09:56.029 --> 00:09:56.730]  Are you a leftist?
[00:09:56.930 --> 00:09:58.411]  Well, yes, a European leftist.
[00:09:58.911 --> 00:09:59.652]  That's a communist.
[00:10:02.394 --> 00:10:04.916]  She said nothing Roger Stone and Alex Jones say about me is true.
[00:10:06.630 --> 00:10:08.872]  And they went on to say, well, he'll serve prison for his lies.
[00:10:10.634 --> 00:10:19.664]  Well, Prince Valiant was the head board member on the main foundation run by Soros, funded by Soros.
[00:10:20.445 --> 00:10:25.110]  But you could technically say he didn't work for him because he isn't on the foundation board.
[00:10:25.350 --> 00:10:26.532]  He just created it and funded it.
[00:10:29.403 --> 00:10:35.304]  It's like saying, I don't, I'm not connected to my mother because my umbilical cord was cut 45 years ago.
[00:10:35.644 --> 00:10:37.905]  But I'm connected to my mother, I came out of her loins.
[00:10:39.545 --> 00:10:40.665]  Now why do they do that?
[00:10:40.945 --> 00:10:43.466]  This is the key to everything, I've got all this news, the key to this.
[00:10:46.206 --> 00:10:50.927]  Because it's the elephant in the room, the crimes they've committed, the things they've done.
[00:10:53.527 --> 00:10:56.688]  The documents I have right here, that are public.
[00:10:57.728 --> 00:11:14.268]  Where Alexander Soros gives hundreds of millions of dollars to local leftist organizations in Antifa to go out with the express orders to try to get black people to riot and create a civil war.
[00:11:16.311 --> 00:11:19.892]  Well, the Attorney General, we got these documents two years ago.
[00:11:20.473 --> 00:11:20.933]  January of 2018.
[00:11:22.614 --> 00:11:23.814]  So, 23 months ago.
[00:11:24.674 --> 00:11:25.255]  Huge story.
[00:11:25.415 --> 00:11:28.976]  Documents to tell plan for civil unrest and martial law in Baltimore.
[00:11:29.616 --> 00:11:31.297]  This is organized crime.
[00:11:32.117 --> 00:11:33.098]  This is racketeering.
[00:11:35.619 --> 00:11:36.839]  Statute of limitations isn't up.
[00:11:39.040 --> 00:11:42.101]  You can indict Soros and his son now for this.
[00:11:42.542 --> 00:11:43.142]  Open and shut.
[00:11:43.162 --> 00:11:45.903]  Now why is that so important?
[00:11:46.854 --> 00:11:48.915]  Why is that so critical?
[00:11:51.396 --> 00:12:04.281]  Because I have a stack of news and court rulings and documents where AG Barr says we need to fish or cut bait.
[00:12:04.601 --> 00:12:05.162]  That's a quote.
[00:12:05.182 --> 00:12:07.883]  Another way of saying crap or get off the pot.
[00:12:09.428 --> 00:12:15.850]  He said we either need to do that on antitrust the next few months or drop it.
[00:12:16.430 --> 00:12:19.891]  But he said, but that's not letting big tech off the hook.
[00:12:20.571 --> 00:12:23.392]  He said they've been involved in criminal activities.
[00:12:24.472 --> 00:12:29.353]  We believe that we're investigating with foundations.
[00:12:31.654 --> 00:12:33.034]  I'm going to read you the quotes coming up.
[00:12:35.273 --> 00:12:37.434]  Now who do you think those foundations are?
[00:12:38.335 --> 00:12:39.476]  Government comes and goes.
[00:12:39.876 --> 00:12:41.077]  Bureaucrats even come and go.
[00:12:41.437 --> 00:12:42.638]  But not the foundations.
