[00:00:02.269 --> 00:00:02.769]  99 days.
[00:00:02.789 --> 00:00:07.793]  99 days until the historic election.
[00:00:09.674 --> 00:00:13.316]  The way Fox News counts it, they count the day of the election as well, so that'd be 100 days.
[00:00:13.377 --> 00:00:17.339]  But anyway, you slice it, we're getting close into this historic event.
[00:00:19.221 --> 00:00:22.643]  Okay, I have done a lot of preparation for this Sunday transmission.
[00:00:23.724 --> 00:00:28.908]  Also, Ted Nugent's going to be calling in at the start of the second hour today with some really huge news.
[00:00:29.841 --> 00:00:37.064]  The Democrats banned a pro-police rally in New York.
[00:00:37.224 --> 00:00:38.625]  The governor just said you can't have it.
[00:00:40.925 --> 00:00:43.987]  And said any police that show up or give you support, they'll be fired.
[00:00:44.427 --> 00:00:45.587]  Any state police will be fired.
[00:00:45.607 --> 00:00:46.328]  He's God now.
[00:00:47.128 --> 00:00:48.168]  He said because of COVID.
[00:00:48.268 --> 00:00:51.270]  But everybody else can demonstrate and have your protest.
[00:00:51.290 --> 00:00:56.852]  This is how the globalist, communist, Illuminati system operates.
[00:00:57.998 --> 00:00:58.738]  He'll be popping in.
[00:00:59.819 --> 00:01:01.339]  Okay, so it's now official.
[00:01:01.739 --> 00:01:13.003]  We've had Pelosi, we've had Biden, we've had Schiff, we've had Eric Holder, the former Attorney General, we've had them all come out and say
[00:01:14.147 --> 00:01:27.993]  Trump's a dictator already, he works for the Russians, and he's going to lose the election, and then if he challenges it in any way, he is a dictator, and the military is going to remove him, and if the military doesn't remove him, we'll have them arrested.
[00:01:28.893 --> 00:01:30.014]  And we'll burn down all the cities.
[00:01:33.515 --> 00:01:42.499]  Next, Atlantic Monthly, which is the mouth of the New World Order, even more than the New York Times here in the U.S., it's the Financial Times of London, over in England, that's the Rothschild mouthpiece,
[00:01:45.282 --> 00:01:49.503]  They're openly saying violence and riots will skyrocket if Trump wins election.
[00:01:49.823 --> 00:01:50.743]  You better not do it.
[00:01:51.363 --> 00:02:00.185]  And then Moody's and Barron's and all of the ratings agencies and Goldman Sachs and JPMorgan all say this will be a contested election.
[00:02:00.205 --> 00:02:01.265]  It's going to be a disaster.
[00:02:01.585 --> 00:02:03.746]  The mail-in ballots, the fraud.
[00:02:04.326 --> 00:02:08.047]  And if Trump points any of that out or you do, you're a dictator.
[00:02:08.467 --> 00:02:13.508]  Even though the Democrats win and if they lose, I think right now there's anywhere near a fair election they're going to lose.
[00:02:15.213 --> 00:02:18.934]  The asylum majority is really pissed, but they don't care.
[00:02:19.774 --> 00:02:40.041]  They will contest it, and when Trump says, you're there wrong, they're going to activate folks to burn the country down, and with 99 days out, this is all a beta test drill for that, and the censorship's in place, and the AI kill switch is in place, and Trump has not gotten control of the Obama kill switch, but the deep state still has, or the globalists that are installed at all those levels.
[00:02:41.957 --> 00:02:44.878]  What they call stay behind networks or embeds.
[00:02:46.059 --> 00:02:49.400]  So that is all coming up here tonight.
[00:02:49.460 --> 00:02:50.421]  We will break it down.
[00:02:51.241 --> 00:02:54.643]  The country and the entire world is in really unparalleled.
[00:02:56.169 --> 00:03:00.671]  Harold, and I do not have words to describe to you how serious the situation is.
[00:03:01.192 --> 00:03:04.213]  They've done everything they can to try to take us off air at this time.
[00:03:04.613 --> 00:03:13.558]  We're still on hundreds of radio stations, over 100 cable and TV stations, and we have huge audiences at BandOnVideo and InfoWars.com and NewsWars.com.
[00:03:13.578 --> 00:03:16.940]  But remember, you are critical in this fight.
[00:03:17.840 --> 00:03:22.603]  Without you taking action and getting excited and telling people via email, via text message and word of mouth,
[00:03:23.539 --> 00:03:26.701]  About Bandot video, about Infowars.com forward slash show.
[00:03:28.041 --> 00:03:34.264]  Without you telling them that all the doctors and scientists and whistleblowers that have been exposing the COVID-19 takeover hoax.
[00:03:36.005 --> 00:03:39.787]  Without you getting that information out, we're going to lose this fight.
[00:03:40.187 --> 00:03:42.048]  And I've got some incredible examples of that.
[00:03:42.929 --> 00:03:44.830]  Eric Bolling is going to be back on the show soon.
[00:03:45.190 --> 00:03:46.330]  He, of course, left Fox.
[00:03:46.891 --> 00:03:50.012]  The left celebrated it when his son overdosed on an opiate.
[00:03:50.472 --> 00:03:51.153]  He's a good guy.
[00:03:52.847 --> 00:04:02.698]  He was doing a report for Sinclair, it's as big as Fox or bigger around the country, the broadcast stations, about gain of function and how Fauci was involved with the Wuhan lab, weaponizing all of it.
[00:04:04.921 --> 00:04:10.247]  You know, I personally have sent him and Tucker Carlson and a bunch of other people hundreds of articles.
[00:04:10.287 --> 00:04:11.329]  I'll show you some of them today.
[00:04:12.438 --> 00:04:14.500]  Hell, from the NIH website, how Fauci did this.
[00:04:14.560 --> 00:04:15.181]  It's not even hidden.
[00:04:15.521 --> 00:04:16.962]  But CNN's policing it.
[00:04:17.523 --> 00:04:20.746]  And they made some calls, and Sinclair's not gonna air it now.
[00:04:21.307 --> 00:04:23.449]  Because, you know, Fauci's God.
[00:04:24.009 --> 00:04:25.651]  Everything he says is a lie, a fraud.
[00:04:26.071 --> 00:04:30.696]  He threw in the first pitch at a baseball game, it was like 30 feet off the mound, in left field.
[00:04:30.716 --> 00:04:33.378]  I mean, they all cheered for him.
[00:04:33.839 --> 00:04:36.862]  I mean, the guy is a frickin' criminal who needs to be indicted.
[00:04:39.568 --> 00:04:44.773]  Thank you so much for joining us on this July 26th Sunday live broadcast.
[00:04:45.193 --> 00:04:47.876]  99 days out from this historic election.
[00:04:49.057 --> 00:04:56.284]  Well I have here in my hands, and I'm your host Alex Jones, thank you for joining us, CNN, the police dogs of thought crime.
[00:04:57.285 --> 00:05:03.671]  Sinclair says it will postpone and rework segment featuring conspiracy theory about Fauci.
[00:05:05.134 --> 00:05:23.998]  And it says that without any proof, though they don't show the piece, they were going to look at Fauci at the NIH for 45 years, involving gain-of-function transfers of weaponized coronavirus during the Obama administration.
[00:05:25.498 --> 00:05:28.119]  Now, Dr. McCamshaw, please, look right here.
[00:05:31.298 --> 00:05:35.299]  NIH lifts funding pause on gain-of-function research.
[00:05:36.399 --> 00:05:37.739]  NIH.gov.
[00:05:38.659 --> 00:05:43.760]  And it gets into Fauci and the programs and Bill and Melinda Gates and the actual gain-of-function.
[00:05:45.061 --> 00:05:45.981]  Here's Newsweek.
[00:05:46.341 --> 00:05:48.981]  Dr. Fauci back controversial Wuhan lab with U.S.
[00:05:49.041 --> 00:05:56.163]  dollars for risky coronavirus research with spliced virus chimeras using weaponized bat viruses.
[00:05:57.363 --> 00:05:58.383]  Oh, okay.
[00:05:59.465 --> 00:06:00.825]  Here's another one, 2015.
[00:06:00.925 --> 00:06:03.086]  Lab-made coronavirus triggers debate.
[00:06:03.506 --> 00:06:08.287]  Gain-of-function weaponized SARS COVID-2 virus.
[00:06:10.067 --> 00:06:12.467]  And it goes into how deadly it is to transfer it.
[00:06:14.268 --> 00:06:15.968]  I'll be getting into that a little bit later.
[00:06:17.548 --> 00:06:19.609]  The emperor has no clothes.
[00:06:19.789 --> 00:06:25.370]  Everything Fauci has told us has been a giant, galactic-sized lie.
[00:06:26.107 --> 00:06:30.309]  He told us 2.5 million would be dead in America, then 2.2 million.
[00:06:30.329 --> 00:06:34.511]  Then he told us all the hospitals would be full and we needed hundreds of thousands of ventilators.
[00:06:36.872 --> 00:06:43.135]  And now as they test everybody, the number of positives goes up, the number of deaths goes down, but they put out deceptive headlines saying record deaths.
[00:06:43.535 --> 00:06:46.596]  Then they'll say, oh, because it's some little town had three deaths.
[00:06:46.876 --> 00:06:48.977]  They didn't have any before, so now it's record deaths.
[00:06:49.197 --> 00:06:52.659]  They're all playing semantical games.
[00:06:53.743 --> 00:07:16.040]  And Greg Raist did an excellent report that we're going to air coming up at the bottom of the hour where he shows the NIH website currently admitting that if you've ever had a bacterial infection, I didn't know that, they've added that, or a coronavirus, that's the common cold, or the flu, usually in about a decade, you will test positive for COVID-19.
[00:07:16.080 --> 00:07:21.965]  So when you see stories about there's 60% false positives, bull, you know what?
[00:07:24.077 --> 00:07:38.745]  Unbelievable fraud because it was the Wuhan lab that had a Bill and Melinda Gates finance directive in it that created the test that was then approved seven months ago in China that we then adopted.
[00:07:41.167 --> 00:07:41.547]  Look it up.
[00:07:43.531 --> 00:07:45.373]  Unbelievable!
[00:07:46.034 --> 00:07:50.858]  And medical doctors are trying to write books and publish them, and Amazon won't even let them sell them.
[00:07:51.499 --> 00:07:53.400]  But it's all NIH, it's all admitted.
[00:07:53.420 --> 00:07:56.683]  That's what's crazy is, none of this is even hidden!
[00:07:56.703 --> 00:08:02.929]  I just showed you New Scientist.
[00:08:03.269 --> 00:08:04.250]  I just showed you NIH.
[00:08:06.235 --> 00:08:29.569]  I just showed you Newsweek saying Fauci ran the programs with Bill and Melinda Gates Foundation grants from them to the NIH and then given to the Wuhan lab in the hundreds of millions of dollars illegal gain-of-function weaponized testing that they shipped to China to do it there.
[00:08:30.750 --> 00:08:33.932]  Just like the CIA has black torture sites in China under Obama.
[00:08:36.564 --> 00:08:53.060]  But then Sinclair, bigger than Fox, thousands of TV stations around the country, tried to air it, CNN tattled, and so now they're not going to do it right now.
[00:08:53.080 --> 00:08:54.862]  This is how crazy this is.
[00:08:56.604 --> 00:09:04.890]  It's like if Eric Bolling wanted to have a thing on Sinclair saying Santa Claus has a big white beard and Santa Claus wears a red and white outfit.
[00:09:04.950 --> 00:09:05.910]  He's a jolly old elf.
[00:09:06.150 --> 00:09:07.471]  They'd say, oh, you can't talk about that.
[00:09:07.812 --> 00:09:10.974]  Santa Claus wears a green outfit.
[00:09:11.234 --> 00:09:14.076]  It's unbelievable fraud.
[00:09:14.136 --> 00:09:14.916]  Let me just stop there.
[00:09:16.537 --> 00:09:17.298]  Let me just stop there.
[00:09:26.465 --> 00:09:51.403]  The very same criminal groups that have brought you the overblown hoax of COVID-19, the very same groups that are telling us that we can never reopen the country again, but China's wide open, are the same ones telling you that every day when Black Lives Matter
[00:09:52.751 --> 00:09:58.296]  And Antifa shoot up innocent people's cars, in many cases brain-damaging them and killing them.
[00:09:58.936 --> 00:10:00.538]  A whole bunch of deaths in the last three days.
[00:10:02.580 --> 00:10:10.426]  That that's peaceful, while simultaneously saying we're gonna burn the country down if Trump gets re-elected in Atlantic Monthly.
[00:10:11.707 --> 00:10:16.592]  Oh, and we're gonna use the military to take Trump out if we challenge the election and he doesn't bow to that.
[00:10:18.233 --> 00:10:19.674]  I've got a bunch of compilations
[00:10:20.811 --> 00:10:26.133]  Of people being shot and shot at when we come back.
[00:10:27.113 --> 00:10:41.957]  And I'm going to go over for radio listeners and narrate it, but you have to understand that this is systematic, terroristic activity being done to bring this nation to its knees and intimidate Americans.
[00:10:41.977 --> 00:10:43.938]  And people say, well, Americans won't be intimidated.
[00:10:44.098 --> 00:10:44.838]  This will backfire.
