[00:00:15.501 --> 00:00:18.302]  InfoWars, tomorrow's news today.
[00:00:20.943 --> 00:00:22.743]  Hello Americans!
[00:00:23.343 --> 00:00:28.625]  As you have heard, we are testing you with Q-tip with anal swab.
[00:00:29.125 --> 00:00:33.827]  Your diplomats do not like it, but Biden says it will happen.
[00:00:34.307 --> 00:00:40.389]  So now it comes to America, because you do whatever communist China say.
[00:00:40.829 --> 00:00:40.989]  So,
[00:00:41.647 --> 00:00:44.508]  Oh, let me get it.
[00:00:45.549 --> 00:00:47.189]  I was keeping it warm for you.
[00:00:47.629 --> 00:00:53.272]  Now I put it inside your boot.
[00:00:53.692 --> 00:00:55.132]  That wasn't so hard.
[00:00:55.513 --> 00:00:57.673]  You are learning to be humiliated.
[00:00:57.693 --> 00:00:58.914]  We own your debt.
[00:00:59.054 --> 00:01:00.174]  We own Hollywood.
[00:01:00.595 --> 00:01:02.835]  And we steal elections from Donald Trump.
[00:01:03.316 --> 00:01:04.896]  Now we take your guns.
[00:01:05.937 --> 00:01:08.958]  So, bend over every time you travel.
[00:01:09.617 --> 00:01:13.406]  China Test will have to see that you do not have color.
[00:01:13.426 --> 00:01:15.209]  Does not matter if P.E.S.I.
[00:01:15.310 --> 00:01:18.216]  act is fake, your media work for us!
[00:01:21.244 --> 00:01:25.566]  It was so easy to penetrate your diplomatic core.
[00:01:26.166 --> 00:01:33.528]  And now, even your school children will walk like big ones, once dragged and give you anal slop.
[00:01:33.808 --> 00:01:34.749]  Ha ha ha!
[00:01:35.149 --> 00:01:41.111]  So easy to bring the so-called superpower to its knees, thanks to the COVID hubs.
[00:01:41.511 --> 00:01:41.971]  Ha ha!
[00:01:42.251 --> 00:01:49.194]  Remember, do not take vitamin D3, so normal viruses will kill you, and you will live in fear and never reopen.
[00:01:49.534 --> 00:01:49.734]  Ha!
[00:01:51.010 --> 00:01:53.591]  We have shut down your Keystone Pipeline.
[00:01:53.972 --> 00:01:56.673]  We are now coming for your guns and dissolving your border.
[00:01:56.973 --> 00:01:59.155]  I mean, I mean, Joe Biden is doing that.
[00:01:59.535 --> 00:02:01.436]  He is not a puppet.
[00:02:01.776 --> 00:02:03.577]  No, no, no, no, no, no.
[00:02:04.037 --> 00:02:07.519]  And also, Joe Biden say it's good that we invade Hong Kong.
[00:02:07.979 --> 00:02:10.401]  And good that we run death camp with Apple.
[00:02:10.841 --> 00:02:12.162]  For we got
[00:02:12.762 --> 00:02:14.943]  Good Joe Biden, good!
[00:02:15.483 --> 00:02:28.206]  We send you more orders to sign and more COVID restrictions on your people so China dominates the economy while America permanently closed.
[00:02:28.766 --> 00:02:33.867]  And we work with our friend, Mr. Pink Sweater Bill Gates.
[00:02:35.578 --> 00:02:37.079]  Your country is lost.
[00:02:37.539 --> 00:02:42.060]  We control almost your entire Democratic Party and many Republicans too.
[00:02:42.441 --> 00:02:46.822]  Dianne Feinstein, Eric Swalwell, and of course, Lutheran.
[00:02:47.542 --> 00:02:52.284]  Ah, Mitch McConnell's wife worked for us and so he do what we say.
[00:02:53.505 --> 00:02:57.526]  You have no hope now that we control your voting machines.
