[00:00:00.069 --> 00:00:03.832]  You're watching the American Journal with Harrison Smith.
[00:00:04.853 --> 00:00:06.554]  The Alex Jones Show.
[00:00:06.895 --> 00:00:10.438]  This is The War Room with Owen Schreier.
[00:00:10.638 --> 00:00:14.661]  InfoWars, the most banned network in the world.
[00:00:31.383 --> 00:00:38.165]  You say that you wanna go to a land that's far away.
[00:00:38.985 --> 00:00:46.888]  How are we supposed to get there with the way that we're living today?
[00:00:48.208 --> 00:00:50.349]  You talk lots of
[00:00:56.117 --> 00:00:58.902]  I don't think so.
[00:01:32.978 --> 00:01:33.058]  Yeah.
[00:02:00.776 --> 00:02:00.856]  Yeah.
[00:02:50.781 --> 00:02:51.526]  InfoWars.
[00:02:51.888 --> 00:02:52.774]  Tomorrow's news.
[00:02:53.077 --> 00:02:53.419]  Today.
[00:02:56.444 --> 00:03:02.926]  From the front lines of the Information War, it's Alex Jones!
[00:03:25.430 --> 00:03:27.833]  Nothing can stop the truth from coming out.
[00:03:28.994 --> 00:03:40.547]  The tectonic forces of good versus evil are triggering massive cultural and spiritual and financial awakenings like a volcanic eruption.
[00:03:41.047 --> 00:03:46.113]  Thank you for joining us on this live Friday, May 28th global transmission.
[00:03:47.557 --> 00:03:54.280]  Roger Stone was set to come on today with a lot of inside details of the Deep State's plan to indict the president by July 4th.
[00:03:54.920 --> 00:03:56.301]  That's our big exclusive news.
[00:03:56.361 --> 00:04:05.505]  Now the fact that we're bringing this out may make them move the goalposts because they don't like showing how incredible our information and research is and our sources.
[00:04:05.905 --> 00:04:07.886]  But Roger has some extremely sad news.
[00:04:07.926 --> 00:04:12.648]  He broke down crying on the phone yesterday morning telling me after he confirmed at the doctor's office
[00:04:13.971 --> 00:04:22.478]  His wife has been diagnosed with stage 3 cancer in her lungs and it has spread to different parts of her body.
[00:04:22.758 --> 00:04:23.719]  So definitely need some prayers.
[00:04:23.779 --> 00:04:28.322]  The exclusive just broke and we posted it on InfoWars.com.
[00:04:28.843 --> 00:04:30.524]  So Roger Stone will be joining us.
[00:04:30.544 --> 00:04:33.286]  I don't even want to look at Twitter as this news goes out.
[00:04:33.306 --> 00:04:39.111]  I'm sure the left will be celebrating with extreme pleasure like they always do being the satanic
[00:04:40.694 --> 00:04:49.761]  Death-loving garbage that they are, but we're gonna pray that she have a miraculous recovery and see if that's in the cards and God's plan.
[00:04:50.622 --> 00:04:52.883]  Okay, we just have massive news.
[00:04:52.944 --> 00:04:56.646]  It's a huge transmission today on so many fronts.
[00:04:57.147 --> 00:04:58.808]  That's just two of the tidbits of
[00:05:00.509 --> 00:05:04.612]  Really heart-wrenching information, but there's a lot more, but it's best to get ahead of things, isn't it?
[00:05:04.832 --> 00:05:08.755]  It's best to know what's on the other side of that door that's about to get blown wide open.
[00:05:09.175 --> 00:05:11.056]  I'm Alex Jones, InfoWars.com.
[00:05:11.156 --> 00:05:12.958]  Tomorrow's news, today.
[00:05:13.498 --> 00:05:25.786]  When my father was complaining as a young boy working on his father and mother's ranch and farm, his father, my grandfather, would say to him,
[00:05:27.739 --> 00:05:33.533]  Did you ever hear about the man that had no shoes and felt really sorry for himself until he met a man that had no feet?
[00:05:35.267 --> 00:06:03.314]  And here I was, the last few days, feeling not sorry for myself, but just blown away by the evil of the deep state and things that, for a lot of reasons, I agree with my advisors, I'm not putting out on air, but we have the deep state, the Democrats, literally trying to put me in jail, not for the Capitol, but other things, trying to set me up, trying to pay people to lie about me, and trying to trick me to blackmail me to pay people off for things I didn't do.
[00:06:03.714 --> 00:06:04.394]  I'm not stupid.
[00:06:05.424 --> 00:06:17.230]  So I've got to play this game where I go report it to the FBI when they try to set me up with Russians that are really FBI, or when they try to set me up with child porn, or things even worse, okay?
[00:06:17.810 --> 00:06:25.374]  And so believe me, if you want to know why Trump couldn't get any support in the Capitol and in the White House, and why he couldn't get things done,
[00:06:27.110 --> 00:06:29.831]  He got a lot done, but not with his leadership.
[00:06:29.851 --> 00:06:30.691]  He had to get it done himself.
[00:06:30.791 --> 00:06:34.012]  It was because everyone around him was being harassed.
[00:06:34.613 --> 00:06:36.233]  Everyone around him was being threatened.
[00:06:36.753 --> 00:06:41.855]  Everyone around him was going through the process that I have not been enjoying for six years.
[00:06:44.696 --> 00:06:49.518]  That's why people claim, oh, you support Trump because you make so much money when you do it.
[00:06:50.378 --> 00:06:56.480]  No, we have actually barely been able to operate and stay on the air in support of Trump.
[00:06:57.403 --> 00:07:07.991]  That's why it makes it very bittersweet when they steal the election from him, despite all the things we've done and the sacrifices you as a listenership have gone through as well, and our affiliates and so many others.
[00:07:08.271 --> 00:07:09.232]  We've all been persecuted.
[00:07:09.852 --> 00:07:11.293]  But we're not victims, we're overcomers.
[00:07:11.814 --> 00:07:13.095]  But it's very frustrating then...
[00:07:14.704 --> 00:07:22.389]  When Trump does something like go along with the vaccine plan that isn't a vaccine, because he knew they were holding the economy hostage and said, oh, it'll be years till we have it.
[00:07:23.009 --> 00:07:26.532]  That was their plan to then force a vaccine passport, force a digital ID.
[00:07:26.572 --> 00:07:29.434]  If he could make them bring it out early, that plan would fall apart.
[00:07:29.974 --> 00:07:31.515]  And that's basically what Trump did.
[00:07:31.975 --> 00:07:33.897]  But I don't like that middle way.
[00:07:34.257 --> 00:07:36.578]  He should have just come out and said it's all a fraud.
[00:07:37.259 --> 00:07:41.662]  Not that the virus doesn't exist, but that it's not very deadly and not got along with it.
[00:07:41.722 --> 00:07:43.563]  But he did go along with it.
[00:07:48.527 --> 00:07:52.350]  But before we completely blame Trump, at first I knew it was man-made.
[00:07:52.370 --> 00:07:53.431]  I knew it came out of Wuhan.
[00:07:53.751 --> 00:07:59.936]  I knew they were exaggerating it, but I still was concerned the first few months in February and March and April.
[00:08:02.418 --> 00:08:07.539]  When Trump was saying, this is made up virus, this isn't a threat at all, I said, no, it's real.
[00:08:07.979 --> 00:08:12.700]  It's not as deadly as they say, but they're gonna try to say that Trump didn't protect the country.
[00:08:13.100 --> 00:08:19.562]  I said, Trump, you need to shut down the flights from Asia, you need to shut the borders down, or the left's gonna blame you for COVID.
[00:08:19.762 --> 00:08:20.822]  And we were right about that.
[00:08:21.262 --> 00:08:28.683]  And so Trump then overcompensated too much into being pro-genetic engineering, so-called vaccine.
[00:08:29.984 --> 00:08:31.284]  And so when you're in the arena,
[00:08:33.046 --> 00:08:58.035]  And you're getting sand thrown in your eyes, you're getting stabbed, you're getting overrun, and you're fighting ten to one, and instead of just a gladiator coming out of the bleachers, or a gladiator coming out of the pit, out of that black door that opens up, imagine three or four chariots come rolling out, and they're shooting arrows at you, like in the movie Gladiator, that's based on real events they actually did.
[00:08:59.022 --> 00:09:08.648]  They would flood the Coliseum routinely with water, 10 feet deep, and have ships fighting each other and burning and killing for everybody's entertainment.
[00:09:08.668 --> 00:09:14.611]  Well, imagine Trump's out there by himself, basically, and out of these doors just come bigger and bigger attacks.
[00:09:14.731 --> 00:09:16.732]  Tigers and elephants.
[00:09:17.233 --> 00:09:20.715]  So it's easy to go, oh, look, he should have done this, he should have done that.
[00:09:22.315 --> 00:09:22.975]  But know this.
[00:09:23.796 --> 00:09:25.777]  It's the big headline on InfoWars.com.
[00:09:25.797 --> 00:09:28.539]  We can put it up on screen for you here in a little while.
[00:09:29.240 --> 00:09:33.502]  It is the show title of the day.
[00:09:36.945 --> 00:09:43.289]  That the deep state is planning to indict
[00:09:44.514 --> 00:09:46.855]  President Trump on or before July 4th.
[00:09:47.275 --> 00:09:52.377]  The word is they're going to indict him going into the July 4th weekend to make that the dominant news.
[00:09:53.758 --> 00:09:59.480]  Because they know in Arizona and other states the news proving total election fraud.
[00:10:00.791 --> 00:10:17.276]  That's already come out is going to be certified and confirmed and they're going to want to totally overshadow that with indictments by the George Soros operative who swore if she got elected that she would prosecute Trump and put him in prison, Letitia James.
[00:10:18.116 --> 00:10:27.758]  And I would also look for the Southern Districts of New York, the FBI, and federal grand juries to then indict sometime after that.
[00:10:27.778 --> 00:10:29.079]  So you're going to see state indictments,
[00:10:30.285 --> 00:10:41.795]  And then you're going to see federal indictments against Don Jr., Rudolph Giuliani, and then the president because they have to discredit him because he's set to basically win any primary he wants.
[00:10:42.816 --> 00:10:45.479]  Town Hall has an excellent analysis of it with these numbers.
[00:10:45.979 --> 00:10:51.364]  All Trump has to do is declare his 2024 run and the GOP primaries are over.
[00:10:52.619 --> 00:10:56.820]  The first time Jackson ran for president, they stole it from him and it was well known.
[00:10:57.240 --> 00:11:00.641]  So the next time he ran, he won by an even bigger landslide.
[00:11:02.241 --> 00:11:11.463]  And arguments that Trump could be too old in a few years to run are out the window because they have a babbling, stuttering cryptkeeper as the puppet-in-chief right now.
[00:11:13.083 --> 00:11:20.725]  And so we have that Trump sources that are very high up in the southern districts of New York and inside the state of New York.
[00:11:21.772 --> 00:11:23.033]  I already have that from my sources.
[00:11:23.053 --> 00:11:27.315]  I'm going to leave it at that.
[00:11:27.335 --> 00:11:32.017]  I mean, I can tell you, Republicans are
[00:11:32.890 --> 00:11:37.714]  Blown away or being told you either join with the New World Order or you too will be indicted next.
[00:11:37.734 --> 00:11:51.144]  Because if you can indict a former president who had an election stolen from him over 20, 30-year-old tax valuations on properties, because you always undervalue a property for property tax and then overvalue it when you sell it.
[00:11:51.544 --> 00:11:52.865]  That's not illegal, that's business.
[00:11:53.445 --> 00:11:59.230]  But that's what they're getting ready to indict Trump on and it's just unbelievable.
[00:12:00.100 --> 00:12:06.082]  With Hunter Biden and the laptop, and documents came out yesterday from the laptop that Biden was in the meetings with the Chinese.
[00:12:06.322 --> 00:12:06.903]  Of course he was.
[00:12:06.923 --> 00:12:11.865]  There's emails of him saying, don't talk to me, talk to my son.
[00:12:12.365 --> 00:12:14.146]  To former FBI Director Louis Freeh.
[00:12:15.486 --> 00:12:16.607]  That's who you give the money to.
[00:12:19.068 --> 00:12:27.291]  So, we are literally overrun by criminal scum, and that's why the Chinese won't even talk to Biden, they won't even talk to the Secretary of Defense, because they own them!
[00:12:28.379 --> 00:12:32.522]  In that Asian culture of the Chinese particularly, it's all about who has the power.
[00:12:32.822 --> 00:12:33.923]  Same thing in the Japanese system.
[00:12:34.163 --> 00:12:35.444]  They know they own Biden.
[00:12:36.225 --> 00:12:45.192]  So they won't even return his phone calls, talk to him, won't even set up meetings because they don't even want to flaunt the fact that they also own them.
[00:12:46.351 --> 00:12:49.712]  So we are, for all intents and purposes, America is captured.
[00:12:49.992 --> 00:12:52.493]  We are under globalist Chinese occupation.
[00:12:53.513 --> 00:12:55.633]  And we thought we were too big to fail, too big to fall.
[00:12:55.813 --> 00:12:57.254]  America is fallen.
[00:12:57.674 --> 00:13:05.656]  And they are preparing to indict the real president, the 45th president, who's been told, you keep having those rallies, we're going to indict you.
[00:13:07.247 --> 00:13:17.136]  Well, his rallies have been announced in Florida and Texas and a few other states, and so the way to do this is to take it head-on, and Trump is going to take it head-on, and so are we!
[00:13:17.737 --> 00:13:22.261]  They plan to arrest us shortly after that, which is fine.
[00:13:22.281 --> 00:13:23.662]  I'm extremely honored to be in this position.
[00:13:24.943 --> 00:13:26.604]  It's like winning 50 Oscars.
[00:13:26.624 --> 00:13:28.046]  I mean, I don't want an Oscar.
[00:13:28.066 --> 00:13:29.527]  I don't want to be part of the fake system.
[00:13:29.587 --> 00:13:31.909]  It's like winning 100 Nobel Prizes.
[00:13:31.929 --> 00:13:32.529]  I don't want those.
[00:13:33.150 --> 00:13:34.871]  You get those for launching wars.
[00:13:35.812 --> 00:13:38.294]  I don't want the system's Pulitzer Prizes.
[00:13:38.374 --> 00:13:39.135]  I don't want any of that.
[00:13:40.076 --> 00:13:42.378]  I absolutely want to stand up against evil.
[00:13:43.138 --> 00:13:45.699]  And so I don't look forward to being fed into a meat grinder, but you know what?
[00:13:46.019 --> 00:13:48.940]  That's what it took to build this country, and that's what it'll take again.
[00:13:49.000 --> 00:13:54.923]  And so I will never be with those timid souls that crouch down and lick the hand and kiss the hand, to quote Patrick Henry, that feed them.
[00:13:55.643 --> 00:14:07.367]  But with those in the arena, and I'm extremely honored with all of you, and to work with the true president, who's got his own problems, but he's just a man, but he's a man that has done what he believed was right.
[00:14:07.607 --> 00:14:09.128]  And you know a man by his enemies.
[00:14:09.588 --> 00:14:10.489]  And so that's what's happening.
[00:14:10.509 --> 00:14:11.049]  Roger Stone,
[00:14:12.102 --> 00:14:12.583]  I don't know.
[00:14:27.082 --> 00:14:28.023]  And so he asked for your prayers.
[00:14:28.063 --> 00:14:33.207]  A statement on that is broke first at InfoWars.com if you want to see that.
[00:14:33.367 --> 00:14:36.169]  And obviously imagine what the Twitter crowd is going to do with that.
[00:14:36.510 --> 00:14:37.971]  They're such bloodthirsty little demons.
[00:14:38.531 --> 00:14:39.352]  All right.
[00:14:39.472 --> 00:14:41.214]  We'll be right back on the other side.
[00:14:41.234 --> 00:14:43.635]  InfoWars.com, NewsWars.com.
[00:14:43.656 --> 00:14:44.536]  Tomorrow's news today.
[00:14:44.877 --> 00:14:46.378]  There's the headline exclusive.
[00:14:46.418 --> 00:14:48.840]  Deep State planning to indict Trump on July 4th.
[00:14:51.082 --> 00:14:53.704]  Roger Stone joins Alex Jones live on air to discuss
[00:14:55.202 --> 00:15:03.606]  The New York run Soros plan to indict former president on phony charges.
[00:15:05.787 --> 00:15:16.072]  Globalists are planning and coordinating that to overshadow the news of election fraud that is coming out.
[00:15:17.012 --> 00:15:22.575]  Now, we're going to play a report after Roger leaves us at the start of the second hour.
[00:15:24.019 --> 00:15:25.520]  That is another big story.
[00:15:28.542 --> 00:15:49.413]  In all of these huge things that have come out about COVID-19 and the deadly gene therapy, so-called vaccines, again, they could call injecting somebody with poison, just straight up arsenic or cyanide, and call it a vaccine and people would go take it and die.
[00:15:50.174 --> 00:15:52.555]  If they called it a vaccine, the public would say, trust the science and take it.
[00:15:53.975 --> 00:15:59.502]  If you called a gallon of gasoline a vaccine, someone would pour it on themselves and light themselves on fire.
[00:15:59.742 --> 00:16:00.383]  Self-immolation.
[00:16:00.523 --> 00:16:01.224]  I'm not joking.
[00:16:02.265 --> 00:16:07.331]  There's a percentage of the public that if the media told them to go jump off a cliff, they would do it.
[00:16:09.904 --> 00:16:19.629]  What's really dangerous is they're organizing those idiots into brigades of individuals that will do anything they're told and then try to force us to submit as well.
[00:16:20.049 --> 00:16:32.715]  That has a name, it's called tyranny, and there are always control freaks throughout history and throughout civilization and throughout societies that seek to get control of masses of people and engage in this type of activity because it's what they want to do.
[00:16:33.275 --> 00:16:35.476]  It's what the satanic force is pushing for.
[00:16:37.935 --> 00:16:55.524]  So we have a very important clip of a scientist, Pierre Gilbert, French scientist, over 25 years ago, warning specifically of crystals in vaccines designed to basically turn the public into Alzheimer's zombies.
[00:16:56.324 --> 00:16:58.625]  And I've got a bunch of studies right here for TV viewers.
[00:16:59.165 --> 00:17:04.248]  COVID-19 RNA-based vaccines and the risk of prion disease by major
[00:17:05.720 --> 00:17:11.303]  Universities and major institutions and a bunch of articles about it as well.
[00:17:11.983 --> 00:17:17.166]  But instead of just having it in French, we've got subtitles that we've translated into English.
[00:17:19.567 --> 00:17:25.791]  And we are going to be playing that at the start of the next hour and tying it in to the obvious.
[00:17:26.331 --> 00:17:28.672]  Here is the puppet in chief.
[00:17:30.533 --> 00:17:31.213]  Yesterday.
[00:17:33.335 --> 00:17:34.035]  President Biden.
[00:17:36.556 --> 00:17:47.241]  Saying that we've gotta, you know, get ready for the next big disaster and that's that every hospital bed will be filled with people with Alzheimer's within just a few years.
[00:17:47.301 --> 00:17:50.902]  Now, he says basically 10 years.
[00:17:51.403 --> 00:17:52.763]  Same thing that AOC says.
[00:17:52.783 --> 00:17:54.804]  End of the world in 12 years.
[00:17:54.844 --> 00:17:55.605]  That was two years ago.
[00:17:55.965 --> 00:17:58.906]  Beto O'Rourke a year ago said end of the world in 11 years.
[00:18:00.747 --> 00:18:01.607]  Now it's 10 years.
[00:18:01.727 --> 00:18:02.208]  What's 10 years?
[00:18:05.387 --> 00:18:09.970]  The year 2030, 2031, that's the great reset.
[00:18:10.690 --> 00:18:18.695]  Agenda 2030 is where you have the mass depopulation goes into overdrive, afterburners.
[00:18:20.576 --> 00:18:30.522]  And so you see Agenda 21 starts with the launch in 2020, the takeover in 2021, the World ID teaching you that you're non-essential.
[00:18:31.943 --> 00:18:45.773]  Launching the forced inoculations, beginning it all, the World Social Credit Score, and then by 2030, we will be living in billions being killed or already killed.
[00:18:48.855 --> 00:18:50.896]  And what does Klaus Schwab say?
[00:18:50.916 --> 00:19:01.444]  He says you'll have a global health pass, and then to have your pass updated, after you have it for two years, it's a face scan attached to your pass, you will have to have an implantable microchip.
[00:19:04.195 --> 00:19:05.176]  And now it's on 60 minutes.
[00:19:05.256 --> 00:19:06.297]  You will have an implantable chip.
[00:19:06.397 --> 00:19:08.359]  It's all being announced.
[00:19:10.640 --> 00:19:13.042]  And it goes in and rewrites the genetic code of your body.
[00:19:14.584 --> 00:19:16.545]  And now we have footage I never got to yesterday.
[00:19:16.565 --> 00:19:17.406]  We'll play it in a moment.
[00:19:18.407 --> 00:19:27.555]  First we're going to play Biden of villagers in India chasing the government out.
[00:19:28.544 --> 00:19:36.329]  With their government vaccine that's killed so many, and hitting the government bureaucrats, the medical tyrants, on the head with sticks.
[00:19:37.970 --> 00:19:42.333]  But look at that photo they just put on screen of Klaus Schwab and Prince Charles.
[00:19:42.373 --> 00:19:47.716]  Prince Charles is one of the leaders of depopulation, like his father, Prince Philip, who called for world depopulation.
[00:19:49.037 --> 00:19:53.180]  Using a deadly virus, they tell you what they're gonna do, and look at those swollen red cheeks.
[00:19:54.514 --> 00:19:57.396]  You don't just get that when you've been out on a yacht or out golfing.
[00:19:58.216 --> 00:20:04.641]  Get those swollen red cheeks like that when you've gotten a big, juicy transfusion of blood.
[00:20:08.823 --> 00:20:10.885]  And the Royal Family takes transfusions of children's blood.
[00:20:10.905 --> 00:20:11.425]  That's admitted.
[00:20:12.426 --> 00:20:17.509]  But there he is, the Klaus Schwab, that says you will eat bugs, you will drink sewage, and you will like it.
[00:20:18.109 --> 00:20:20.171]  You will have nothing, you will own nothing, you will like it.
[00:20:20.451 --> 00:20:22.152]  That's why they're announcing all this dystopia.
[00:20:22.452 --> 00:20:23.553]  There's all these headlines today.
[00:20:24.963 --> 00:20:28.004]  The public wants animal-human hybrids.
[00:20:28.044 --> 00:20:29.925]  They want human-animal clones.
[00:20:31.766 --> 00:20:32.486]  You're like, no I don't.
[00:20:32.526 --> 00:20:33.607]  You want sewage.
[00:20:34.247 --> 00:20:36.308]  You want to cut your son's genitals off.
[00:20:36.388 --> 00:20:36.989]  You want.
[00:20:42.131 --> 00:20:43.411]  They're just bringing us into hell.
[00:20:43.812 --> 00:20:44.772]  They're invoking it all.
[00:20:44.852 --> 00:20:53.036]  So, here is Biden telling you that in 10 years, every hospital bed will be filled with people
[00:20:54.206 --> 00:20:59.809]  Who are 20 years old, 30, 40, 50, because the crystals are growing in their brains.
[00:20:59.949 --> 00:21:02.010]  That's what crystal proteins.
[00:21:04.431 --> 00:21:11.514]  That your cells now produce a crystal protein that eats your heart, your lungs, your brain, everything.
[00:21:12.892 --> 00:21:18.197]  And it'll take longer to eat those young children's brains, but they'll, by the time they're 20, they won't know who they are.
[00:21:18.477 --> 00:21:26.605]  But boy, if you're 60, 70, you already had some plaque that naturally grew in your brain or natural prions you picked up from eating processed foods.
[00:21:27.886 --> 00:21:31.990]  Well, now they, those are cluster points like, like nuclei form clouds.
