[00:00:00.169 --> 00:00:06.154]  And so I got up at 2 a.m., and I've been up since 2 a.m., and I read this whole document.
[00:00:06.214 --> 00:00:10.217]  Now, every facet of it is bone-chilling.
[00:00:11.878 --> 00:00:24.267]  But what's even more insane is it's actually being implemented all over the world right now, and this is a UN program, and it describes taking families away from each other, taking children away, and putting you in forced labor.
[00:00:26.288 --> 00:00:28.190]  Now, this is the Cloward and Piven strategy.
[00:00:29.969 --> 00:00:42.233]  It's how you bankrupt an economy, get enough people not to work until productivity collapses, you flood the country with third world population, and finally the social safety net gives out and the state fails.
[00:00:43.473 --> 00:00:45.574]  The police are laid off or fired.
[00:00:47.014 --> 00:00:50.695]  The universities start closing.
[00:00:51.375 --> 00:00:51.935]  We're here.
[00:00:52.015 --> 00:00:57.137]  This is stalling out the engine of the country to collapse it economically,
[00:00:58.442 --> 00:01:05.924]  Create such panic that people then accept the new currency, the universal guaranteed income, and then it just gets worse from there.
[00:01:06.924 --> 00:01:17.087]  And then the daily way of life is every neighborhood has a captain over it with armed leftists who are not from your neighborhood.
[00:01:17.127 --> 00:01:23.309]  They come and it says in the document, they're going to then put quote, disadvantaged groups in your home.
[00:01:25.040 --> 00:01:31.244]  And then if you, quote, cause any racial or cultural problems, you'll then be taken to a camp.
[00:01:32.325 --> 00:01:44.693]  So the entire United States is going to be a giant open-air re-education camp, and it says right here that they're going to, quote, take people from diverse backgrounds and put them in your house.
[00:01:45.956 --> 00:01:55.098]  And then it describes how the armed forces are going to be there in the neighborhood, camped out, and then if you don't do what they're told, they're going to come take you away.
[00:01:56.238 --> 00:01:57.679]  So, I want to explain something.
[00:01:58.199 --> 00:02:00.799]  On a scale of a 1 to 10, this is a 10 of evil.
[00:02:00.999 --> 00:02:05.540]  I mean, this is the most hardcore, savage evil takeover ever.
[00:02:05.600 --> 00:02:07.861]  General Austin has about to purge the U.S.
[00:02:07.901 --> 00:02:10.381]  military of anyone that won't take the deadly shots.
[00:02:10.401 --> 00:02:11.021]  That's by design.
[00:02:11.041 --> 00:02:13.322]  Then they're going to start the false flags, and then they're coming.
[00:02:14.042 --> 00:02:16.244]  Obviously won't be on air anymore by the time that happens.
[00:02:16.584 --> 00:02:17.945]  Get ready folks, this is it.
[00:02:18.165 --> 00:02:20.226]  They're getting ready to take us down full war.
[00:02:20.587 --> 00:02:21.167]  Emergency!
[00:02:21.427 --> 00:02:22.007]  Emergency!
[00:02:22.248 --> 00:02:22.768]  Emergency!
[00:02:22.868 --> 00:02:27.891]  From the front lines of the Information War, it's Alex Jones.
[00:02:31.912 --> 00:02:39.055]  We cannot continue to rely only on our military in order to achieve the national security objectives that we've set.
[00:02:39.855 --> 00:02:46.938]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:02:47.438 --> 00:02:50.039]  It was 13 years ago
[00:02:57.884 --> 00:03:05.232]  That then-Senator and candidate for President, Barack Obama, uttered those words in Chicago.
[00:03:07.518 --> 00:03:12.540]  And I have the Pentagon documents, I have the CDC documents, I have them all, but they're now official.
[00:03:13.140 --> 00:03:17.122]  And we know who's launched it, we know how they're going to play it out, and we know who's in command of it.
[00:03:17.142 --> 00:03:18.622]  His name is General Honoré.
[00:03:19.202 --> 00:03:23.164]  He locked down Louisiana and Mississippi and confiscated over 3 million firearms.
[00:03:24.144 --> 00:03:29.246]  They quartered in people's houses illegally, and they shot hundreds of U.S.
[00:03:29.266 --> 00:03:30.146]  citizens and killed them.
[00:03:30.627 --> 00:03:34.008]  He has been put in full command of the martial law collapse of the U.S.
[00:03:34.708 --> 00:03:38.610]  And the new Civil War they're going to launch under the guise of the next COVID lockdown.
[00:03:40.230 --> 00:03:43.372]  And my phone started buzzing at 2 a.m.
[00:03:43.392 --> 00:03:51.435]  this morning, and I don't normally leave my phone on, but I'd forgotten, and it was Eddie Bravo sending me links saying, have you seen this?
[00:03:51.735 --> 00:03:57.297]  And I'd seen pieces of it, but they'd not published the whole thing on the CDC website until about a week ago.
[00:03:57.397 --> 00:04:01.659]  And it's a document they produced last year in July.
[00:04:03.180 --> 00:04:10.727]  Interim Operational Considerations for Implementing the Shielding Approach to Prevent COVID-19 Infections in Humanitarian Settings.
[00:04:10.927 --> 00:04:12.589]  What a nice word for that.
