[00:00:00.000 --> 00:00:01.000]  [clicking]
[00:00:01.000 --> 00:00:03.000]  [whirring]
[00:00:03.000 --> 00:00:06.000]  [music]
[00:00:06.000 --> 00:00:10.000]   And it's time for humanity to stand up in the Info War and say,
[00:00:10.000 --> 00:00:13.000]   "I don't know what's going to happen at the end of this, but you want to fight,
[00:00:13.000 --> 00:00:16.000]  you better believe you've got one!"
[00:00:16.000 --> 00:00:17.000]  [cheering]
[00:00:17.000 --> 00:00:23.000]   From the front lines of the Information War, it's Alex Jones.
[00:00:23.000 --> 00:00:41.000]  [music]
[00:00:41.000 --> 00:00:47.000]  [music]
[00:00:47.503 --> 00:00:52.629]  For years now, Justin Trudeau has been a loyal lapdog to the Communist Chinese.
[00:00:53.706 --> 00:01:05.031]  While the people of Canada ceremoniously came together to condemn the CCP's Uyghur genocide, Trudeau's cabinet sent a single member on a Zoom call to officially abstain.
[00:01:05.932 --> 00:01:20.839]  When the president of Taiwan was set to be honored by the Halifax International Security Forum for standing strong against China's relentless pressure, the Trudeau administration threatened to end their funding if they went through with it.
[00:01:21.759 --> 00:01:31.482]  Trudeau invited the Communist Chinese military to conduct winter training in Canada in 2019, less than 200 miles from the U.S.
[00:01:31.542 --> 00:01:33.043]  border in upstate New York.
[00:01:33.603 --> 00:01:36.504]  The head of the Canadian military caught wind of it from the U.S.
[00:01:36.564 --> 00:01:43.306]  Pentagon and called it off, which upset Trudeau, whose chief concern was offending the CCP.
[00:01:45.040 --> 00:01:49.163]  Under Trudeau, Canada has been a big player in the COVID hoax.
[00:01:49.784 --> 00:02:14.423]  In early 2017, billionaire Barry Sherman, a huge supporter of Trudeau's Liberal Party, was under investigation for shady deals with Trudeau that could have resulted in his company Apotex, the world's largest producer of hydroxychloroquine and Canada's biggest pharmaceutical company, being banned for five years from lobbying the government.
[00:02:15.204 --> 00:02:24.804]  Later that year, Sherman and his wife were found hung from railings around their indoor swimming pool, with markings from being beaten and tied by their wrists.
[00:02:25.879 --> 00:02:30.840]  It was officially ruled a suicide, and along with Sherman, the probe died.
[00:02:31.560 --> 00:02:40.343]  Apotex was able to continue doing business with Trudeau's government, and went on to provide dangerous drugs as part of their ventilator protocol.
[00:02:41.163 --> 00:02:49.145]  And it was at the University of British Columbia where the lipid nanoparticles that make the mRNA shots possible were developed.
[00:02:50.734 --> 00:02:52.855]  Trudeau is a natural-born tyrant.
[00:02:53.636 --> 00:03:10.728]  After less than 30,000 deaths, 0.07% of the population, Justin Trudeau has announced that all federal employees, and everyone 12 or older traveling on planes, trains, and cruise ships, need to be fully vaccinated.
[00:03:11.528 --> 00:03:14.169]  Testing negative will no longer be an option.
[00:03:14.429 --> 00:03:16.630]  Testing will no longer be an option.
[00:03:17.370 --> 00:03:24.113]  These travel measures, along with mandatory vaccination for federal employees, are some of the strongest in the world.
[00:03:24.853 --> 00:03:33.036]  Because when it comes to keeping you and your family safe, when it comes to avoiding lockdowns for everyone, this is no time for half measures.
[00:03:33.416 --> 00:03:37.237]  In Ontario, elected representative Rick Nichols refused.
[00:03:37.497 --> 00:03:47.539]  But under no circumstances will I, nor should any Ontarian, be forced or coerced to do something against their will.
[00:03:47.839 --> 00:03:48.599]  And was fired.
[00:03:50.379 --> 00:03:59.801]  Under new health orders in Saskatchewan, the government may now enter into any building on any land without a warrant and seize property.
[00:04:00.888 --> 00:04:02.690]  And they are building isolation centers.
[00:04:03.710 --> 00:04:17.783]  Trudeau's government, like most governments in the West, is dragging their people into a hellish reality of forced experimental drugs and a social credit score to police every movement they make for the rest of their lives.
[00:04:18.263 --> 00:04:21.025]  The same reality coming to you and your family.
