[00:00:00.000 --> 00:00:17.120]  [Music]
[00:00:17.120 --> 00:00:22.518]   Two weeks ago today, I interviewed the former National Security Advisor of President Trump
[00:00:22.518 --> 00:00:27.039]   and the former head of the Defense Intelligence Agency, General Michael Flynn.
[00:00:27.051 --> 00:00:40.875]   And he issued a warning to the world that he saw all the telltale signs and the preparation in the media for a new variant to be released on the world of COVID-19 to create fear, And to establish more U.N.
[00:00:40.915 --> 00:00:48.260]  control via a organized economic collapse or a controlled depression, as he called it.
[00:00:48.900 --> 00:00:54.364]  And now we see exactly that happening about 12 days after he made the prediction on our show.
[00:00:55.618 --> 00:01:09.669]  And now we see the United Nations, and we see the UK, and we see Israel, and we see the European Union, we see the Democratic Party here, saying we want new lockdowns because there's a quote, new variant of this cold virus.
[00:01:10.131 --> 00:01:16.677]  We're taking the news about the new highly mutated COVID-19 variant very seriously.
[00:01:16.697 --> 00:01:30.849]  The European Commission has today proposed to Member States to activate the emergency brake on travel from countries in Southern Africa and other countries affected to limit the spread of the new variant.
[00:01:31.149 --> 00:01:38.773]  How are individuals like General Flynn and myself able to predict weeks, months, and even years ahead exactly what's going to happen?
[00:01:39.434 --> 00:01:50.940]  It's because the multinational corporations through think tanks like the Rockefeller Foundation and Operation Lockstep from 12 years ago lay out scenarios through which they can take full control of the planet.
[00:01:51.320 --> 00:02:06.045]   And now we're going from beta With COVID-19 into COVID 2021, as they're calling it, which is going to be used as the pretext to establish a worldwide tyranny with a smart grid control system via the vaccine passport.
[00:02:06.505 --> 00:02:14.168]  But before we go to the latest developments, here are General Flynn's prophetic, on-target, vindicated predictions from just two weeks ago.
[00:02:14.508 --> 00:02:20.752]  We're going to see an uptick in in in other aspects of the COVID.
[00:02:20.872 --> 00:02:22.994]  OK, so we got the various variants.
[00:02:23.034 --> 00:02:29.138]  There might even be another form of a SARS that's imposed on the international system.
[00:02:29.218 --> 00:02:29.438]  Right.
[00:02:29.738 --> 00:02:42.504]   The internationalists, because because their little plan with COVID didn't work because too many people, you know, the world of what I call the digital warriors or the or the citizen journalists that are out there, they are
[00:02:42.504 --> 00:02:43.684]  fighting for the truth.
[00:02:43.684 --> 00:02:47.764]   And so the truth has been exposed about all the covid tyranny that we are facing.
[00:02:47.764 --> 00:02:51.364]   So I think what we're going to see is potentially another type of virus
[00:02:51.364 --> 00:02:55.204]   that's imposed on the public. And I hope that that's not the case.
[00:02:55.204 --> 00:03:00.004]   But I've seen some indications of that in some of the statements by some of these global elite
[00:03:00.004 --> 00:03:06.484]   type of people. How is General Flynn over and over and over again able to make accurate predictions?
[00:03:07.284 --> 00:03:12.724]   He was the guy in the Pentagon 10 years ago that said China is double crossing us and we have to
[00:03:12.724 --> 00:03:13.763]  pivot to Asia.
[00:03:13.936 --> 00:03:15.517]  And then he was proven right just a few years later.
[00:03:15.818 --> 00:03:16.898]  People said he's a genius.
[00:03:16.938 --> 00:03:17.519]  How did he know?
[00:03:18.139 --> 00:03:25.124]  Because he was doing research and actually reading what the Communist Chinese were saying in their own publications.
[00:03:25.564 --> 00:03:27.506]  So much of this intelligence is public.
[00:03:28.086 --> 00:03:32.309]  Pfizer going back 20 months ago said, this is going to be a great business for us.
[00:03:32.329 --> 00:03:33.529]  You're going to need booster shots.
[00:03:33.889 --> 00:03:35.791]  There's always going to be new variants.
[00:03:36.111 --> 00:03:38.032]  We want you to take new shots every six months.
[00:03:38.852 --> 00:03:42.514]  This mRNA gene therapy will actually get rid of people's immune systems.
[00:03:42.875 --> 00:03:49.619]  So then we'll have to have dozens of new vaccines every year, not just for the cold virus, but for flu viruses, pneumonia, and others.
[00:03:50.259 --> 00:04:15.474]   This is a corporate takeover plan for a world ID with a world tracking system through the vaccine passports that is also tied to a carbon tracking taxation system and global social credit score where the nation state is completely subservient not just to the United Nations but to the private corporations like Pfizer and Moderna who forced more than 50 nations including the U.S.
[00:04:15.874 --> 00:04:36.953]   to sign secret agreements waiving the nation's rights and signing over our public lands as collateral to them If they will give us the special elixir that will protect us from the horrible pandemic, which if we go back to the numbers in 2020, no more people died than even died from the seasonal flu or from the cold.
[00:04:37.313 --> 00:04:41.916]  But now we see in 2021, record numbers of deaths of the vaccinated.
[00:04:42.116 --> 00:04:51.622]  And that's a very important piece of information out of South Africa, where the first four people with the new Omicron variant were the vaccinated.
[00:04:52.082 --> 00:05:07.350]  And it's the same information coming out of the EU, and coming out of Israel, and coming out of Canada, and coming out of Singapore, and coming out of Gibraltar, where the majority of people getting sick and being hospitalized and dying have been the double vaxxed.
[00:05:07.730 --> 00:05:19.937]   In fact, we now have statistics out of Germany and out of the UK where they both show, government numbers, A doubling of people who've been vaccinated dying than the general public who's not been vaccinated.
[00:05:20.357 --> 00:05:23.199]  So this information is just completely bombshell.
[00:05:23.840 --> 00:05:30.764]  But the biggest prediction General Flynn made was not just they have a new lockdown hyping up a new variant and saying it was imminent.
[00:05:31.184 --> 00:05:43.174]  But that they would use that to crash futures on the stock market worldwide to allow, again, private insider groups to then go in and buy up those companies for pennies on the dollar.
[00:05:43.575 --> 00:05:45.236]  This is modern warfare.
[00:05:45.656 --> 00:05:47.178]  This is the Great Reset.
[00:05:47.498 --> 00:05:50.921]  This is how the globalists are controlling and dominating society.
