[00:00:00.000 --> 00:00:16.480]  [Outro]
[00:00:16.531 --> 00:00:17.413]  Tomorrow's news.
[00:00:17.513 --> 00:00:32.112]   today. After the Russians secured Pentagon run bio labs in Ukraine, the US.
[00:00:32.120 --> 00:00:35.682]  Embassy was caught deleting proof of this from their website.
[00:00:36.442 --> 00:00:46.446]  And when the Russians shared documents showing the Ukrainian Minister of Health ordering employees of these biolabs to destroy all deadly pathogens, U.S.
[00:00:46.507 --> 00:00:49.328]  Senator Marco Rubio asked the U.S.
[00:00:49.368 --> 00:00:51.649]  State Department if there was any truth to this.
[00:00:52.629 --> 00:01:07.894]  Undersecretary Victoria Newland not only confirmed the presence of the labs, but confirmed that they contain weaponized biological agents that they now fear the Russians will indiscriminately use to start a world war.
[00:01:09.054 --> 00:01:13.556]  The Pentagon calls them bio-research labs and containment labs.
[00:01:14.216 --> 00:01:18.842]  And claim their clandestine operation is all somehow in self-defense.
[00:01:19.543 --> 00:01:24.168]  But they are admittedly creating and storing weaponized biological material.
[00:01:24.629 --> 00:01:30.776]  And so these biolabs are in violation of Article 1 of the Prohibition on Biological Weapons.
[00:01:32.529 --> 00:01:39.474]  During the past couple years, citizens of the world have been getting an advanced education on bioweapons.
[00:01:40.034 --> 00:01:48.140]  And the very same crooks we see foisting the Great Reset medical tyranny are involved in the Ukrainian bioweapons labs.
[00:01:49.651 --> 00:01:57.717]  This is all being paid for with tax dollars through the Pentagon's Defense Threat Reduction Agency, the DTRA.
[00:01:58.618 --> 00:01:58.838]  U.S.
[00:01:58.918 --> 00:02:05.483]  company Black & Veatch has been working closely with the DTRA building bioweapons labs since 2003.
[00:02:07.785 --> 00:02:17.992]  Black & Veatch share an office in Kiev with MetaBiota, who signed an $18.4 million contract with Black & Veatch in 2014.
[00:02:18.752 --> 00:02:32.942]  MetaBiota got their start in 2015 with funding from Hunter Biden's Rosemont Seneca Technology Partners, who gave MetaBiota $30 million to help protect the world from the spread of epidemics.
[00:02:34.403 --> 00:02:42.905]  This is the very same Rosemont Seneca that was mysteriously wired $3.5 million from the wife of the former mayor of Moscow.
[00:02:43.465 --> 00:02:55.348]  And the very same metabiota partnered with Peter Daszak's EcoHealth Alliance, the group that Dr. Fauci used to funnel money to the Wuhan lab for gain-of-function research in 2014.
[00:02:57.368 --> 00:03:08.830]  In 2014, MetaBiota, EcoHealth Alliance, and the Wuhan Institute of Virology were together researching infectious diseases deriving from Chinese bats.
[00:03:10.090 --> 00:03:13.931]  MetaBiota is working with known CIA front In-Q-Tel.
[00:03:14.491 --> 00:03:15.851]  It is funded by the U.S.
[00:03:15.871 --> 00:03:24.413]  Department of Defense, the NIH, the Bill and Melinda Gates Foundation, Google, and the National Geographic Society.
[00:03:26.161 --> 00:03:34.827]  MetaBiota's founder, Nathan Wolf, sits on the board of EcoHealth Alliance and is a member of DARPA's Defense Science Research Council.
[00:03:35.547 --> 00:03:49.377]  In 2012, he wrote a book titled The Viral Storm, The Dawn of a New Pandemic Age, wherein he thanked his friends, pedophile Jeffrey Epstein and biotech venture capitalist Boris Nikolic.
[00:03:50.137 --> 00:03:55.781]  Boris Nikolic was named Jeffrey Epstein's successor executor upon his death.
[00:03:57.242 --> 00:04:02.349]  Wolf has also been seen hanging out with Ghislaine Maxwell on multiple occasions.
[00:04:03.390 --> 00:04:13.023]  He is also one of Klaus Schwab's young global leaders, trained on how to enact the Great Reset Agenda being directed by the World Economic Forum.
