[00:00:00.000 --> 00:00:15.000]  [MUSIC]
[00:00:15.000 --> 00:00:19.000]  InfoWars. Tomorrow's news, today.
[00:00:19.000 --> 00:00:22.000]  [MUSIC]
[00:00:22.000 --> 00:00:24.000]  The false flags are coming.
[00:00:23.633 --> 00:00:27.294]  You have seen all the massive pre-programming.
[00:00:28.444 --> 00:00:40.993]  You've seen the Democratic Party in the deep state running on the fact that the American people that don't want to destroy their country, that don't want election fraud, that don't want open borders, that don't want lockdowns, are white supremacists with 177 days out from the election.
[00:00:44.366 --> 00:01:07.623]  Coming up in the second hour, we're going to air excerpts from the last year and a half where I specifically laid out that incel white supremacists would attack black grocery stores, churches, colleges, and other facilities as a pretext to get Americans killing each other and each other's throats right before they plunge the dollar and bring in new lockdowns and steal the next election in 177 days.
[00:01:07.643 --> 00:01:11.904]   The feds Head Red flagged him.
[00:01:12.205 --> 00:01:14.646]  People had called and said he's gonna attack and kill people.
[00:01:14.906 --> 00:01:15.506]  He said he is.
[00:01:15.526 --> 00:01:16.507]  He had a manifesto.
[00:01:16.987 --> 00:01:18.147]  But nothing was done.
[00:01:18.408 --> 00:01:21.869]  And now we're told all of talk radio has to pay.
[00:01:22.970 --> 00:01:26.471]  Now we're told that everybody's free speech has to pay and that it's Tucker Carlson's fault.
[00:01:26.891 --> 00:01:36.056]  And in less than three hours after the shooting, the blood wasn't even dry, they were blaming talk radio and the internet and free speech and everything else for what happened.
[00:01:37.179 --> 00:01:40.523]  Now am I saying that the government actually did this and this guy doesn't exist?
[00:01:40.543 --> 00:01:41.123]  No, I'm not saying that.
[00:01:41.484 --> 00:02:25.471]   I'm saying the atmosphere of saying whites are the devil and then whites being racially attacked everywhere and the media hyping it up saying we should exterminate all the white people in the New York Times is the left trying to get black and white people and others to kill each other and distract from what's happening because they statistically through criminology know That the FBI does, that if the media hypes up enough race war news and says it's imminent, and then there's a Kenosha black supremacist, another crazy person, runs over some innocent white people, that whites are then going to see that, that are mentally ill, and think that there's not justice, and think the answer is going out and killing black people, not seeing that it's the globalists playing both sides off against each other, and we got to be smart enough to understand that.
[00:02:25.811 --> 00:02:28.052]  Those innocent white people run over and killed at that parade.
[00:02:28.092 --> 00:02:29.053]  Didn't deserve what happened to them.
[00:02:29.273 --> 00:02:30.314]  That guy didn't even know who they were.
[00:02:30.574 --> 00:02:31.895]  Same thing with these innocent black people.
[00:02:31.935 --> 00:02:36.558]  The first two he shot reportedly, and we have the footage, is two black women loading groceries in their car.
[00:02:36.598 --> 00:02:37.378]  What the hell did they do?
[00:02:37.658 --> 00:02:38.459]  Didn't even know them.
[00:02:38.559 --> 00:02:43.802]  And notice, there's never attacks on the UN or the Rockefellers or the Rothschilds or the New World Order.
[00:02:43.822 --> 00:02:44.843]  And I'm not saying there should be.
[00:02:45.183 --> 00:02:46.283]  I'm not for offensive attacks.
[00:02:46.624 --> 00:03:04.678]   But in these provocateur actions like the FBI, and what we saw with Governor Whitmer, now a totally staged event with a kidnapping plot, We understand that they've done this over and over and over again, and when they actually do target themselves, they make sure that it's non-fatal and that nobody gets killed, like with Governor Whitmer.
[00:03:04.938 --> 00:03:11.281]  But when the American people, whether they be black, white, Hispanic, Asian, old, young, gay, straight, you name it, get attacked, well then, ladies and gentlemen...
[00:03:11.761 --> 00:03:17.805]  We're all told collectively that white people are to blame and gun owners are to blame for what happened here, and that is a total fraud.
[00:03:18.285 --> 00:03:28.432]  Now, Royce White is a former NBA player, a martial arts fighter as well, mixed martial arts, and he has really been kicking ass running against Ilhan Omar.
[00:03:28.812 --> 00:03:35.857]  He is about to take over here, ladies and gentlemen, and he's got a special guest, David Penn, political activist, international businessman.
[00:03:36.137 --> 00:03:49.903]   He was set to host today, but things were so hot with such a giant audience, I just thought I had to come in and give you my Baseline on what's going on, and then I'll be back in the second segment, Hour 2, to play the excerpts where I predicted all this very, very specifically.
[00:03:50.283 --> 00:03:52.964]  Now, we're going to come right back from break with Royce White.
[00:03:52.984 --> 00:03:54.644]  He's going to be taking over from Minnesota.
[00:03:54.685 --> 00:03:56.025]  He's running against Ilhan Omar.
[00:03:56.205 --> 00:03:57.625]  This is going to be one hell of a broadcast.
[00:03:57.645 --> 00:03:58.866]  Let's override the sensors.
[00:03:59.246 --> 00:04:03.447]  Everybody, take the live feed from battleplan.news and band.video and share it now.
[00:04:03.668 --> 00:04:04.888]  We'll be right back with Royce White.
[00:04:08.570 --> 00:04:16.097]  It's Sunday, May 15, 2022, and a tragic event killing 10 innocent human beings in Buffalo, New York has taken place.
[00:04:16.117 --> 00:04:24.564]  Next hour we'll play the specific videos from last year where I predicted this exact scenario and what will come next is more important.
[00:04:24.584 --> 00:04:32.771]  177 days after the election, this is just the beginning of the provocateur psychos the deep state have got ready to release off their leashes.
[00:04:33.717 --> 00:04:34.758]  This is important.
[00:04:35.138 --> 00:04:36.198]  We know their game plan.
[00:04:36.218 --> 00:04:36.979]  We can stop them.
[00:04:36.999 --> 00:04:37.899]  We can come together.
[00:04:38.260 --> 00:04:45.404]  They are playing black off against white and everybody else to try to get us to start killing each other so they can be the referee over it and distract from their whole new world order.
[00:04:45.804 --> 00:04:58.031]   Taking over now is Royce White, born and raised in Twin Cities, Minnesota, currently a professional athlete, former NBA player and a professional mixed martial artist, also an author, political activist, and You know him well from Tucker Carlson, this show, and others.
[00:04:58.071 --> 00:04:59.632]  He's running against Ilhan Omar.
[00:04:59.952 --> 00:05:02.053]  I couldn't think of a better person to get into Congress.
[00:05:02.393 --> 00:05:09.537]  He also has David Penn joining him next segment for the Balance of the Transmission, political activist, international businessman, freepeopleofamerica.org.
[00:05:09.637 --> 00:05:11.198]  I'm Alex Jones from Infowars.com.
[00:05:11.418 --> 00:05:13.039]  And now, Royce White takes over.
[00:05:15.540 --> 00:05:16.060]  Thank you, Alex.
[00:05:16.100 --> 00:05:16.981]  I appreciate it, brother.
[00:05:17.121 --> 00:05:21.343]  Once again, I am your guest host for the next couple of segments, the next two hours.
[00:05:21.363 --> 00:05:23.024]  It's going to be a hell of a broadcast.
[00:05:23.064 --> 00:05:24.104]  I appreciate the time.
[00:05:25.592 --> 00:05:27.533]  A lot of things to talk about today, obviously.
[00:05:27.693 --> 00:05:28.714]  A lot of things to cover.
[00:05:29.774 --> 00:05:33.916]  The Buffalo shooting is another example of the spiritual crisis that we face.
[00:05:34.397 --> 00:05:35.957]  And we do face a spiritual crisis.
[00:05:36.438 --> 00:05:39.059]  And we do face a crisis of logic.
[00:05:39.319 --> 00:05:41.140]  And ultimately a crisis of leadership.
[00:05:43.782 --> 00:05:52.966]  First and foremost, I wanted to start off the broadcast by thanking Alex Jones and the InfoWars team for allowing me to share their platform.
[00:05:54.950 --> 00:06:01.474]  Alex Jones is an American hero, and we all owe him our deepest gratitude and our continued support.
[00:06:02.554 --> 00:06:04.976]  You know, I'm here in the belly of the beast.
[00:06:05.316 --> 00:06:07.957]  Minneapolis, Minnesota is the belly of the beast.
[00:06:08.198 --> 00:06:09.238]  Make no mistake about it.
[00:06:10.059 --> 00:06:14.921]  And I'm running for Congress against Ilhan Omar.
[00:06:15.442 --> 00:06:23.026]  And had I ran as a Democrat, I would have been literally crucified for even associating myself with Alex Jones.
[00:06:23.812 --> 00:06:28.554]  Had I hired a general consultant from the establishment Republicans, I would have been persona non grata.
[00:06:29.315 --> 00:06:30.756]  But this is a turn of the tide.
[00:06:31.356 --> 00:06:43.902]  And the turn of the tide is that people are stepping up around the world and communities around this country to fight back against the corruption and the status quo of our legacy institutions.
[00:06:45.023 --> 00:07:00.703]   And I for one am proud To be able to guest host InfoWars, to be able to know Alex Jones, and to be able to stand alongside a man that has fought for freedom, fought for the right to speak truth to power, and said things that were unpopular at times when he stood to lose the most.
[00:07:00.743 --> 00:07:02.804]  So make sure that we continue to support Alex Jones.
[00:07:03.244 --> 00:07:04.765]  We got a great show coming up for you today.
[00:07:04.785 --> 00:07:07.325]  I'm going to touch on Roe v. Wade next segment.
[00:07:07.686 --> 00:07:12.748]  And then we got a good friend of mine, David Penn, joining us in the fourth block and fifth block.
[00:07:13.168 --> 00:07:16.369]  Like Alex said, he'll be rejoining the broadcast in the second hour.
[00:07:17.229 --> 00:07:49.633]   For one of the first blocks and then I'll take the show again and we're gonna talk about everything from globalism and nationalism anti-semitism Roe v. Wade We got a lot to cover I just want to start with the 30,000 foot view for this first segment and I think Alex Jones and myself and many others who have dared to touch the 30,000 foot view have been casted as crazies But allow me to have my my chance here The battleground seems very clear to me.
[00:07:50.793 --> 00:07:52.775]  God versus Satan, first and foremost.
[00:07:52.855 --> 00:07:53.895]  The battle is spiritual.
[00:07:54.435 --> 00:08:09.303]  Like I've said many times before on this show, and I will continue to stress, and what's important to realize about it being a God versus Satan kind of battle is the forces at work are somewhat beyond our comprehension.
[00:08:10.265 --> 00:08:21.457]  And it validates or justifies those of us that believe that the Holy Bible and that faith are the spiritual guide in a battle that is beyond our comprehension.
[00:08:21.837 --> 00:08:28.725]  And when I say beyond our comprehension, I mean we have to understand that Satan is fighting on multiple fronts at once.
[00:08:32.029 --> 00:08:36.191]  We see it with the Roe v. Wade conversations that have broken out over the past few weeks.
[00:08:36.652 --> 00:08:38.233]  We see it with the Ukraine conflict.
[00:08:38.293 --> 00:08:39.713]  We see it with the food shortages.
[00:08:40.134 --> 00:08:42.055]  We see it with the currency flux.
[00:08:43.275 --> 00:08:46.557]  We see it with the continued conflict there in Kashmir.
[00:08:48.278 --> 00:08:49.699]  We see it at our own southern border.
[00:08:49.839 --> 00:08:52.881]  We see it in our schools, in our communities, with the church of LGBTQ.
[00:08:53.281 --> 00:08:56.263]  There are many, many fronts where Satan wants to wage war.
[00:08:57.624 --> 00:09:01.686]  And most recently, his war came to Buffalo, New York.
[00:09:02.375 --> 00:09:08.900]  And I want to take a moment, a moment of silence for those that lost loved ones, for those that lost their lives in Buffalo, New York.
[00:09:13.403 --> 00:09:18.627]  Now, you know, we're going to talk a lot today about cultural narratives.
[00:09:18.947 --> 00:09:36.284]   Three-card Monty's using black, white, Jewish, all of these ethnicities and, and titles to stir and foment violence and First, before we go there, I want to set the stage around the geopolitical.
[00:09:37.004 --> 00:09:40.607]  We talked about the spiritual, and we know there are forces beyond our imagination.
[00:09:40.727 --> 00:09:42.469]  But I want to talk about the geopolitical.
[00:09:43.309 --> 00:09:45.371]  We got a four-player jump ball going right now.
[00:09:45.931 --> 00:09:53.077]  And that four-player jump ball is the globalists, the free people of the world, China, and Russia.
[00:09:54.338 --> 00:09:58.201]  And it's hard to say whose interests lie where.
[00:09:58.421 --> 00:10:30.995]   It's hard to say who will eventually be Coalesced against the free people, but what I can say is that the free people have to understand that in the jump ball We are we are down We we are not in a winning position right now and much of it has to do with the the fact that many of us have abnegated our faith in God and put our faith in man and and by putting our faith in man, we will fail most times we have to
[00:10:31.542 --> 00:10:39.108]  Restore our national honor and our sacred honor, and we have to do it through American constitutional values, but we also have to do it through faith in God.
[00:10:39.728 --> 00:10:49.355]  So we got a four-player jump ball on the international political scene, and I want to touch on the four heralds of New World Order, if I could for a moment.
[00:10:50.356 --> 00:11:00.492]   There are four clear heralds of New World Order for the globalists to finalize their totalitarian Dystopian dreams.
[00:11:01.093 --> 00:11:05.254]  Those four heralds are famine, which is currency collapse.
[00:11:05.294 --> 00:11:06.754]  We see that starting to emerge.
[00:11:06.894 --> 00:11:07.295]  Plague.
[00:11:08.435 --> 00:11:08.915]  Violence.
[00:11:09.935 --> 00:11:19.318]  And then you got all out technocracy and dystopia where artificial intelligence, you know, prosecute crimes through facial recognition, which is already happening in China.
[00:11:20.039 --> 00:11:21.839]  And those are the four heralds.
[00:11:21.899 --> 00:11:27.721]  And we have all four breaking out right now and in a very in a very dire way.
[00:11:28.727 --> 00:11:33.708]  And the most recent one is this Buffalo mass shooting.
[00:11:35.148 --> 00:11:43.210]  Ten years ago, when I was drafted into the NBA, I said mental health was going to be the greatest social issue we face.
[00:11:44.190 --> 00:12:27.223]   Now, whether or not we believe that government agencies could be involved in using this mass shooting as a false flag to start a race war, to foment racial division in the country, Is neither here nor there in the sense that anybody anywhere in the world that would kill unarmed innocent unexpected people is doing the work of Satan despite what other allegiances they may have they are doing the work of Satan and we have to pray today going forward we have to pray for discernment we have to pray for the ability
[00:12:27.856 --> 00:12:34.481]  To see with clarity where the enemy wants to lead us.
[00:12:35.522 --> 00:12:40.485]  And right now it appears that the enemy wants to lead us into a cataclysm of violence.
[00:12:41.226 --> 00:12:46.750]  And yes, we are all shook anytime 10 people lose their lives in this way.
[00:12:47.390 --> 00:13:00.735]   But in the next next segment, I'm going to come back with more discussion about Roe v. Wade, the sanctity of life, the millions upon millions who have have and will starve over the next year due to these
[00:13:00.735 --> 00:13:03.325]  geopolitical super corporate interests.
[00:13:03.325 --> 00:13:08.365]   And all of these things have to be considered and they have to be considered right now. They have to
[00:13:08.365 --> 00:13:12.846]   be considered by people who are genuine leaders and we have a crisis of leadership which is why
[00:13:12.846 --> 00:13:16.206]   I stepped up to run for United States Congress against Ilhan Omar.
[00:13:16.206 --> 00:13:21.804]  We're going to have an incredible broadcast like I said.
[00:13:22.000 --> 00:13:28.609]  I am extremely grateful to be here on this day, a historic day for bad reasons.
[00:13:29.731 --> 00:13:31.433]  Please stay with us over to the next segment.
[00:13:31.453 --> 00:13:32.735]  We're going to talk Roe v. Wade.
[00:13:33.275 --> 00:13:36.760]  I am going against Ilhan Omar as a United States Congressman.
[00:13:37.140 --> 00:13:42.063]  And we're going to bring integrity and faith in God and national honor and sacred honor back to D.C.
[00:13:42.523 --> 00:13:43.403]  Thank you very much.
[00:13:43.803 --> 00:13:45.144]  Stick with us to the next segment.
[00:13:45.184 --> 00:13:46.525]  I want to get into Roe v. Wade.
[00:13:46.845 --> 00:13:47.825]  Thank you, Alex Jones.
[00:13:47.665 --> 00:13:50.665]  I can't wait to talk to you again in the next hour.
[00:13:50.665 --> 00:13:53.665]  [MUSIC]
[00:13:54.665 --> 00:13:56.665]  [MUSIC]
[00:13:56.665 --> 00:14:01.665]   I'm your guest, Sol Royce White, here in the belly of the beast, Minneapolis, Minnesota.
[00:14:01.665 --> 00:14:06.665]   And I am running for the United States Congress against Ilhan Omar in this segment of the show.
[00:14:07.196 --> 00:14:08.677]  I want to talk about Roe v. Wade.
[00:14:09.377 --> 00:14:11.178]  We know there was a mass shooting in Buffalo.
[00:14:11.979 --> 00:14:18.302]  We know that violence is going to start to break out across the world, as it has for many years, but now it's going to ramp up.
