[00:00:00.309 --> 00:00:04.113]  The COVID crisis was the beginning of the collapse of civilization by design.
[00:00:05.694 --> 00:00:14.903]  World IDs, carbon taxes, social credit scores, universal basic income, total neo-fascistic slavery.
[00:00:16.284 --> 00:00:29.053]   Here is the UN head Directing the, quote, social media, that's the panopticonic surveillance system, to censor anyone pointing out that they're overblowing monkeypox.
[00:00:29.093 --> 00:00:29.533]  Here it is.
[00:00:30.114 --> 00:00:35.939]  Stigma and discrimination can be as dangerous as any virus and can fuel the outbreak.
[00:00:37.443 --> 00:00:44.187]  As we have seen with COVID-19, misinformation and disinformation can spread rapidly online.
[00:00:44.947 --> 00:00:55.993]  So we call on all social media platforms, tech companies and news organizations to work with us to prevent and counter harmful information.
[00:00:57.253 --> 00:01:01.257]  They did this 32 months ago when they launched the last major phase of the takeover.
[00:01:02.239 --> 00:01:10.207]  So when you hear world famine worse than any time in history, Americans worse off at any time since the depression because of COVID.
[00:01:10.267 --> 00:01:14.232]  No, it's because of them launching the fear, them launching the poison shot.
[00:01:14.731 --> 00:01:17.090]  All of it shows the statistics are they're killing us.
[00:01:17.090 --> 00:01:26.331]  Rallying patriots worldwide in defense of human liberty.
[00:01:26.331 --> 00:01:28.611]  It's Alex Jones.
[00:01:28.611 --> 00:01:31.611]  [music playing]
[00:01:31.611 --> 00:01:33.171]  [MUSIC PLAYING]
[00:01:32.931 --> 00:01:41.520]  After being deleted by YouTube and social media in 2018, most people did nothing to defend Alex Jones or InfoWars.
[00:01:42.120 --> 00:01:49.247]  Instead, they obediently learned the new rules and rationalized their submission as a necessary evil.
[00:01:50.048 --> 00:01:53.191]  As a result, things have only gotten worse for everyone.
[00:01:53.691 --> 00:01:56.894]  And without any recourse, they are about to get much worse.
[00:01:57.815 --> 00:02:03.118]  Alex Jones is now patient zero for America's new de facto justice system.
[00:02:03.738 --> 00:02:07.760]  Brought to you by the fear, complacency, and inaction of the people.
[00:02:08.200 --> 00:02:12.102]  Because we take it, here's how we can all expect to now be treated.
[00:02:13.042 --> 00:02:29.328]  Even though Jones never mentioned their name and the parents never sought a retraction, Alex Jones is being sued for defamation and intentional infliction of emotional distress by parents of children who were murdered at Sandy Hook Elementary School.
[00:02:29.868 --> 00:02:38.711]  The rest of the plaintiffs are federal agents and the legal team is comprised of highly politicized members of the anti-gun lobby.
[00:02:39.051 --> 00:02:42.835]  Who have admitted their intention is to silence Alex Jones.
[00:02:43.636 --> 00:02:55.529]  So with this new precedent, if you dare question the official narrative, say for example, the school shooting in Uvalde, Texas, then someone can sue you into oblivion for emotional distress.
[00:02:56.109 --> 00:02:57.131]  But it only gets worse.
[00:02:57.791 --> 00:03:06.495]  The plaintiffs claim that Alex Jones was the perpetrator of the Sandy Hook Crisis Actor Conspiracy Theory, which is demonstrably false.
[00:03:06.995 --> 00:03:19.361]  After all the censorship and deleted videos, one can still find hours and hours of video content compiled from hundreds of sources, all questioning the official narrative of Sandy Hook.
[00:03:20.221 --> 00:03:25.243]  It was arguably the most discussed conspiracy theory since 9-11.
[00:03:25.903 --> 00:03:31.444]  And over the course of seven years, Alex Jones spent less than 30 minutes discussing it.
[00:03:32.005 --> 00:03:34.966]  We know this because it's all part of the public record.
[00:03:35.326 --> 00:03:38.547]  But these radical judges do not care about evidence.
[00:03:38.847 --> 00:03:42.328]  I am not currently representing Alex Jones, so I am free to speak my mind.
[00:03:43.849 --> 00:03:51.015]  They're already, apparently I've heard, that the plaintiff's lawyers are complaining about me speaking out about the case.
[00:03:51.175 --> 00:03:53.758]  That's how corrupt these plaintiff's lawyers are.
[00:03:53.838 --> 00:04:00.824]  They're political hacks standing on the bodies of dead kids to line their pockets and take away other people's political rights.
[00:04:01.144 --> 00:04:03.146]  And I find it disgusting what they've done.
[00:04:03.166 --> 00:04:08.411]   And so, but in this particular context, Jones has produced more discovery than anybody.
[00:04:08.631 --> 00:04:12.435]  I can't find anyone that produced more discovery than he is, and yet they pretended that he didn't.
[00:04:12.755 --> 00:04:13.116]  Why?
[00:04:13.796 --> 00:04:16.499]  Because they built their whole case on a big lie.
[00:04:16.859 --> 00:04:27.109]  Both Judge Gamble in Texas and Judge Bellis in Connecticut have found Alex Jones guilty without ever holding a trial or hearing any evidence.
[00:04:27.529 --> 00:04:34.416]  Which is worse treatment than anyone has ever gotten in America, including Charles Manson and Al Capone.
