[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[00:00:06.572 --> 00:00:14.875]  The Doomsday Clock has been set to 90 seconds to midnight, the closest it has ever been to global annihilation of the planet.
[00:00:16.616 --> 00:00:27.661]  The members of the Science and Security Board moved the hands of the Doomsday Clock forward, largely, though not exclusively, because of the mounting dangers in the war in Ukraine.
[00:00:28.766 --> 00:00:33.227]  We move the clock forward the closest it has ever been to midnight.
[00:00:34.387 --> 00:00:39.148]  It is now 90 seconds to midnight.
[00:00:40.889 --> 00:00:45.229]  Rallying patriots worldwide in defense of human liberty.
[00:00:45.088 --> 00:00:52.088]   treats worldwide in defense of human liberty. It's Alex Jones.
[00:00:52.088 --> 00:00:59.088]  A new world order. A new world order. A new world order.
[00:00:59.088 --> 00:01:03.683]   order a new world order A new world order.
[00:01:04.564 --> 00:01:05.844]  A new world order.
[00:01:06.024 --> 00:01:08.065]  To forge a new world order.
[00:01:08.305 --> 00:01:13.747]  Defense Secretary Dick Cheney has approved a revised draft of a policy document on the new world order.
[00:01:13.847 --> 00:01:21.030]  So we have countries that are respecting the rules and we have countries that are respecting their national interests going beyond the rules.
[00:01:21.550 --> 00:01:33.156]   And that is what is happening and we have to take into consideration Here at WEF I believe we're discussing, there's a lot of discussion about what the new world order will be.
[00:01:33.656 --> 00:01:43.861]  I believe perhaps we are at the moment in such a hyper-partisan, hyper-polarized time, that we're not going to be able to form that new Helsinki.
[00:01:44.922 --> 00:01:55.007]  Today, I hope this time around, once we're building this new world order, or new rules-based order, the voice of the Global South and the developing world is included.
[00:01:55.447 --> 00:02:05.854]  After Mr. Musk took over Twitter with his freedom of speech absolutism, we are the protectors of freedom of speech as well.
[00:02:06.655 --> 00:02:12.659]  But at the same time we cannot accept, for instance, the illegal content online and so on.
[00:02:12.699 --> 00:02:14.700]  So our message was clear.
[00:02:14.860 --> 00:02:20.844]  We have the rules which have to be complied with and otherwise there will be sanctions.
[00:02:21.024 --> 00:02:21.864]  They're in panic mode.
[00:02:21.904 --> 00:02:25.206]  The reason the globalists are scared is because you did your due diligence.
[00:02:25.246 --> 00:02:25.926]  You did the work.
[00:02:25.966 --> 00:02:26.667]  You spread the word.
[00:02:26.707 --> 00:02:27.547]  You planted the seeds.
[00:02:27.907 --> 00:02:28.668]  You got ridiculed.
[00:02:28.708 --> 00:02:29.388]  You got censored.
[00:02:29.408 --> 00:02:30.048]  You got attacked.
[00:02:30.949 --> 00:02:33.990]  And so now we're in a real fight with the global controllers.
[00:02:34.070 --> 00:02:34.390]  All right.
[00:02:35.071 --> 00:02:36.171]  I mean, we got their attention.
[00:02:36.251 --> 00:02:38.432]  We are beating the hell out of them.
[00:02:38.472 --> 00:02:44.855]  We're politically nonviolently breaking their ribs, gouging out their eyeballs, pulling out their teeth, slamming their head to concrete.
[00:02:44.935 --> 00:02:45.215]  OK.
[00:02:45.696 --> 00:02:46.716]  And we come to Psalm 2.
[00:02:47.616 --> 00:02:48.337]  Let's look at it.
[00:02:50.373 --> 00:02:57.156]  The verse says, Why are the nations in an uproar, and the peoples devising a vain thing?
[00:02:58.536 --> 00:03:14.503]  The kings of the earth take their stand, and the rulers take counsel together, against the Lord and against His anointed, saying, Let us tear their fetters apart and cast their cords from us.
[00:03:15.779 --> 00:03:22.182]  You know, when I read that, I said, you know, here's the description of the World Economic Forum going on right now.
[00:03:23.543 --> 00:03:27.445]  Now, the problem is, they got bioweapons labs everywhere.
[00:03:27.705 --> 00:03:39.771]  They got nuclear weapons, they got armies of scum that work for them, pedophiles, devil worshippers, degenerates, and they're really thinking about turning it all loose and causing a giant global civil war and a collapse.
[00:03:39.831 --> 00:03:42.513]  The good news is, they were going to do that regardless.
[00:03:43.013 --> 00:03:46.596]  Now we're going to force them to do it on our terms and we're going to win.
[00:03:46.836 --> 00:03:50.619]  But I can offer you nothing but hell in the next 10 years.
[00:03:50.979 --> 00:03:53.401]  Nothing but absolute hell.
[00:03:53.881 --> 00:03:57.324]  So you're not in your bed sucking your thumbs when these people hit.
[00:03:58.264 --> 00:04:04.046]   Because if you think getting in a catatonic position like a baby And curling up in a ball's gonna protect you.
[00:04:04.266 --> 00:04:05.647]  I got news for you, N.A.
[00:04:06.127 --> 00:04:09.629]  These people are devil-worshipping pedophiles.
[00:04:10.049 --> 00:04:17.533]  And they've got their operatives everywhere who are spiritually ignited and spiritually energized against us.
[00:04:17.953 --> 00:04:26.218]  And they're in the banks, they're in the police departments, they're in the law firms, they're in the universities, they're in the schools, they're in the... they're everywhere.
[00:04:26.838 --> 00:04:35.328]  Because when you have this type of consolidation, apostasy is much easier when people band together.
[00:04:36.184 --> 00:04:40.946]  The whole Tower of Babel episode needs to be understood in the light of Genesis 3.15.
