[00:00:04.622 --> 00:00:08.035]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:00:08.396 --> 00:00:09.480]  Same exact drug!
[00:00:10.734 --> 00:00:12.674]  Made by the same exact company.
[00:00:12.974 --> 00:00:17.756]  The system is breaking down under Joe Biden's powder keg of corruption.
[00:00:17.816 --> 00:00:24.917]  What we learned by bringing in Hunter Biden's business partner is that the President Biden had lied to the American public.
[00:00:25.457 --> 00:00:29.858]  He got on conference calls when his son was selling the brand with his clients.
[00:00:30.198 --> 00:00:32.579]  He literally went to dinners, which we never knew.
[00:00:32.879 --> 00:00:37.620]  And after the dinners, his son got a Porsche and then more than $3 million.
[00:00:38.880 --> 00:00:42.805]  Now I know CNN didn't want to do fact checks on everything that I laid out.
[00:00:42.865 --> 00:00:47.571]  What was interesting was the headline, but more interesting in the facts checks, it was all true.
[00:00:48.272 --> 00:00:56.601]   They had to acknowledge that every alleged accusation that put us into impeachment inquiry It's true.
[00:00:56.922 --> 00:01:16.180]  Across the United States Soros puppets and power whores are opting to violate their constitutional oaths to suspend the Bill of Rights in favor of feverishly clawing for the power and funds stirred up by emergency declarations rather than finding real solutions for their constituents.
[00:01:16.420 --> 00:01:19.581]  This public health order has also sparked three lawsuits.
[00:01:19.821 --> 00:01:32.186]  Whether it's the governor, whether it's somebody in our legislature, does not have the authority to impinge on your rights given under the United States Constitution.
[00:01:32.426 --> 00:01:39.389]  In Oakland, California, Mayor Shang Tao is threatening to use an emergency declaration to install a new police chief.
[00:01:39.629 --> 00:01:46.792]  And in Vista, California, Mayor Joe Franklin is considering declaring an emergency over the homeless situation.
[00:01:46.892 --> 00:02:01.319]  While the Soros Foundation retreats from Europe, and more than a dozen prosecutors linked to Soros-funded campaign committees or organizations in the United States have left office after resigning, either losing re-election or being removed.
[00:02:01.719 --> 00:02:09.341]  Hunter Biden is indicted by a special counsel on felony gun charges, and the COVID rollout stumbles to roll down the tracks.
[00:02:09.641 --> 00:02:13.442]  Tell everybody, don't rely on the fact that you had a vaccine in the past.
[00:02:13.822 --> 00:02:15.583]  It will not help you this time around.
[00:02:15.763 --> 00:02:24.325]  Joe Biden and his unscrupulous, failing regime gaslight the country into a propagandized hellscape out of sheer panic.
[00:02:24.625 --> 00:02:30.851]  How confident are you that there will be no evidence that incriminates President Biden in Hunter's business dealings as this goes forward?
[00:02:30.891 --> 00:02:33.773]  So you see Republicans in Congress, right?
[00:02:33.853 --> 00:02:36.976]  They have spent all year investigating the President.
[00:02:37.096 --> 00:02:38.718]  That's what they've spent all year doing.
[00:02:39.358 --> 00:02:41.841]  And have turned up with no evidence.
[00:02:42.361 --> 00:02:42.581]  None.
[00:02:42.821 --> 00:02:54.066]  There is a new CNN poll that shows, if we could put that up, 61% of the American people think that Biden had at least some involvement in Hunter Biden's business dealings while he served as vice president.
[00:02:54.166 --> 00:02:54.326]  Right.
[00:02:54.866 --> 00:02:58.208]  We know that, you know, he was on a phone one time, or he had dinner one time.
[00:02:58.488 --> 00:03:00.509]  And what Republicans have done is to say, see, there's the evidence.
[00:03:00.549 --> 00:03:03.990]  He was in the room, he was at dinner, he was on the phone, he spoke to his son.
[00:03:04.310 --> 00:03:07.291]  But there has been no evidence at all, zero.
[00:03:07.390 --> 00:03:11.070]   Why was the president at those meetings on those phone calls?
[00:03:11.070 --> 00:03:12.590]  -He calls his son every day to check in.
[00:03:12.590 --> 00:03:15.710]   He calls his other family members to check in to see how they're doing.
[00:03:15.710 --> 00:03:18.191]  He loves them. They're a tight-knit family.
[00:03:18.191 --> 00:03:19.829]  -This isn't about political revenge.
[00:03:19.829 --> 00:03:20.989]  We have the bank accounts.
[00:03:20.989 --> 00:03:26.990]   We can see -- man, you can see that the homes that the Bidens own can't be afforded
[00:03:26.990 --> 00:03:29.590]  on a congressional or Senate salary.
[00:03:29.576 --> 00:03:36.177]  You also understand that it's not normal for family members to receive millions of dollars from overseas interests.
[00:03:36.457 --> 00:03:37.517]  Those things aren't normal.
