[00:00:03.001 --> 00:00:03.581]  We're live.
[00:00:04.642 --> 00:00:05.783]  It's Sunday, July 7th, 2024.
[00:00:05.823 --> 00:00:09.206]  Huge developments here and across the planet.
[00:00:09.666 --> 00:00:10.127]  Stay with us.
[00:00:10.187 --> 00:00:11.628]  Tell everybody you know, tune in now.
[00:00:11.928 --> 00:00:12.749]  You are the resistance.
[00:00:15.151 --> 00:00:15.871]  InfoWars.
[00:00:16.252 --> 00:00:17.833]  Tomorrow's news, today.
[00:00:17.853 --> 00:00:22.056]  I think Mr. Nixon is an effective leader of his party.
[00:00:22.637 --> 00:00:24.118]  I hope he would grant me the same.
[00:00:24.138 --> 00:00:29.322]  The question before us is, which point of view and which party do we want to leave the United States?
[00:00:31.022 --> 00:00:33.605]  Mr. Nixon, would you like to comment on that statement?
[00:00:34.966 --> 00:00:35.647]  Who am I?
[00:00:36.768 --> 00:00:37.689]  Why am I here?
[00:00:38.850 --> 00:00:42.754]  There is no question that this nation cannot stand still.
[00:00:43.715 --> 00:00:45.757]  Because we are in a deadly competition.
[00:00:46.337 --> 00:00:49.857]   A competition not only with the men in the Kremlin, but the men in Peking.
[00:00:49.857 --> 00:00:54.856]  [Music]
[00:00:54.856 --> 00:01:00.856]  The answer to 1984 is 1776!
[00:01:00.856 --> 00:01:15.356]  [Music]
[00:01:15.356 --> 00:01:19.358]  Because if this republic falls, the entire world falls.
[00:01:19.358 --> 00:01:23.358]   You're ahead in this competition, Senator Kennedy, I think it's implied.
[00:01:23.358 --> 00:01:26.358]  But when you're in a race, the only way to win is to win.
[00:01:25.874 --> 00:01:28.255]  The only way to stay ahead is to move ahead.
[00:01:28.335 --> 00:01:30.636]  First of all, Rand Paul shouldn't even be on this stage.
[00:01:30.656 --> 00:01:34.717]  Governor Reagan again, typically, is against such a proposal.
[00:01:34.737 --> 00:01:38.278]  Governor, there you go again.
[00:01:38.298 --> 00:01:46.260]  I am not sitting in the United States Senate with, by the way, the worst voting record there is today.
[00:01:46.560 --> 00:01:49.862]  You know, I wasn't going to say this at all, but I can't help it.
[00:01:49.962 --> 00:01:50.922]  There you go again.
[00:01:53.331 --> 00:02:01.820]  Your brother and your brother's administration gave us Barack Obama because it was such a disaster those last three months that Abraham Lincoln couldn't have been elected.
[00:02:02.261 --> 00:02:05.324]  Mr. Green, could you turn on my computer for me?
[00:02:05.183 --> 00:02:09.183]  I am paying for this microphone, Mr. President.
[00:02:09.183 --> 00:02:27.183]   It's just awfully good that someone with the temperament of Donald Trump is not in charge of the law in our country.
[00:02:27.718 --> 00:02:28.699]  Because you'd be in jail.
[00:02:28.999 --> 00:02:29.700]  Secretary Clinton!
[00:02:30.681 --> 00:02:33.764]  I will not make age an issue of this campaign.
