[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[00:00:05.190 --> 00:00:07.250]  I am your host this evening, Chase Geyser.
[00:00:07.349 --> 00:00:12.470]  But just in five minutes from this very moment, we are going to hear an outstanding interview between Dr.
[00:00:12.650 --> 00:00:14.189]  Drew and Alex Jones.
[00:00:15.390 --> 00:00:17.449]  It's going to play for about an hour, then we're going to cover the news.
[00:00:18.030 --> 00:00:23.010]  Groundbreaking news for a couple of hours, and then a final hour of the broadcast tonight between 7 p.m.
[00:00:23.230 --> 00:00:24.550]  Central Time and 8 p.m.
[00:00:24.809 --> 00:00:29.149]  Central Time. We will be taking your calls, so please keep your phones nearby.
[00:00:29.710 --> 00:00:37.850]  Apparently, a third Trump assassination attempt was thwarted when armed man arrested outside Coachella Rally, Sheriff says.
[00:00:37.850 --> 00:00:40.530]  This was a story that broke on the New York Post.
[00:00:40.710 --> 00:00:44.070]  Drew Hernandez did a great job of breaking this on Twitter as well.
[00:00:45.210 --> 00:00:47.329]  Which is where it first came to our attention.
[00:00:47.969 --> 00:00:52.229]  Now, the only thing that bothers me about this headline, of course, is that I think this was actually the fourth attempt.
[00:00:52.469 --> 00:00:56.390]  At least the fourth attempt, because everyone seems to forget about what happened in Tucson.
[00:00:57.490 --> 00:01:13.329]  With the rally where 20 people had to seek medical care sitting right behind Trump on stage for what appeared to be some sort of a chemical attack or a laser attack, basically blinding several of them, some of them severely, some of them even perhaps permanently.
[00:01:13.569 --> 00:01:22.150]  Trump, fortunately, was not affected, but it does seem like there was some sort of specific attempt to harm the president at the Tucson rally, which I think counted as the third.
[00:01:23.329 --> 00:01:29.290]  But now we have this fourth attempt, or what the officials are going to refer to as the third attempt, outside of Coachella.
[00:01:29.450 --> 00:01:40.049]  I'm told, based on some of the reports that I see, we're waiting for more details to come in, as the story, of course, just broke today, that this person had a high-capacity magazine, which, of course, would be illegal in the state of California.
[00:01:40.049 --> 00:01:42.150]  I lived in California for several years.
[00:01:42.609 --> 00:01:44.609]  Unfortunately, it was a dark time in my life.
[00:01:44.790 --> 00:01:52.310]  And I specifically remember having to abandon my high-capacity, high-capacity magazines for my Glock 19.
[00:01:53.530 --> 00:01:56.709]  And get 10 round magazines because that was the law at the time.
[00:01:56.790 --> 00:02:00.790]  I'm not sure if the law has changed or if the Supreme Court has successfully overturned that.
[00:02:00.829 --> 00:02:05.150]  There were cases that were going up to the Supreme Court when I lived there and then you'd hear one thing one week and another thing another week.
[00:02:05.209 --> 00:02:07.189]  So I'm not sure what the law is today.
[00:02:07.489 --> 00:02:18.550]  But I will say that a high capacity magazine is not something that one may come by very often in California regardless of what the law is today because of what the law has been for so many years up until this point.
[00:02:19.750 --> 00:02:47.259]  And it seems like between the Ryan Rouths And the Thomas Crookses and the Lee Harvey Oswalds and others, and this gentleman right here, I assume gentlemen, that there is an MKUltra psychological operation being conducted right before our eyes where the deep state hopes that they can trigger any number of random lunatics throughout the United States of America to behave in a reckless and violent way toward former President Donald Trump.
[00:02:48.020 --> 00:02:49.680]  Fortunately, his security has ramped up.
[00:02:49.759 --> 00:02:51.639]  He seems to be taking his security very seriously.
[00:02:51.900 --> 00:02:54.520]  He's doing things like podcast interviews.
[00:02:54.680 --> 00:03:16.030]  Of course, he's still doing his rallies, but it's amazing to see what's happening right now as the deep state becomes more and more increasingly desperate for As it becomes more and more obvious that Donald Trump is winning this election, I mean, we've gotten to a point where he's doing rallies in deep blue states because he's got the swing states in the bag.
[00:03:16.169 --> 00:03:18.169]  He's got all of the other states in the bag.
[00:03:18.289 --> 00:03:25.530]  Now he's just campaigning in the deep blue areas to try to win that popular vote so they can't argue that he didn't win the popular vote even when he wins the Electoral College.
[00:03:25.710 --> 00:03:28.389]  This is absolutely amazing to see.
[00:03:29.250 --> 00:03:34.129]  And we know that they're getting desperate because they tried so hard to keep Kamala Harris out of the media.
[00:03:35.319 --> 00:03:36.439]  For months and months and months.
[00:03:36.539 --> 00:03:37.719]  And she was criticized.
[00:03:37.819 --> 00:03:39.740]  Her campaign was criticized as if they were trying to hide her.
[00:03:39.800 --> 00:03:41.819]  Of course, we understand why they were trying to hide her.
[00:03:41.960 --> 00:03:45.639]  Because we saw the interview on CNN and how terrible that was.
[00:03:45.740 --> 00:03:47.560]  And then on The View and how terrible that was.
[00:03:47.680 --> 00:03:50.620]  And then on the Call Me Daddy and how terrible that was.
[00:03:50.699 --> 00:03:54.840]  She is abundantly awful when she does these interviews on the fly.
[00:03:55.280 --> 00:03:57.759]  Embarrassingly so. The 60 Minutes thing was like the nail in the coffin.
[00:03:57.860 --> 00:03:59.719]  It's one of the worst interviews I've ever seen in my entire life.
[00:04:00.000 --> 00:04:02.979]  Adolf Hitler could have pulled that interview off better than Kamala Harris.
[00:04:03.990 --> 00:04:05.189]  Unbelievable, right?
[00:04:07.469 --> 00:04:08.949]  But we see that it's a Hail Mary.
[00:04:09.710 --> 00:04:18.930]  Given that she is so bad and nothing else is working, the only thing they can possibly try is to put her in front of as many Americans as possible in these interviews.
[00:04:19.029 --> 00:04:21.850]  That's why she's doing all these appearances despite how awful they are.
[00:04:21.930 --> 00:04:27.089]  This is a Hail Mary attempt to claw at any support that she possibly can in the face of victory.
[00:04:27.230 --> 00:04:29.430]  Stay tuned for Alex Jones and Dr.
[00:04:29.529 --> 00:04:31.209]  Drew on the other side of this one-minute break.
[00:04:37.509 --> 00:04:43.050]  A lot of excitement today. We are joined by Alex Jones, of course, the host of InfoWars.
