# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[00:00:17.519 --> 00:00:24.868]  And tomorrow, and tomorrow, and tomorrow, and tomorrow, and tomorrow.
[00:00:24.879 --> 00:00:33.840]  Through the annals of time, beneath the clashing swords and roaring cannons, there waged another war, unseen yet all-encompassing.
[00:00:34.160 --> 00:00:35.359]  The info war.
[00:00:35.920 --> 00:00:43.359]  From the whispered conspiracies of ancient courts, to the fiery confirmations of revolutions, it was there.
[00:00:44.880 --> 00:00:48.960]  When the flames of heresy consumed the thinkers of old, it was there.
[00:00:50.800 --> 00:00:58.399]  When tyrants rose on the lies of propaganda and empires crumbled beneath the truth they couldn't silence, it was there.
[00:00:59.520 --> 00:01:02.960]  The infant war marched alongside the armies of men.
[00:01:03.600 --> 00:01:06.239]  The battle was not just for land or power.
[00:01:06.560 --> 00:01:14.719]  But these colonies and of a righteous to be free and independent states.
[00:01:15.280 --> 00:01:19.280]  For the hearts and minds and souls of those caught in its wake.
[00:01:19.920 --> 00:01:22.480]  More now than ever, the war rages on.
[00:01:22.799 --> 00:01:27.120]  Nations crumble, ideologies clash, and voices rise in defiance.
[00:01:27.519 --> 00:01:31.600]  The battlefield of the InfoWar is everywhere, and everyone is a soldier.
[00:01:31.920 --> 00:01:33.359]  Truce is your weapon.
[00:01:33.680 --> 00:01:39.519]  Through every conflict, every uprising, and every moment of human struggle, the InfoWar was always there.
[00:01:40.079 --> 00:01:41.920]  Which side are you on?
[00:01:42.240 --> 00:01:44.079]  This is the fight for humanity.
[00:01:44.400 --> 00:01:46.319]  This is InfoWars.
[00:01:46.319 --> 00:01:55.588]  InfoWars.
[00:01:55.600 --> 00:02:00.640]  The answer to 1984 is 1776.
[00:02:01.200 --> 00:02:03.859]  You're listening to The Alex Jones Show.
[00:02:03.859 --> 00:02:18.080]  Music Thank you for joining us on this live Saturday, June 28th, 2025 transmission.
