[00:00:19.511 --> 00:00:20.192]  I'm Ed Griffin.
[00:00:20.492 --> 00:00:20.993]  I'm a writer.
[00:00:21.013 --> 00:00:24.337]  I write controversial works.
[00:00:24.877 --> 00:00:26.319]  I think they're very important works.
[00:00:27.080 --> 00:00:32.306]  I deal with such topics as banking history, health issues,
[00:00:34.628 --> 00:00:35.788]  United Nations, U.S.
[00:00:35.829 --> 00:00:40.330]  foreign policy, kind of topics where people get all heated up because they have strong opinions.
[00:00:40.990 --> 00:00:46.532]  But I consider myself to be a researcher and I try to be a historian as best I can.
[00:00:47.373 --> 00:00:50.094]  So I deal with facts, mostly, not in opinions.
[00:00:51.638 --> 00:00:53.299]  I've been doing this most of my adult life.
[00:00:53.839 --> 00:01:02.821]  I started becoming interested in issues of this nature in 1959, and by 1960 I was really revved up to it.
[00:01:02.921 --> 00:01:11.163]  I left my employment with a large insurance company and went in full time in doing writing and speaking on these topics.
[00:01:12.182 --> 00:01:21.875]  The growth of the Tea Party movement and the left-right paradigm, they're all sort of intertwined, and yet there are very separate intellectual threads that need to be followed in all of that.
[00:01:22.495 --> 00:01:27.602]  I think, first of all, it's important to talk about and understand this left-right paradigm.
[00:01:27.642 --> 00:01:28.723]  What is this all about?
[00:01:30.444 --> 00:01:44.188]  Most of us, including myself for certain, in my younger years, I was brought up thinking that you had to choose, if you were smart at least, you would have to choose politically between being on the right or the left.
[00:01:44.228 --> 00:01:57.531]  You had to have a political view, and I thought that in those days, I thought that the extreme right would be something like fascism or Nazism, and on the extreme left, of course, you would have communism.
[00:01:58.320 --> 00:02:00.121]  Socialism just a little bit short of that.
[00:02:00.681 --> 00:02:04.882]  So that was the paradigm that I was taught and it seemed to make sense at the time.
[00:02:05.683 --> 00:02:24.529]  But as I became more involved in these issues and learned more about them, I began to realize that the basic philosophy between the so-called extreme left people and communists and socialists and the so-called philosophy on the right of the fascists and the Nazis was really the same.
[00:02:25.834 --> 00:02:26.554]  How can this be?
[00:02:26.614 --> 00:02:28.436]  They're supposed to be opposites of each other.
[00:02:28.456 --> 00:02:37.401]  And then I began to realize that there is something more common to all of these philosophies that was left out of my training and education.
[00:02:38.001 --> 00:02:40.283]  And that was the ideology of collectivism.
[00:02:40.303 --> 00:02:44.946]  I began to realize that the thing that was common to them all is something called collectivism.
[00:02:44.966 --> 00:02:46.186]  And that's a word that
[00:02:47.478 --> 00:02:48.619]  It's not very well used.
[00:02:48.699 --> 00:02:53.544]  It's not very entrenched in the vocabulary of most people today.
[00:02:53.984 --> 00:02:57.927]  But I found out that it was a very commonly used word about a century ago.
[00:02:58.528 --> 00:03:02.772]  People wrote a lot about collectivism, and the opposite of that would be individualism.
[00:03:02.812 --> 00:03:11.340]  Those are two words that are sort of abandoned today, but in my view, I think they need to be recaptured and understood and used more.
[00:03:13.629 --> 00:03:20.493]  And I realize that communism and fascism, the so-called opposites, are merely variants of collectivism.
[00:03:21.074 --> 00:03:21.874]  They're the same thing.
[00:03:21.894 --> 00:03:30.760]  And they believe that the group is more important than the individual, for example, and the individual must be sacrificed, if necessary, for the greater good of the greater number.
[00:03:31.420 --> 00:03:39.262]  They believe that the state should be all-powerful and that the people should obey the state for the greater good of the greater number and all of that sort of thing.
[00:03:40.543 --> 00:03:43.584]  They believe that rights are granted by the state.
[00:03:43.844 --> 00:03:46.785]  They're not part of the human being.
[00:03:47.765 --> 00:03:48.666]  They're not God-given.
[00:03:48.686 --> 00:03:51.328]  They're not entrenched in his body and soul.
[00:03:51.368 --> 00:03:52.969]  They have to be granted by the state.
[00:03:53.290 --> 00:03:59.475]  All of these things, and you look at them one by one, communists and fascists and Nazis and socialists, they all believe that.
[00:03:59.995 --> 00:04:02.017]  So wherein lies the conflict, you see?
[00:04:02.037 --> 00:04:03.338]  And I began to question that.
[00:04:03.938 --> 00:04:05.619]  And I realized that it's partly a trick.
[00:04:06.480 --> 00:04:19.866]  In fact, I think it's a huge trick, it's a great scam, because people even today are thinking that they have to choose between the right or the left, not realizing that no matter which way they go, they've accepted basically the same ideology underneath.
[00:04:20.526 --> 00:04:32.252]  Now it's true that the leaders of these groups, like the Stalins of the world, and the Adolf Hitlers of the world, and the Mao Tse Tung's of the world, and so forth, the leaders of these groups on left and right, will fight each other.
[00:04:32.992 --> 00:04:38.897]  And they will go to war with each other, and there will be tremendous battles, as we saw in World War II, for example.
[00:04:40.138 --> 00:04:41.218]  But what are they fighting over?
[00:04:41.319 --> 00:04:41.899]  Ideology?
[00:04:42.139 --> 00:04:42.660]  Not at all!
[00:04:43.180 --> 00:04:44.681]  Because they agree on ideology.
[00:04:45.101 --> 00:04:47.463]  What they're fighting over is dominance.
[00:04:48.004 --> 00:04:49.585]  Who is going to rule?
[00:04:49.945 --> 00:04:50.966]  That's all they're fighting over.
[00:04:51.486 --> 00:05:01.074]  And once you get that picture, historically, it's not too difficult to see that that's the same thing going on even today, as certainly going on in American politics.
[00:05:01.634 --> 00:05:10.376]  We have the left versus the right sort of embodied today in the Republican Party supposedly on the right and the Democrat Party supposedly on the left.
