[00:00:18.376 --> 00:00:18.922]  We're good.
[00:00:57.702 --> 00:01:05.490]  It is Wednesday, August 10, 2011, and you're watching an InfoWars.com breaking news alert.
[00:01:06.291 --> 00:01:13.359]  Coming up later in the broadcast, we're going to be talking to Max Keiser about the 520-point drop in the U.S.
[00:01:13.399 --> 00:01:18.625]  stock market and the plunging stock of mega-zombie bank, Bank of America.
[00:01:19.045 --> 00:01:35.469]  Paul Joseph Watson will also be joining us live via Skype from the United Kingdom to give us the latest on the ongoing riots now entering their fifth day as Parliament prepares to meet to deal with the reported emergency.
[00:01:36.069 --> 00:01:42.891]  We also will get into the fact that it's been confirmed now that the police were ordered to stand down.
[00:01:43.931 --> 00:01:45.572]  But first, I want to get into the economy.
[00:01:46.332 --> 00:01:55.977]  The Federal Reserve, of course, yesterday announced that they're going to continue, at least for the next two years, to have zero percent interest rates for the megabanks, not for the general public.
[00:01:56.377 --> 00:02:01.799]  That, of course, will accelerate the devaluation of the dollar in the world's eyes.
[00:02:02.360 --> 00:02:07.642]  And so we saw a massive plunge in the dollar today before the Federal Reserve went in and propped it up.
[00:02:08.062 --> 00:02:10.884]  That did not stop the Dow Jones Industrial Average
[00:02:11.584 --> 00:02:15.687]  From dropping 520 points.
[00:02:16.608 --> 00:02:28.738]  The shockwaves were felt across the world and major banks in France and other EU nations are now reporting that they are teetering on the edge of collapse.
[00:02:29.299 --> 00:02:32.541]  Of course, all of this has been predicted.
[00:02:33.462 --> 00:02:40.248]  By myself and many others that have studied exactly what the large banking cartels are up to.
[00:02:40.869 --> 00:02:43.651]  Everything is going according to their plan.
[00:02:44.592 --> 00:02:50.778]  British government and US government actuaries put out in the last four years predicted that as austerity hit,
[00:02:51.158 --> 00:02:56.904]  There would be more and more rioting and social unrest, especially in the underclass or welfare class.
[00:02:57.345 --> 00:03:04.192]  The police in England have now confirmed to the BBC and others they were ordered to stand down last Sunday.
[00:03:04.792 --> 00:03:09.857]  And only now are they talking about stopping the looters and rioters who are not political.
[00:03:10.538 --> 00:03:12.678]  This is not a political revolution.
[00:03:12.738 --> 00:03:24.420]  You don't see them going up against the City of London within London, where the big mega banks are based, or storming the palaces and castles of the British Royals, who get tens of millions of dollars in welfare every year.
