[00:00:11.052 --> 00:00:14.796]  Hey guys, Rob Dew here from InfoWars Nightly News and I want to talk about solutions.
[00:00:15.296 --> 00:00:21.483]  One of the things we talk about a lot on InfoWars.com and in the documentaries and videos that we make here is that you are the solution.
[00:00:21.543 --> 00:00:22.964]  You have to be part of the solution.
[00:00:23.024 --> 00:00:26.208]  If you wait for others to do it, you're going to be waiting a long time.
[00:00:26.248 --> 00:00:30.152]  You need to stand up and become active and get involved in the game.
[00:00:30.712 --> 00:00:39.642]  One way to do that is by saying no, opting out, like with the TSA, or spending your dollars locally instead of at a big box chain.
[00:00:39.662 --> 00:00:41.164]  These are all ways that you can get involved.
[00:00:41.664 --> 00:00:45.308]  Well, now we have Obamacare, and this is a big medical tyranny thing.
[00:00:45.869 --> 00:00:49.233]  Here's just a little bit of what Alex Jones has to say about Obamacare earlier this year.
[00:00:49.910 --> 00:00:52.311]  Basically, it was a blank check to do whatever they want.
[00:00:52.631 --> 00:01:18.221]  Share all your data, NSA the medical records, federalize it, give it to all these corporate interests, kick people off their existing plans, kick people off that had pre-existing conditions, not cover children, lower the quality of care, double, triple, quadruple prices, shut down small health care divisions and providers, small insurance companies and HMOs, small clinic chains that help the poor.
[00:01:21.052 --> 00:01:23.573]  I come from a family of physicians and healthcare management.
[00:01:23.593 --> 00:01:24.634]  I mean, I know about this stuff.
[00:01:25.074 --> 00:01:26.235]  And I had doctors on.
[00:01:26.295 --> 00:01:27.836]  I had researchers on.
[00:01:28.096 --> 00:01:30.017]  The insurance companies bragged that they wrote it.
[00:01:30.297 --> 00:01:31.598]  They lobbied to get it passed.
[00:01:32.399 --> 00:01:34.000]  The Republican leadership helped write it.
[00:01:34.840 --> 00:01:37.982]  And I said, this is a bipartisan screwjob and it's really going to hurt people.
[00:01:38.362 --> 00:01:45.106]  So most of you watching this are going to agree that Obamacare is not a good thing, it was written by the insurance companies, and you know all the rest.
[00:01:45.886 --> 00:01:52.750]  But what I want to talk about are ways to get around Obamacare, especially the fees, because starting in 2015, the fees are going to get bigger.
[00:01:53.070 --> 00:01:55.151]  In fact, here's what it says on healthcare.gov.
[00:01:55.671 --> 00:02:03.576]  If you don't have coverage in 2015, you'll pay the higher of these two amounts, 2% of your yearly household income, or $325 per person for the year,
[00:02:06.297 --> 00:02:08.818]  The maximum penalty per family using this method is $975.
[00:02:09.698 --> 00:02:14.400]  So if you have a family of four, you're going to be paying close to $1,000 in fines for 2015.
[00:02:14.920 --> 00:02:16.721]  And it's only going to go up.
[00:02:17.101 --> 00:02:18.762]  You've seen the articles on InfoWars.
[00:02:18.982 --> 00:02:25.665]  We've read emails out from people of others out there who've seen their rates rise or have their plans cut.
[00:02:26.645 --> 00:02:27.905]  They've seen prices double.
[00:02:27.945 --> 00:02:32.467]  Some people are paying more for their health insurance than their mortgage on their house.
[00:02:32.787 --> 00:02:33.968]  But you remember what Obama said.
[00:02:34.608 --> 00:02:39.489]  If you've got health care already, then you can keep your plan if you are satisfied with it.
[00:02:39.629 --> 00:02:41.470]  If you like the plan you have, you can keep it.
[00:02:41.830 --> 00:02:43.250]  I intend to keep this promise.
[00:02:43.430 --> 00:02:46.951]  If you like your health care plan, you'll be able to keep your health care plan.
[00:02:46.971 --> 00:02:49.792]  If you like your plan and your doctor, you can keep them.
[00:02:49.892 --> 00:02:51.552]  You'll be able to keep your health care plan.
[00:02:51.832 --> 00:02:54.393]  If you like your plan, you keep your plan.
[00:02:54.413 --> 00:02:58.594]  If you like your doctor, you like your plan, you can keep your doctor, you can keep your plan.
[00:02:58.614 --> 00:03:01.715]  If you like your current insurance, you keep that insurance.
[00:03:02.495 --> 00:03:03.015]  Period.
[00:03:03.375 --> 00:03:04.015]  So what do you do?
[00:03:04.376 --> 00:03:04.956]  Where do you go?
[00:03:05.496 --> 00:03:12.618]  Is there an alternative to this skyrocketing insurance where it's got super high premiums and deductibles that have been calculated never to be reached?
[00:03:13.218 --> 00:03:18.880]  But before we get to these solutions, let's just look at one instance here of insurance companies and their disreputable dealings.
