[00:00:00.888 --> 00:00:06.372]  Alex Jones here on this Friday night with some incredibly positive and good news.
[00:00:07.032 --> 00:00:26.746]  General Mark Milley, the Chairman of the Joint Chiefs of Staff, the head of the Pentagon, the most senior military officer in the United States, issued a public letter we now learn about five days ago to Congress saying the military will not take part in a military coup removing President Trump if there is a contested election.
[00:00:27.407 --> 00:00:28.888]  Now why is this so important?
[00:00:29.468 --> 00:00:30.229]  It's unprecedented.
[00:00:31.454 --> 00:00:40.170]   Atlantic Monthly and other globalist publications a year ago started talking about Canvassing top military officers about removing Trump in a military coup.
[00:00:40.910 --> 00:00:42.131]  Now, why would they say that publicly?
[00:00:42.151 --> 00:00:55.274]  Because they're normalizing it and testing the waters so people think that that's something that's okay to do when it's absolutely criminal and called high treason against the election of Donald Trump or any other duly elected president.
[00:00:55.974 --> 00:01:01.576]  Then we saw Nancy Pelosi and Maxine Waters and Eric Holder, the former Attorney General, and Joe Biden.
[00:01:02.708 --> 00:01:05.649]  All of them talk about, we will escort him from the White House.
[00:01:05.729 --> 00:01:06.809]  And I'm very proud of Infowars.
[00:01:06.829 --> 00:01:09.090]  We were the first to point this out over a year ago.
[00:01:09.390 --> 00:01:11.671]  We were the first to beat the drum, make a big issue about it.
[00:01:12.111 --> 00:01:19.753]  A few months ago, Milley was kind of making cryptic comments about Trump and how he shouldn't be seen with him in public, marching over to the church that was burned.
[00:01:20.233 --> 00:01:22.694]  And other top generals were making anti-Trump statements.
[00:01:23.474 --> 00:01:26.795]  And we saw that as a nod to the deep state against the president.
[00:01:26.895 --> 00:01:30.394]   And so did high-level CIA contacts and others that we have.
[00:01:30.394 --> 00:01:31.074]  They agreed.
[00:01:31.074 --> 00:01:34.335]   But now, because it's clear that Trump's going to win in a landslide.
[00:01:34.335 --> 00:01:37.115]  Now that the riots, the deep state of engineering have backfired.
[00:01:37.115 --> 00:01:40.474]   Now that attempts by Soros to plunge the dollar have failed so far.
[00:01:40.474 --> 00:01:45.114]   65 days out from the election, things are really solidifying behind Trump.
[00:01:45.114 --> 00:01:48.795]   I told you Trump was going to win before anybody else did five, six years ago.
[00:01:48.795 --> 00:01:51.115]  Right before he, you know, he even announced that.
[00:01:51.168 --> 00:01:51.988]  I said, it'll probably be Trump.
[00:01:52.028 --> 00:01:53.109]  It'll probably be the leader.
[00:01:53.409 --> 00:01:55.530]  And about a year after the election, I said he was going to happen.
[00:01:55.810 --> 00:01:58.491]  Populism, because globalism is in trouble all over the world.
[00:01:59.371 --> 00:02:00.432]  So we're not out of the woods yet.
[00:02:00.612 --> 00:02:05.574]  They're putting out 80 million ballots mailed randomly around to gum up the system.
