[00:00:00.737 --> 00:00:03.498]  I come to you with horrifying and grave news.
[00:00:04.238 --> 00:00:06.278]  I don't come to you with this information to scare you.
[00:00:07.319 --> 00:00:07.979]  I respect you.
[00:00:07.999 --> 00:00:12.020]  And I believe that you deserve to know the truth of what we're facing.
[00:00:13.180 --> 00:00:35.176]   President-elect Joe Biden, who has been announced by the corporate media and all the big banks and the CHICOMs to be our new president, despite all the fraud, is openly preparing a task force in his own press releases that is calling for an endless permanent lockdown, endless face mask, COVID-19 tracking
[00:00:35.176 --> 00:00:37.936]   and tracing, and forced inoculations.
[00:00:37.936 --> 00:00:42.656]   I'm about to lay out this information for you and your family.
[00:00:42.656 --> 00:00:46.856]   When Joe Biden says he wants love and reconciliation, remember that
[00:00:46.856 --> 00:00:50.936]   everything he's told you previously is a giant bald face line.
[00:00:51.666 --> 00:01:01.111]  And remember the establishment, the most corrupt corporations in the world, are steamrolling him to install him as the first dictator of the United States.
[00:01:03.244 --> 00:01:26.477]  The UK's Chief of the Defence Staff, General Sir Nick Carter, has warned that the global economic meltdown caused by the COVID-19 lockdown pandemic may lead to new security threats which, in turn, may spark a new world war.
[00:01:27.177 --> 00:01:35.967]   First off on this emergency Sunday night transmission, Let me show you an article posted on Infowars.com with direct links to the Ministry of Defense in the UK.
[00:01:36.908 --> 00:01:41.554]  There's a real risk of Third World War being unleashed, top UK general says.
[00:01:41.594 --> 00:01:59.859]   And he says because of the COVID-19 lockdowns, their Secretary of Defense, It's already starved millions to death and it's already triggering giant wars in the third and first world that could escalate very easily in a domino effect into World War III.
[00:02:00.579 --> 00:02:17.010]  Well it just so turns out the Communist Chinese and others are on record with Bill Gates admitting that they're trying to lower the world's carbon footprint and destroy everybody else's industries who lock down because they're good guys and want to defeat the virus and then only Communist China and the globalist holdings are left operating.
[00:02:17.881 --> 00:02:25.666]  The problem is that the population is growing the fastest where people are less able to deal with it.
[00:02:25.866 --> 00:02:28.428]  So it's in the very poorest places.
[00:02:29.009 --> 00:02:35.773]  The individuals that Joe Biden is nominating for his COVID-19 task force are on record working for Bill Gates in the UN.
[00:02:36.154 --> 00:02:45.060]  And they openly admit they want forced inoculations, contact tracers, and individuals that come to your home and even break up your family and take you away to COVID centers.
[00:02:46.024 --> 00:02:48.506]  This isn't some nightmare science fiction movie.
[00:02:48.907 --> 00:02:50.448]  This is the reality of what's happening.
[00:02:50.809 --> 00:02:56.994]  And Bill Gates is on record just a few weeks ago saying the lockdown is going to last 10 years until you go back to normal.
[00:02:57.595 --> 00:03:01.018]  Remember it was going to be 15 days because the hospitals were full but they weren't?
[00:03:01.379 --> 00:03:07.044]  Then it'd be two months, then it'd be six months, then it'd be two years, then it'd be five years, and now they're telling you it's forever.
[00:03:07.725 --> 00:03:27.791]   The only way we'll get completely back to normal is by having, maybe not the first generation vaccines, but eventually a vaccine that is super effective and that a lot of the people take and that we get the disease eliminated on a global basis.
[00:03:28.971 --> 00:03:40.139]   That is where we can finally start taking all the problems that have been created in education, mental health, and start to build back In a positive way.
[00:03:40.459 --> 00:03:43.321]  It's not COVID-19 that's triggering global starvation.
[00:03:43.861 --> 00:03:46.563]  It's not COVID-19 that's triggering a global depression.
[00:03:46.944 --> 00:03:52.348]  It's not COVID-19 that experts believe could trigger a new world war that have already started countless conflicts.
[00:03:52.968 --> 00:03:57.151]  It is the lockdown used built around the fraud of COVID-19.
[00:03:57.431 --> 00:03:59.213]  The empty hospitals they said were filled.
[00:03:59.773 --> 00:04:02.535]  All the people that died of other diseases they put in the COVID column.
[00:04:02.815 --> 00:04:09.861]   The fact that most of the tests are false positive and the rate of Infection increases while the rate of death stays very, very small.
[00:04:10.482 --> 00:04:12.544]  They told us 5% of the population will be dead.
[00:04:12.764 --> 00:04:15.807]  They told us 2.5 million, then 2.3 million Americans will be dead.
[00:04:16.047 --> 00:04:17.388]  They told us a half million Brits will be dead.
[00:04:17.889 --> 00:04:19.030]  None of it was true.
[00:04:19.691 --> 00:04:29.000]  It was part of putting us under a martial law system ahead of taking out nation states run by populists and nationalists like Donald Trump, Bolsonaro, and others.
[00:04:29.580 --> 00:04:38.131]  So let that sink in that the head of the UK military is coming out and admitting that the COVID-19 lockdown is bringing our world towards total destruction.
[00:04:38.692 --> 00:04:47.363]  How worried are you that the global economic crisis brought on by coronavirus could lead to new security threats, potentially even war?
[00:04:48.240 --> 00:04:54.123]  Yes, I mean I think we're living at a moment in time where the world is a very uncertain and anxious place.
[00:04:54.843 --> 00:04:59.905]  And of course the dynamic of global competition is a feature of our lives as well.
[00:05:00.445 --> 00:05:07.868]  And I think the real risk we have with quite a lot of the regional conflicts that are going on at the moment is you could see escalation lead to miscalculation.
[00:05:08.309 --> 00:05:24.963]   So what that means is that the protagonists, either because they don't realise the implications of their actions, Lead to an escalation, which means that more people perhaps get involved, more weaponry gets involved, and before you can contain it, it leads to the sides ending up in a full-blown war.
[00:05:25.223 --> 00:05:36.234]  And if you look back at the last century, before both world wars, I think it was unarguable that there was escalation that led to the miscalculation, which ultimately led to war at a scale we would hopefully never see again.
[00:05:36.840 --> 00:05:38.581]  Now here's where President Trump comes in.
[00:05:39.341 --> 00:05:43.843]  Joe Biden is forming his new commission made up of a bunch of Bill Gates and U.N.
[00:05:43.863 --> 00:05:48.305]  alumni that are going to blame President Trump for what happened with COVID-19.
[00:05:48.665 --> 00:05:49.765]  Despite the fact that U.N.
[00:05:49.805 --> 00:05:55.948]  admits they helped cover up the fact that China is where COVID-19 came from, and that's where the initial spread took place.
[00:05:56.508 --> 00:06:03.891]  Joe Biden's transition team today released a nightmare list of information to MarketWatch about what they're planning to do.
[00:06:04.767 --> 00:06:10.908]  In it, they say we're going to have a quasi-permanent lockdown that they turn up and dial back whenever they want.
[00:06:11.229 --> 00:06:21.631]  We've all got to have a federal mask mandate, even wear masks in our houses, that contact tracers will be coming into our homes and that forced inoculations are about to take place.
[00:06:22.031 --> 00:06:34.254]  But because those inoculations, they admit, won't work because you can't get antibodies for COVID-19 because it's such an alien virus they've engineered, that permanently you're going to have to stay in your home when they say so.
[00:06:35.111 --> 00:06:36.972]  We're going to act to get COVID under control.
[00:06:36.992 --> 00:06:44.214]  On day one of my presidency, I'll put in action a plan I've been talking about for months, already laid out.
[00:06:44.674 --> 00:06:45.734]  A national mandate.
[00:06:46.495 --> 00:06:48.995]  Mask wearing, social distancing, testing, tracing.
[00:06:49.956 --> 00:06:56.658]  All things, as President Obama just said, that should have and could have been put in place months and months ago.
