[00:00:00.009 --> 00:00:00.770]  We're good to go.
[00:00:32.762 --> 00:00:34.135]  Let's do it.
[00:01:05.265 --> 00:01:06.045]  InfoWars.
[00:01:06.365 --> 00:01:07.286]  Tomorrow's news.
[00:01:07.566 --> 00:01:08.026]  Today.
[00:01:22.392 --> 00:01:26.253]  Usually, the mentally retarded are divided into classifications.
[00:01:26.793 --> 00:01:27.554]  The Educable.
[00:01:29.074 --> 00:01:29.795]  The Trainable.
[00:01:31.915 --> 00:01:33.116]  And the Custodial.
[00:01:35.117 --> 00:01:41.721]  Obviously, we can only assess the abilities or potential of the mentally retarded on an individual basis.
[00:01:42.762 --> 00:01:50.366]  Seemingly random motions and movements are fairly common among the custodial retarded, and they may take many forms.
[00:01:51.027 --> 00:01:59.032]  Sometimes there are motions which seem to have no meaning whatever, and may even cause unintentional self-inflicted injuries.
[00:02:00.652 --> 00:02:07.157]  The vast majority of the mentally retarded are intelligent enough that they can be taught a great many things.
[00:02:07.777 --> 00:02:12.440]  However, there's a wide range of ability, even among those considered educable.
[00:02:13.461 --> 00:02:18.465]  And their ability to learn obviously varies according to their level of intelligence.
[00:02:19.845 --> 00:02:22.507]  Equally important is a stimulating environment.
[00:02:23.368 --> 00:02:28.972]  However, we must remember to set realistic standards that are not too high for the individual.
[00:02:30.228 --> 00:02:39.695]  Many of the trainable retarded can learn to take certain kinds of household responsibilities, some of which may be more complex than they are usually given credit for.
[00:02:41.256 --> 00:02:46.099]  It would be wrong to expect a mentally retarded person to become a master craftsman.
[00:02:46.759 --> 00:02:48.360]  The standards are too high.
[00:02:49.061 --> 00:02:57.006]  But even in the skilled trades, for example, the mentally retarded can be trained to become valuable assistants.
[00:02:57.847 --> 00:02:59.408]  Who are the mentally retarded?
[00:03:00.034 --> 00:03:00.854]  They are people.
[00:03:01.715 --> 00:03:06.918]  They come in both sexes and in all sizes, shapes, creeds and colors.
[00:03:07.238 --> 00:03:11.100]  Wherever people live, there also live the mentally retarded.
[00:03:25.127 --> 00:03:28.409]  If If by Rudyard Kipling
[00:03:31.701 --> 00:03:37.485]  If you can keep your head when all about you are losing theirs and blaming it on you.
[00:03:37.505 --> 00:03:43.589]  If you can trust yourself when all men doubt you, but make allowance for their doubting too.
[00:03:44.470 --> 00:03:50.654]  If you can wait and not be tired by waiting, or being lied about, don't deal in lies.
[00:03:51.415 --> 00:03:57.239]  Or being hated, don't give way to hating, and yet don't look too good, nor talk too wise.
[00:03:58.956 --> 00:04:01.918]  If you can dream and not make dreams, you're master.
[00:04:02.578 --> 00:04:04.959]  If you can think and not make thoughts, you're Aang.
[00:04:05.760 --> 00:04:11.283]  If you can meet with triumph and disaster, and treat those two impostors just the same.
[00:04:12.564 --> 00:04:24.731]  If you can bear to hear the truth you've spoken, twisted by knaves to make a trap for fools, or watch the things you gave your life to, broken, and stoop and build them up with worn-out tools,
[00:04:26.866 --> 00:04:50.246]  If you can make one heap of all your winnings And risk it on one turn of pitch and toss And lose and start again at your beginnings And never breathe a word about your loss If you can force your heart and nerve and sinew To serve your turn long after they are gone And so hold on when there is nothing in you Except the will which says to them, hold on
[00:04:51.946 --> 00:04:57.709]  If you can talk with crowds and keep your virtue, or walk with kings, nor lose the common touch.
