# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:02.080 --> 00:00:02.720]  See that?
[00:00:03.680 --> 00:00:06.240]  That's the front page of X, top trending.
[00:00:07.759 --> 00:00:11.759]  Charlie Kirk fatally shot by a fellow conservative at the Utah University of Man.
[00:00:12.800 --> 00:00:15.759]  And then Bill Maher, I saw people say this on Wednesday.
[00:00:15.839 --> 00:00:17.519]  I just ignored it because it was just totally insane.
[00:00:17.839 --> 00:00:22.000]  Bill Maher last night has Ben Shapiro on.
[00:00:22.080 --> 00:00:28.160]  Even Ben Shapiro says, no, the shooter was not a Groiper, a Nick Fuentes person.
[00:00:28.480 --> 00:00:32.240]  We got the ATF information that it was a leftist, anti-fascist.
[00:00:32.399 --> 00:00:34.480]  They saw carving symbols, thought it was trans.
[00:00:34.560 --> 00:00:36.160]  It's all the same anti-the crap.
[00:00:36.800 --> 00:00:39.280]  Told his family, Charlie's a fascist.
[00:00:39.520 --> 00:00:40.399]  He's full of hate.
[00:00:40.640 --> 00:00:41.920]  He's a terrible person.
[00:00:42.480 --> 00:00:43.840]  That's leftist.
[00:00:45.039 --> 00:00:48.800]  It's the left calling for Charlie Kirk's murder, calling for my murder, calling for Trump's murder.
[00:00:48.880 --> 00:00:49.280]  We all know this.
[00:00:49.359 --> 00:00:50.240]  They were chanting in the crowd.
[00:00:50.320 --> 00:00:52.160]  They were cheering when it happened.
[00:00:53.120 --> 00:01:02.240]  And so now the circle is complete where you've got people blaming Israel with no evidence that they did it.
[00:01:02.560 --> 00:01:03.840]  It's just not true.
[00:01:04.159 --> 00:01:08.079]  And then on the other end, you've got people blaming Nick Fuentez and the Groipers.
[00:01:08.320 --> 00:01:11.519]  You've got Ben Shapiro defending Nick Fuentez.
[00:01:12.400 --> 00:01:16.239]  And you've got me over here saying it's obviously not Israel.
[00:01:16.480 --> 00:01:18.560]  I mean, oh, this is so crazy.
[00:01:18.879 --> 00:01:20.480]  Go to a Democrat rally.
[00:01:21.680 --> 00:01:23.040]  They are psychotic.
[00:01:23.359 --> 00:01:26.560]  Women show up in nice suits and stuff screaming, I love Satan, I want to kill you.
[00:01:26.879 --> 00:01:35.840]  Antifa shows up saying it, like a third or 40% of a leftist rally or an antifa rally will be crazy trannies.
[00:01:36.000 --> 00:01:38.320]  They carry M4s in Austin, threaten people.
[00:01:38.640 --> 00:01:42.240]  I mean, they publish magazines saying Trans Day of Rage, triggered and all this crap.
[00:01:42.400 --> 00:01:43.600]  They all done this.
