# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.640 --> 00:00:05.440]  We've been in these studios 16 years and never had a weird power surge like this.
[00:00:05.679 --> 00:00:07.200]  Right as we were going live at 11 a.m.
[00:00:07.360 --> 00:00:10.400]  Central, everything got knocked out in here.
[00:00:10.960 --> 00:00:24.080]  The crew was able to scramble around, change everything around, and get us back on air in about eight, nine minutes of dead air or sending out a video feed, but nothing else because the Swisser didn't shut down.
[00:00:24.400 --> 00:00:28.080]  But we relaunched everything on X, on Rumble, on everywhere else.
[00:00:28.879 --> 00:00:34.399]  Real Alex Jones on X. And so right now I'm reearing part of the Tucker interview that was so powerful last Monday.
[00:00:34.719 --> 00:00:41.840]  And then I've got huge news on multiple Democrat judges saying they can arrest ICE agents for doing their constitutional duties.
[00:00:42.160 --> 00:00:44.960]  The head of Columbia calling for taking out Trump.
[00:00:45.600 --> 00:00:51.120]  Trump is now green lit strikes in Mexico, not just designated the cartels of terrorists.
[00:00:51.200 --> 00:00:52.960]  He says they're now hitting him, about to hit him.
[00:00:53.280 --> 00:00:54.640]  Just massive news.
[00:00:54.960 --> 00:01:00.719]  33 after I'll come on live at 1133 a.m.
[00:01:00.960 --> 00:01:09.120]  Central, Infowars.com forward slash show, band out video, the Alex Jones network on Rumble, and of course right here on X at RealAlex Jones.
[00:01:09.280 --> 00:01:09.760]  Huge news.
[00:01:09.840 --> 00:01:10.560]  Be sure and join us.
[00:01:10.640 --> 00:01:17.760]  Tell everybody you know, and those you don't know to tune in and to share the feed themselves and tell those they share it with to share it because that completes the chain reaction.
[00:01:18.079 --> 00:01:19.120]  You are the Paul Reveres.
[00:01:19.280 --> 00:01:20.799]  You are the answer to 1984.
[00:01:21.120 --> 00:01:22.799]  You are 1776.
[00:01:23.120 --> 00:01:24.320]  You are America.
[00:01:24.640 --> 00:01:26.960]  You are the cutting edge rebellion against tyranny.
